# hx, hy, hz, energy, energy_var, mag, mag_var, abs_mag, abs_mag_var, exact_energy
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.599999988012944030e+01 9.589644567017444264e-07 2.081668171172168513e-17 6.408974663590723264e-02 9.981817695482157629e-05 2.500010657227259570e-01 -1.600000000000002132e+01
1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.608109383047364815e+01 1.692250971161020595e-04 -8.507881898989211322e-13 6.077291248384390776e-02 1.028309627618323729e-01 2.593354261702429109e-01 -1.608118739840771738e+01
2.000000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.633825991259436350e+01 3.592293472789900421e-05 4.692496391456302263e-13 6.157974314100965463e-02 2.221836261834861381e-01 2.827413349595132019e-01 -1.633828589021754141e+01
3.000000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.680500415387482605e+01 1.698168269613386421e-04 2.432241907879273413e-12 6.361858697922084804e-02 3.648258301485139965e-01 3.009502848730178926e-01 -1.680513744664454734e+01
4.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.751169180496716393e+01 1.523870599880965449e-05 -4.060987657261705408e-13 6.224355034938470338e-02 5.177758137837412677e-01 2.908614624873788745e-01 -1.751170355530068079e+01
4.199999999999999845e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.768210302132941791e+01 6.775359168332271195e-06 8.094219738907781903e-14 6.233125664326905069e-02 5.471040671395926980e-01 2.846702597026967707e-01 -1.768210811627926304e+01
4.400000000000000022e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.786174903105026601e+01 4.730129508787475871e-07 -8.872069745535782204e-14 6.250190405704825203e-02 5.754767796813735625e-01 2.773027813452172419e-01 -1.786174936011095937e+01
4.600000000000000200e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.805029203658538250e+01 5.854943536418918361e-07 -1.439889873999788961e-13 6.253563943190523777e-02 6.027157038575668979e-01 2.689360707146499774e-01 -1.805029243279574303e+01
5.000000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.845250313936081454e+01 1.014095797495885124e-06 1.496032464576302345e-12 6.250351105214974057e-02 6.532813167945950017e-01 2.499999998812620638e-01 -1.845250371901102682e+01
6.000000000000000888e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.958366927090546739e+01 1.174516736912123263e-08 1.075528555105620399e-15 6.249604495537183779e-02 7.547328579962396811e-01 1.984643417047089742e-01 -1.958366927713649730e+01
7.000000000000000666e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.085035545813833835e+01 1.431050907068718260e-10 0.000000000000000000e+00 6.249990378993185158e-02 8.239668159121019686e-01 1.528420356932888580e-01 -2.085035545820090874e+01
8.000000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.220803304253777100e+01 1.959943256963884221e-12 0.000000000000000000e+00 6.249998060827569729e-02 8.700238097461292508e-01 1.178246134293783609e-01 -2.220803304253859523e+01
