# hx, hy, hz, energy, energy_var, mag, mag_var, abs_mag, abs_mag_var, exact_energy
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.599999998053044514e+01 1.557564322301564416e-07 -1.777644223600958594e-19 6.349955393373819812e-02 -1.777644223600958594e-19 6.349955393373819812e-02 -1.600000000000002132e+01
0.000000000000000000e+00 1.000000000000000056e-01 0.000000000000000000e+00 -1.600916716472582024e+01 2.024115292059373427e-04 1.145040039543113869e-02 5.727556274256981328e-02 1.145040039543113869e-02 5.727556274256981328e-02 -1.604014962025006952e+01
0.000000000000000000e+00 2.000000000000000111e-01 0.000000000000000000e+00 -1.604873145729759187e+01 4.644016437899498723e-03 3.034868187992409774e-02 7.590728640586298648e-02 3.034868187992409774e-02 7.590728640586298648e-02 -1.616237479681548805e+01
0.000000000000000000e+00 2.999999999999999889e-01 0.000000000000000000e+00 -1.613615638893283943e+01 3.586989773662638270e-02 5.620374498586690887e-02 9.375566539836498181e-02 5.620374498586690887e-02 9.375566539836498181e-02 -1.637184639770745775e+01
0.000000000000000000e+00 3.800000000000000044e-01 0.000000000000000000e+00 -1.625828923857504549e+01 1.033639404842197074e-01 8.374513136366815158e-02 1.100638751348787664e-01 8.374513136366815158e-02 1.100638751348787664e-01 -1.660755256402638835e+01
0.000000000000000000e+00 4.000000000000000222e-01 0.000000000000000000e+00 -1.628576937940091085e+01 1.915469348040627073e-01 8.789353803791816189e-02 1.120068002034696891e-01 8.789353803791816189e-02 1.120068002034696891e-01 -1.667657178043502242e+01
0.000000000000000000e+00 4.199999999999999845e-01 0.000000000000000000e+00 -1.632930011062550335e+01 1.643358918763439258e-01 9.626618830730973575e-02 1.143390468833461182e-01 9.626618830730973575e-02 1.143390468833461182e-01 -1.674978894328685186e+01
0.000000000000000000e+00 5.000000000000000000e-01 0.000000000000000000e+00 -1.648128969748183437e+01 3.449738734650082961e-01 1.173108523700648054e-01 1.168886172533990242e-01 1.173108523700648054e-01 1.168886172533990242e-01 -1.708623364055884863e+01
0.000000000000000000e+00 5.999999999999999778e-01 0.000000000000000000e+00 -1.742124520177529945e+01 8.338200700622616646e-02 3.078824649813566294e-01 2.497088692850762959e-01 3.078824649813566294e-01 2.497088692850762959e-01 -1.761027489328903073e+01
0.000000000000000000e+00 6.999999999999999556e-01 0.000000000000000000e+00 -1.692626199581455637e+01 1.423698271314117525e+00 1.568214743495038865e-01 1.117419639598181830e-01 1.568214743495038865e-01 1.117419639598181830e-01 -1.825542426081199210e+01
0.000000000000000000e+00 7.700000000000000178e-01 0.000000000000000000e+00 -1.861060753911510801e+01 5.588650092168308881e+00 4.451672394177967895e-01 2.853567761731085062e-01 4.451672394177967895e-01 2.853567761731085062e-01 -1.878025652961843051e+01
0.000000000000000000e+00 8.000000000000000444e-01 0.000000000000000000e+00 -1.886256600323670796e+01 3.252491259643246035e+00 4.898769091549637356e-01 2.907234795702061669e-01 4.898769091549637356e-01 2.907234795702061669e-01 -1.902340711060126210e+01
0.000000000000000000e+00 9.000000000000000222e-01 0.000000000000000000e+00 -1.990986243325084715e+01 1.447622531109911847e-08 5.892474905725608725e-01 2.732322919674497474e-01 5.892474905725608725e-01 2.732322919674497474e-01 -1.990986244581992892e+01
