# hx, hy, hz, energy, energy_var, mag, mag_var, abs_mag, abs_mag_var, exact_energy
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.599999991951671774e+01 6.438662710373414808e-07 -1.006139616066548115e-16 5.982332505989165772e-02 8.186339492359065461e-05 2.498893289520995320e-01 -1.600000000000002132e+01
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 -1.602149212073360474e+01 2.129174616382436310e-04 2.685054716339016490e-02 6.713317846731670091e-02 9.938982899471894713e-05 2.497019895943523582e-01 -1.608118739840768896e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000111e-01 -1.610425799613917519e+01 4.941695651309245541e-03 6.509470871714075069e-02 8.148425010165147309e-02 9.439899088996042925e-05 2.457384989270021969e-01 -1.633828589021754141e+01
0.000000000000000000e+00 0.000000000000000000e+00 3.000000000000000444e-01 -1.632377027178637974e+01 3.952477843056715484e-02 1.350650676504334680e-01 1.132246041493904370e-01 7.394704942404481483e-05 2.317438044646488171e-01 -1.680513744664449760e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000222e-01 -1.712080931236179282e+01 1.374610186114518240e-01 3.591392399961773063e-01 2.092663581646190263e-01 3.295992965278227361e-05 1.496837000129321305e-01 -1.751170355530059197e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.199999999999999845e-01 -1.728700451796360227e+01 1.634870717866658274e-01 3.958647589360188013e-01 2.161771746472234135e-01 5.490228971943386552e-05 1.372840178267278333e-01 -1.768210811627924883e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.400000000000000022e-01 -1.746609688203344746e+01 2.444875771800139874e-01 4.322420437125522041e-01 2.206130464339141894e-01 5.589662667407218781e-05 1.266005641594003805e-01 -1.786174936011107306e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.600000000000000200e-01 -1.768469077677075418e+01 2.642014482848790147e-01 4.800844449098407019e-01 2.288550210740979973e-01 4.836036176625644847e-05 1.128757794791046543e-01 -1.805029243279559026e+01
0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e-01 -1.827958071416229302e+01 1.343536679242214593e-01 5.952500522631297697e-01 2.410685121875792702e-01 3.303986523120010899e-05 8.847220108458084264e-02 -1.845250371901101971e+01
0.000000000000000000e+00 0.000000000000000000e+00 6.000000000000000888e-01 -1.958186582742880688e+01 2.510861698461160085e-03 7.542832675967732214e-01 1.985170345855158669e-01 1.239228359776351002e-06 6.412376900108603117e-02 -1.958366927713652927e+01
0.000000000000000000e+00 0.000000000000000000e+00 7.000000000000000666e-01 -2.085017165776378434e+01 3.985112862171217196e-04 8.239302180813424803e-01 1.528508197082494857e-01 3.773937849983063854e-06 6.267625020745988540e-02 -2.085035545820078440e+01
0.000000000000000000e+00 0.000000000000000000e+00 8.000000000000000444e-01 -2.220803276887739486e+01 1.784759543288780357e-06 8.700249430151975050e-01 1.178237165138774495e-01 1.488841759880850495e-05 6.251572475244231153e-02 -2.220803304253848154e+01
