hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var exact_energy
0.000000000000000000e+00 0.000000000000000000e+00 9.000000000000000222e-01 -2.362645049939740716e+01 0.000000000000000000e+00 4.976659443996234076e-08 9.010216251962371858e-01 0.000000000000000000e+00 9.219315275717422653e-02 9.040331225727316067e-01 0.000000000000000000e+00 8.675723511983919611e-02 -2.362645051177377553e+01
0.000000000000000000e+00 0.000000000000000000e+00 8.000000000000000444e-01 -2.220803303669726603e+01 0.000000000000000000e+00 2.136742122552479254e-08 8.700238097767124534e-01 0.000000000000000000e+00 1.178246131863330964e-01 8.747660431824217930e-01 0.000000000000000000e+00 1.095504124596876350e-01 -2.220803304253838917e+01
0.000000000000000000e+00 0.000000000000000000e+00 6.999999999999999556e-01 -2.085035545437249738e+01 0.000000000000000000e+00 1.264522433435585199e-08 8.239668158862694103e-01 0.000000000000000000e+00 1.528420355504136741e-01 8.317633495722180914e-01 0.000000000000000000e+00 1.399330795405750449e-01 -2.085035545820080216e+01
0.000000000000000000e+00 0.000000000000000000e+00 5.999999999999999778e-01 -1.958366927434238391e+01 0.000000000000000000e+00 8.550915840568270346e-09 7.547328592440637474e-01 0.000000000000000000e+00 1.984643414030080322e-01 7.680860305513615982e-01 0.000000000000000000e+00 1.781298798975806674e-01 -1.958366927713651151e+01
0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e-01 -1.845250371691767199e+01 0.000000000000000000e+00 6.399323511407691320e-09 6.532814822720022230e-01 0.000000000000000000e+00 2.499999999343721357e-01 6.767766953566113353e-01 0.000000000000000000e+00 2.187499996360610655e-01 -1.845250371901098063e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.500000000000000111e-01 -1.795493122124970853e+01 0.000000000000000000e+00 5.273909033745348145e-09 5.892474931787465842e-01 0.000000000000000000e+00 2.732322926697380305e-01 6.204449012193816726e-01 0.000000000000000000e+00 2.354930254380467602e-01 -1.795493122290995913e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000222e-01 -1.751170355397498568e+01 0.000000000000000000e+00 4.528241799967051973e-09 5.177802060568168496e-01 0.000000000000000000e+00 2.908626559963830016e-01 5.589589981111082739e-01 0.000000000000000000e+00 2.465238362112489312e-01 -1.751170355530064171e+01
0.000000000000000000e+00 0.000000000000000000e+00 3.499999999999999778e-01 -1.712771212934988796e+01 0.000000000000000000e+00 4.005959496504747427e-09 4.417363995005415545e-01 0.000000000000000000e+00 3.003790016038376809e-01 4.955100485809886823e-01 0.000000000000000000e+00 2.499798400028060141e-01 -1.712771213040604579e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.999999999999999889e-01 -1.680513744580809288e+01 0.000000000000000000e+00 3.609071345031388115e-09 3.648922849795557810e-01 0.000000000000000000e+00 3.009915013166529763e-01 4.341378812925772990e-01 0.000000000000000000e+00 2.456621809810464740e-01 -1.680513744664450826e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000000e-01 -1.654311681962028047e+01 0.000000000000000000e+00 3.275500378234014213e-09 2.908857857393674085e-01 0.000000000000000000e+00 2.941176469556156525e-01 3.787321876441033797e-01 0.000000000000000000e+00 2.352941173431364885e-01 -1.654311682027941188e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000111e-01 -1.633828588969828743e+01 0.000000000000000000e+00 2.970766179840661038e-09 2.222021198680681486e-01 0.000000000000000000e+00 2.827613103521039450e-01 3.321350927732472647e-01 0.000000000000000000e+00 2.218213725744736520e-01 -1.633828589021748812e+01
0.000000000000000000e+00 0.000000000000000000e+00 1.499999999999999944e-01 -1.618592319844209015e+01 0.000000000000000000e+00 2.680867280336164080e-09 1.597333870538119593e-01 0.000000000000000000e+00 2.703104849764753626e-01 2.958252402660188074e-01 0.000000000000000000e+00 2.083126671377106276e-01 -1.618592319885372888e+01
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 -1.608118739807643749e+01 0.000000000000000000e+00 2.404742452160504425e-09 1.029520031117571732e-01 0.000000000000000000e+00 2.595846644471139775e-01 2.701837797427110166e-01 0.000000000000000000e+00 1.971845045557794329e-01 -1.608118739840773159e+01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.599999999974807707e+01 0.000000000000000000e+00 2.031241189967861795e-09 -2.174481428252050819e-11 0.000000000000000000e+00 2.499999999046872146e-01 2.500000002604717553e-01 0.000000000000000000e+00 1.874999997744513647e-01 -1.600000000000001066e+01
