# hx, hy, hz, mag, mag_var, susceptibility, sus_var, energy, energy_var
2.999999999999999889e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.529022216796875997e-04 6.489202040007949765e-04 9.999996942991340454e-01 7.175788449722148210e-07 -2.043455906356956575e+02 2.766660329738664971e-03
2.999999999999999889e-01 0.000000000000000000e+00 1.000000000000000056e-01 -4.611141204833985041e-02 7.487925789250093542e-04 9.978737376789085234e-01 6.905576629110326626e-05 -2.048511995682562770e+02 3.120736036315860298e-03
2.999999999999999889e-01 0.000000000000000000e+00 2.000000000000000111e-01 -9.521480560302736373e-02 7.753677662424205384e-04 9.909341407939783464e-01 1.476529822672513037e-04 -2.063587067256101477e+02 3.845481700092158277e-03
2.999999999999999889e-01 0.000000000000000000e+00 2.999999999999999889e-01 -1.540024566650391447e-01 9.057263273425991343e-04 9.762832433411324784e-01 2.789681589539262370e-04 -2.091257141887963371e+02 6.682354359226452996e-03
2.999999999999999889e-01 0.000000000000000000e+00 3.099999999999999978e-01 -1.593222045898438077e-01 7.900968385025459399e-04 9.746164351246333624e-01 2.517599402993809469e-04 -2.093695757551662382e+02 6.108007633569081246e-03
2.999999999999999889e-01 0.000000000000000000e+00 3.200000000000000067e-01 -1.693912887573242876e-01 8.641790069269040045e-04 9.713065912931329038e-01 2.927687914007478858e-04 -2.097645991724265286e+02 6.789900123077054379e-03
2.999999999999999889e-01 0.000000000000000000e+00 3.300000000000000155e-01 -1.745256805419923007e-01 8.468210213189701239e-04 9.695407868313553612e-01 2.955840300859158493e-04 -2.101307638563883415e+02 7.066968722830141089e-03
2.999999999999999889e-01 0.000000000000000000e+00 3.400000000000000244e-01 -1.851735305786133545e-01 9.779776141499178701e-04 9.657107635730528550e-01 3.621911352779738700e-04 -2.106305879078072678e+02 8.274613770434842766e-03
2.999999999999999889e-01 0.000000000000000000e+00 3.499999999999999778e-01 -1.844254302978516613e-01 8.628247444860643678e-04 9.659872606594528399e-01 3.182536495469529035e-04 -2.108772391862422069e+02 8.600151861402043768e-03
2.999999999999999889e-01 0.000000000000000000e+00 3.599999999999999867e-01 -1.984207916259767002e-01 9.722596587811739837e-04 9.606291894505216700e-01 3.858330623227224803e-04 -2.114182123407296103e+02 8.617984405363416853e-03
2.999999999999999889e-01 0.000000000000000000e+00 3.699999999999999956e-01 -2.078411865234375822e-01 8.770542164664825923e-04 9.568020411845297168e-01 3.645759779915567827e-04 -2.117478170129173520e+02 8.326225347577117727e-03
2.999999999999999889e-01 0.000000000000000000e+00 3.800000000000000044e-01 -2.153688812255860618e-01 9.620560997375260512e-04 9.536162449996403723e-01 4.143938917534433202e-04 -2.123047171145473442e+02 9.550760937839696679e-03
2.999999999999999889e-01 0.000000000000000000e+00 3.900000000000000133e-01 -2.167918014526368231e-01 1.053158927016439959e-03 9.530013148229159459e-01 4.566324420076381743e-04 -2.128466771905995643e+02 1.201447349485279190e-02
2.999999999999999889e-01 0.000000000000000000e+00 4.000000000000000222e-01 -2.294325256347657382e-01 1.084751678667259227e-03 9.473607161808536015e-01 4.977546346463609548e-04 -2.133053612600905637e+02 1.240322401546911299e-02
2.999999999999999889e-01 0.000000000000000000e+00 4.500000000000000111e-01 -2.737291717529298229e-01 1.189836905683124739e-03 9.250723405314547065e-01 6.513861414274243512e-04 -2.164897448569711287e+02 1.965762944943124854e-02
2.999999999999999889e-01 0.000000000000000000e+00 5.000000000000000000e-01 -3.284469223022462581e-01 1.436305529772220150e-03 8.921226192301817681e-01 9.435002614787678940e-04 -2.203406597750200149e+02 3.231050971403656713e-02
