hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var wilson wilson_err wilson_var
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.000000000124866233e+02 3.428176961160205003e-08 1.550172436117276601e-10 -3.704833984375001258e-04 2.197119911647246878e-04 5.011178660020233593e-03 5.591827392578124778e-02 1.270761715280512038e-04 1.884462559130042772e-03 1.000000000100418118e+00 4.251177453778452584e-10 2.413324690940604572e-14
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 -2.005048121259505649e+02 6.724565690629098793e-06 4.713620030661098297e-06 5.081161499023438555e-02 2.426244542871858721e-04 5.161719210795129992e-03 7.055404663085937389e-02 1.631797362868009284e-04 2.765665932721458713e-03 9.948698651923343350e-01 4.847759170379712821e-05 2.077396585342205333e-04
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000111e-01 -2.020836036795227812e+02 7.086890473567326073e-05 4.704416414899989692e-04 1.089546203613281639e-01 2.748981218967049521e-04 5.587255570082930688e-03 1.133326721191406372e-01 2.464338411002987882e-04 4.614070298499427930e-03 9.768908111951086770e-01 1.131988586624791554e-04 9.182529121983646313e-04
0.000000000000000000e+00 0.000000000000000000e+00 2.800000000000000266e-01 -2.042901341024321198e+02 3.104800051867102960e-04 8.296327737185764731e-03 1.709355163574219627e-01 3.669726662395259194e-04 6.655594535707505185e-03 1.717115783691406383e-01 3.610866243078101386e-04 6.389679142064415458e-03 9.452218169571735551e-01 2.210043095991812937e-04 2.211436985449745894e-03
0.000000000000000000e+00 0.000000000000000000e+00 2.999999999999999889e-01 -2.050138355900880924e+02 4.414050765364534645e-04 1.668552504196083378e-02 1.920085144042970038e-01 4.090283792183253895e-04 7.135461719497117328e-03 1.924278259277343861e-01 4.045562405920839961e-04 6.974263131967746270e-03 9.319841166755326034e-01 2.674526262719734626e-04 2.758613908106789456e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.099999999999999978e-01 -2.054132393459034915e+02 6.599779659498140189e-04 3.240951317614804150e-02 2.053045654296876132e-01 4.559007339711163291e-04 7.591087659820925163e-03 2.055999755859375111e-01 4.526545875579514365e-04 7.469702285155654237e-03 9.229078710680194142e-01 3.114693841796235341e-04 3.168648136518077696e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.300000000000000155e-01 -2.063029438611559954e+02 1.123938728984865418e-03 4.787242189834571560e-02 2.413945007324220238e-01 5.950712387875958928e-04 9.034087472199475374e-03 2.415092468261718917e-01 5.936461261678235585e-04 8.978676153509876356e-03 8.966478277902385496e-01 4.534881290705530116e-04 4.396234945589669665e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.400000000000000244e-01 -2.067582785967370000e+02 1.304582442875703652e-03 8.177705506471433239e-02 2.501399230957033204e-01 5.731629307782242421e-04 8.763151808246051958e-03 2.502320861816406117e-01 5.722016149880644262e-04 8.717035979754291300e-03 8.904790870505658873e-01 4.320009487901574265e-04 4.407366273348001587e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.499999999999999778e-01 -2.074786379481619178e+02 4.238472802881513082e-03 2.471767750219423243e-01 3.402763366699221304e-01 1.518547083748712258e-03 1.506663811558394198e-02 3.403007507324218306e-01 1.517925417329020780e-03 1.505002246403601071e-02 8.166389456151414983e-01 1.192442257917758052e-03 8.298306712923739226e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.699999999999999956e-01 -2.085812692077605561e+02 4.287246237971597054e-03 1.948582053470794273e-01 3.446060180664065609e-01 1.117545684912134773e-03 1.168398479288445743e-02 3.446176147460937589e-01 1.117287579138868383e-03 1.167599208718165735e-02 8.146301239744599965e-01 8.886205018999764537e-04 6.616308698514860101e-03
0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000222e-01 -2.112158688076623321e+02 2.160964633987467326e-02 8.275489824435512398e-01 4.599258422851565942e-01 2.161774104806890150e-03 1.532256530141460661e-02 4.599258422851562611e-01 2.161774104806888416e-03 1.532256530141458059e-02 7.260603109283491063e-01 1.584371054532743121e-03 8.026489354013104788e-03
0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e-01 -2.247291112879046011e+02 5.436344594697894994e-02 3.256282139883889482e+00 7.045732116699223724e-01 1.883346284758843176e-03 1.195107365006117459e-02 7.045732116699219283e-01 1.883346284758841442e-03 1.195107365006115377e-02 5.767958933518975151e-01 1.012320087424354144e-03 4.811514463715263479e-03
0.000000000000000000e+00 0.000000000000000000e+00 5.999999999999999778e-01 -2.411480350489223383e+02 7.727874513881212567e-04 3.286086491119750291e-02 8.176506805419927471e-01 5.193454880214332103e-04 6.476221268152596369e-03 8.176506805419920809e-01 5.193454880214325598e-04 6.476221268152584226e-03 5.296825969360885455e-01 2.443076008358991314e-04 2.879688272998749514e-03
0.000000000000000000e+00 0.000000000000000000e+00 6.999999999999999556e-01 -2.580529807703389906e+02 3.599276407024944884e-04 1.177298797582550585e-02 8.669105529785161579e-01 4.505581682121728064e-04 4.859595942101449344e-03 8.669105529785157138e-01 4.505581682121724270e-04 4.859595942101440670e-03 5.160690534636473981e-01 2.044452973334415170e-04 2.655372879693427071e-03
