hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var wilson wilson_err wilson_var
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.000000000283691861e+02 3.273804888834530552e-08 1.349774211743401398e-10 -1.890563964843749816e-04 2.251409304099904010e-04 4.949717065296137600e-03 5.558273315429687611e-02 1.204826166863803361e-04 1.860312582715414583e-03 1.000000000386660481e+00 4.016349612968251820e-10 2.040676163442483047e-14
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 -2.005048057861889674e+02 7.032646147719374089e-06 4.468456246800710799e-06 5.095458984375000888e-02 2.291965482635047787e-04 5.149064344167711763e-03 7.062408447265625111e-02 1.597183425753122656e-04 2.757673262711615031e-03 9.948401083414011303e-01 4.627503388046468399e-05 2.071592938662486635e-04
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000111e-01 -2.020837269678321206e+02 5.196679251479230019e-05 2.871895840619093825e-04 1.094044494628906572e-01 2.808086780594461684e-04 5.627849665260880110e-03 1.137461853027343789e-01 2.555158101878700220e-04 4.658988556615076271e-03 9.767283314555913476e-01 1.153193227074051215e-04 9.244755449921285891e-04
0.000000000000000000e+00 0.000000000000000000e+00 2.800000000000000266e-01 -2.042893160192463711e+02 2.329519672807002658e-04 5.034302287424272798e-03 1.708306884765626033e-01 3.628122767517548766e-04 6.615472066029914888e-03 1.715426635742187678e-01 3.556203275359864110e-04 6.371710765268653182e-03 9.453194259630879337e-01 2.206493525628794793e-04 2.202249522493331026e-03
0.000000000000000000e+00 0.000000000000000000e+00 2.999999999999999889e-01 -2.050130773699023621e+02 3.363132067488703875e-04 1.043514322232595368e-02 1.914343261718751132e-01 3.879030562738491222e-04 7.015172933042058620e-03 1.918338012695312567e-01 3.831528666341167308e-04 6.862066860403866209e-03 9.322802620478685132e-01 2.516263506256036578e-04 2.707305348928813055e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.099999999999999978e-01 -2.054071064417878176e+02 3.972481017155150818e-04 1.510493314079191379e-02 2.032322692871094683e-01 4.164770787964683233e-04 7.304387029982182394e-03 2.035545349121093694e-01 4.127832846970819441e-04 7.173293626285158139e-03 9.245712477289442788e-01 2.825311744416372241e-04 3.025493031677666325e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.300000000000000155e-01 -2.062731903625136738e+02 6.312462582341401467e-04 3.102604898449357398e-02 2.306527709960938810e-01 4.736563011210670254e-04 8.043690100964170225e-03 2.307998657226562611e-01 4.718057418804000487e-04 7.975812851544469145e-03 9.051436675912929442e-01 3.473435397287295487e-04 3.792816023687497345e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.400000000000000244e-01 -2.067548058410773422e+02 7.477428070167766718e-04 2.603189959676585619e-02 2.478942871093751665e-01 5.228251550807004339e-04 8.438516412675393930e-03 2.479675292968749889e-01 5.215038896308827254e-04 8.402198408544062774e-03 8.922417215764437692e-01 3.934369344603857446e-04 4.222116355394258877e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.499999999999999778e-01 -2.072696747856340380e+02 1.115859691703880016e-03 3.647868059859513123e-02 2.664698791503908315e-01 5.880840082170874948e-04 8.996962074912167456e-03 2.665306091308594083e-01 5.875015116172921902e-04 8.964592965669000019e-03 8.780802119549182549e-01 4.558186602280978115e-04 4.715911412745823345e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.699999999999999956e-01 -2.084161227354460948e+02 2.829432789532252725e-03 9.099629230945556480e-02 3.104071044921877243e-01 9.042007255286085149e-04 1.009435941241683225e-02 3.104193115234374911e-01 9.039227498108573207e-04 1.008678096495568832e-02 8.432249693697161375e-01 7.254124077720828503e-04 5.719946420166022692e-03
0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000222e-01 -2.104630071877961370e+02 6.120260015441582671e-03 2.117942487995893297e-01 3.763847351074221526e-01 1.224657744354382474e-03 1.105010429823307348e-02 3.763868713378906161e-01 1.224588726037527603e-03 1.104849620459135567e-02 7.908075000648355779e-01 9.736008288008990343e-04 6.564479885072638243e-03
0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e-01 -2.197980099516182690e+02 2.350885407326001181e-02 1.180914579344035431e+00 5.430313110351565609e-01 1.315024359486485425e-03 9.068093868251907164e-03 5.430313110351562278e-01 1.315024359486484558e-03 9.068093868251889816e-03 6.640579440353102658e-01 8.847697251612368164e-04 5.237942216800409861e-03
0.000000000000000000e+00 0.000000000000000000e+00 5.999999999999999778e-01 -2.324475122060302965e+02 9.427874628600557694e-02 9.569968148656311513e+00 6.428547668457036401e-01 1.899272428427727782e-03 9.156007410748878347e-03 6.428547668457030850e-01 1.899272428427725831e-03 9.156007410748862735e-03 6.014103922941593794e-01 8.274787282746523705e-04 4.371157043956802254e-03
0.000000000000000000e+00 0.000000000000000000e+00 6.999999999999999556e-01 -2.496190037010193237e+02 2.075039863786496408e-01 4.451210920768460966e+01 7.429209899902349257e-01 2.866590332314569549e-03 1.271644645517228459e-02 7.429209899902342595e-01 2.866590332314566513e-03 1.271644645517226203e-02 5.567153110127341931e-01 9.973863741976622850e-04 4.474105486600630371e-03
