hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var wilson wilson_err wilson_var
0.000000000000000000e+00 0.000000000000000000e+00 6.999999999999999556e-01 -2.580533152450548187e+02 4.518497326477684522e-04 1.100431992776839535e-02 -7.410430933968031922e-07 4.788330741247027439e-10 3.737403563188048522e-15 -7.410430933968031922e-07 4.788330741247027439e-10 3.737403563188048522e-15 5.157779025235110781e-01 2.478263867740830659e-04 2.411505716809145012e-03
0.000000000000000000e+00 0.000000000000000000e+00 5.999999999999999778e-01 -2.411503636915237223e+02 5.440725421836368992e-04 1.727836940515261460e-02 -5.379999048092732202e-07 5.886786178846802112e-10 6.338945452622301660e-15 -5.379999048092732202e-07 5.886786178846802112e-10 6.338945452622301660e-15 5.295790850121268045e-01 2.901305441868744250e-04 2.884217862203733006e-03
0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e-01 -2.255604955038984372e+02 8.863210570704324999e-04 4.619791358424433364e-02 -4.957597889874359125e-06 9.104883606027827671e-09 1.307825929476689522e-12 -4.957597889874359125e-06 9.104883606027827671e-09 1.307825929476689522e-12 5.619938205269351394e-01 4.133970947646247764e-04 3.663005187947969681e-03
0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000222e-01 -2.124045914990600181e+02 2.089230923648629015e-03 1.773140216371339173e-01 -2.494545716500982165e-03 2.841791417398575100e-03 2.314498889738995924e-01 -2.494545716500982165e-03 2.841791417398575100e-03 2.314498889738995924e-01 6.541169275850559073e-01 6.696076364067997779e-04 5.587263993185322478e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.699999999999999956e-01 -2.092998139743275772e+02 2.460056872962358178e-03 2.542106315139255890e-01 4.686867675781254405e-01 1.133141239510972740e-03 1.395357815498116105e-02 4.686867675781251075e-01 1.133141239510971872e-03 1.395357815498114024e-02 7.159205836920423671e-01 8.361115732725098171e-04 6.743754471713409027e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.499999999999999778e-01 -2.075872514238304802e+02 2.319887586416311421e-03 2.841392678472186017e-01 3.791379394531253499e-01 1.269646630706454003e-03 1.473465235942604534e-02 3.791535644531249805e-01 1.269096995850653616e-03 1.472280405467748902e-02 7.840097827841895350e-01 9.957067055506596282e-04 7.812497482734066107e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.400000000000000244e-01 -2.068975169524014746e+02 1.925953900541710860e-03 2.082888075929273386e-01 3.138459472656252580e-01 1.248270177093704393e-03 1.369336298650505358e-02 3.138854980468750444e-01 1.247377175817474329e-03 1.366853571742773256e-02 8.370838137620065789e-01 9.957784469418415069e-04 7.478945509094095737e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.300000000000000155e-01 -2.063314480458073490e+02 1.454226152152228620e-03 1.086573726928680428e-01 2.556247558593751634e-01 9.080320135235874380e-04 1.058847930902244439e-02 2.557141113281250488e-01 9.066549875242174662e-04 1.054278838485479472e-02 8.845766368956398118e-01 6.971746917390347085e-04 5.360340734228152132e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.099999999999999978e-01 -2.054209061192877641e+02 6.646980266751393359e-04 2.060789186742584614e-02 2.075988769531251499e-01 5.977617965616699620e-04 7.870621326863775150e-03 2.079245605468750258e-01 5.931154050561413676e-04 7.735292160451412956e-03 9.212610415730753122e-01 4.147992755947820052e-04 3.326511200199466257e-03
0.000000000000000000e+00 0.000000000000000000e+00 2.999999999999999889e-01 -2.050195071735018360e+02 4.856648825988500880e-04 1.138628762361644856e-02 1.932033691406251086e-01 5.341402628030169839e-04 7.305724754273901569e-03 1.935861816406250213e-01 5.282294464393369558e-04 7.157656879365446000e-03 9.310377749136975467e-01 3.506725335747159925e-04 2.855642561653301374e-03
0.000000000000000000e+00 0.000000000000000000e+00 2.800000000000000266e-01 -2.042910218828536131e+02 2.758810129792244221e-04 3.894877577703262546e-03 1.717233886718750879e-01 4.530518175064341801e-04 6.697977197110661050e-03 1.724250488281250104e-01 4.451548621898786967e-04 6.456501950681209877e-03 9.447898003628752983e-01 2.748747345997499376e-04 2.235083285976643529e-03
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000111e-01 -2.020837508102303275e+02 3.826114525408475279e-05 1.028944318581954931e-04 1.086687011718750484e-01 3.443127888845120155e-04 5.618100690305239189e-03 1.130993652343750128e-01 3.138358397480171553e-04 4.635520888268947724e-03 9.770355322116617280e-01 1.422030433077122412e-04 9.214344518666163367e-04
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 -2.005048041584992689e+02 2.862006696577515979e-06 5.955611385798344116e-07 5.105078125000001021e-02 3.060592436801276356e-04 5.144354843139652134e-03 7.057031249999999589e-02 2.021898604996632761e-04 2.770368103027344084e-03 9.948208790161464643e-01 6.152797811461330636e-05 2.070797349524296856e-04
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.000000003967088276e+02 6.398272615196411570e-07 2.899298928112310167e-08 -2.434082031250000807e-04 2.949697986682690127e-04 5.022162432134153268e-03 5.601000976562500733e-02 1.561827244691481277e-04 1.885100485742092396e-03 1.000000007295635429e+00 9.807541019302519469e-09 6.394372166503810217e-12
