hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var wilson wilson_err wilson_var
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.999999999780897326e+02 1.922306589692673846e-08 1.351389871033166952e-10 4.867553710937499241e-05 1.292708405136169456e-04 4.991309276199900821e-03 5.587783813476562833e-02 7.219303697098855847e-05 1.868978850892745024e-03 9.999999997354035441e-01 2.370904526130373375e-10 2.041336820754774004e-14
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 -2.005048088855406831e+02 3.837281673674302171e-06 4.446266062913073590e-06 5.100234985351563555e-02 1.353528987114771597e-04 5.117035252453451186e-03 7.052037556966145315e-02 9.154667192659117025e-05 2.745151572547749157e-03 9.948287495992429452e-01 2.725057380154664009e-05 2.059100689010264168e-04
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000111e-01 -2.020836776928007907e+02 2.949863034313960077e-05 2.887520308065764495e-04 1.090669759114583776e-01 1.537104234256992785e-04 5.621651438706456658e-03 1.134646606445312567e-01 1.409015262691324104e-04 4.643027457998443949e-03 9.768641017553830741e-01 6.327533192016704443e-05 9.225825519539496925e-04
0.000000000000000000e+00 0.000000000000000000e+00 2.800000000000000266e-01 -2.042894168211850570e+02 1.302445765316676029e-04 5.041012190772959159e-03 1.708584594726563488e-01 2.090893978892720165e-04 6.599474635875482616e-03 1.716009521484375133e-01 2.052875606102616513e-04 6.345201030994455232e-03 9.452720674587571370e-01 1.250208200953794289e-04 2.191821727243936993e-03
0.000000000000000000e+00 0.000000000000000000e+00 2.999999999999999889e-01 -2.050128258031498660e+02 2.023964297633347605e-04 1.071361054332577861e-02 1.912033081054688444e-01 2.223910359274457573e-04 7.038957831667124257e-03 1.916132609049479296e-01 2.203427073000576602e-04 6.882021107514285987e-03 9.324840094251602984e-01 1.445221707715522910e-04 2.710557491422157465e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.099999999999999978e-01 -2.054073641399939447e+02 2.378424705712060155e-04 1.514593082098481328e-02 2.032990519205730429e-01 2.289811116616357299e-04 7.341116175045165823e-03 2.036035156250000089e-01 2.268113705082909796e-04 7.217229111989338294e-03 9.244963660195411048e-01 1.568041279827042667e-04 3.033043893832240885e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.300000000000000155e-01 -2.062739882212563600e+02 3.942250209151686863e-04 3.105279235279426869e-02 2.311948649088543251e-01 2.872496771943541956e-04 7.995685334958976126e-03 2.313383992513021181e-01 2.863302005331107921e-04 7.929295927027447261e-03 9.047602013978228719e-01 2.081094669223180528e-04 3.757752173992527037e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.400000000000000244e-01 -2.067547918867829821e+02 5.442552808616220447e-04 2.599019648616771039e-02 2.477485148111980839e-01 3.045590443021147474e-04 8.491653226553990894e-03 2.478428141276041718e-01 3.035318436262594041e-04 8.444919303018185580e-03 8.923420718904488957e-01 2.288411699531115882e-04 4.239363548158989886e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.499999999999999778e-01 -2.072678408758350486e+02 8.470184781095109125e-04 3.612669970179233775e-02 2.662525939941408071e-01 3.943045043125097734e-04 8.996164060857469308e-03 2.663062032063802098e-01 3.940206092021407988e-04 8.967614003268276762e-03 8.782549704213562514e-01 3.075338993001848552e-04 4.733107916904361750e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.699999999999999956e-01 -2.084153631805200462e+02 2.570519622664609819e-03 9.048807712530923530e-02 3.096614583333335280e-01 8.116724823819908416e-04 1.017691786024307182e-02 3.096761067708333481e-01 8.114900919411908780e-04 1.016784553262922372e-02 8.439686547488545187e-01 6.578370679055439100e-04 5.762903498590922664e-03
0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000222e-01 -2.104643039056483644e+02 6.063107776327581085e-03 2.134539156095276724e-01 3.766671752929690031e-01 1.082551171360310012e-03 1.093812323650347057e-02 3.766683959960936967e-01 1.082534475331757475e-03 1.093720363741740483e-02 7.901379855333816593e-01 8.815787809557145338e-04 6.514134369691872151e-03
0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e-01 -2.198040876673900357e+02 2.393873590873171059e-02 1.238157626297683223e+00 5.427622731526695610e-01 1.247416255025051964e-03 9.136230981877064422e-03 5.427622731526693389e-01 1.247416255025051096e-03 9.136230981877047075e-03 6.640846215749784953e-01 8.116360159971184717e-04 5.290786766144264797e-03
0.000000000000000000e+00 0.000000000000000000e+00 5.999999999999999778e-01 -2.324525482384598263e+02 9.410507794900867251e-02 9.542109484190390845e+00 6.432410176595055873e-01 1.862150656187430697e-03 9.115782629075062232e-03 6.432410176595051432e-01 1.862150656187429830e-03 9.115782629075046620e-03 6.012041785484932843e-01 7.863907637810028375e-04 4.322461392261360211e-03
0.000000000000000000e+00 0.000000000000000000e+00 6.999999999999999556e-01 -2.496180150021469331e+02 2.076529501590627658e-01 4.456915083286759227e+01 7.429745992024743284e-01 2.843052585589268908e-03 1.266990033543101760e-02 7.429745992024738843e-01 2.843052585589267607e-03 1.266990033543099504e-02 5.567387931747954655e-01 9.757788445836082991e-04 4.377297938406979338e-03
