hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var wilson wilson_err wilson_var
0.000000000000000000e+00 0.000000000000000000e+00 6.999999999999999556e-01 -2.580535576511153408e+02 1.889869934935964823e-04 9.157149459083729209e-03 8.678266398111984525e-01 3.498169549692728485e-04 4.852317928015778895e-03 8.678266398111980084e-01 3.498169549692726316e-04 4.852317928015771088e-03 5.159211533808817363e-01 1.169692541869052729e-04 2.446948127619949336e-03
0.000000000000000000e+00 0.000000000000000000e+00 5.999999999999999778e-01 -2.411492730472024277e+02 2.864854644698766823e-04 1.970563051561710979e-02 8.177722167968755063e-01 3.620848858572261000e-04 6.509331415593636039e-03 8.177722167968749512e-01 3.620848858572258831e-04 6.509331415593623028e-03 5.300365588939408568e-01 1.621163623295086452e-04 3.126886606273154671e-03
0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e-01 -2.255607475376686182e+02 4.540844600249766602e-04 4.818124742523505200e-02 7.331949361165368551e-01 4.180506130370781836e-04 8.965626530346682346e-03 7.331949361165365220e-01 4.180506130370777499e-04 8.965626530346666734e-03 5.616375282522316770e-01 2.022150902256250138e-04 3.616254790971558820e-03
0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000222e-01 -2.124071880580642073e+02 8.640841152129613394e-04 1.765300474149025245e-01 5.593673197428388200e-01 6.007097359900074891e-04 1.252637482148649152e-02 5.593673197428385979e-01 6.007097359900070554e-04 1.252637482148646897e-02 6.548257395091265920e-01 4.005455801047801655e-04 5.552664089924956060e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.699999999999999956e-01 -2.092984183568930803e+02 1.116469580811158642e-03 2.484390811965805634e-01 4.688562011718752087e-01 6.402837035844264604e-04 1.385039257059496667e-02 4.688570149739583193e-01 6.402260979117995777e-04 1.384962945762607811e-02 7.159353885091387371e-01 4.771773307608152370e-04 6.647993249369656479e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.499999999999999778e-01 -2.075833398756846009e+02 1.120268428478990571e-03 2.848128352139530084e-01 3.785921732584637822e-01 6.750231588355272688e-04 1.475507673968615152e-02 3.786030578613280850e-01 6.748181829068724711e-04 1.474683497030443088e-02 7.844611248996629094e-01 5.360223403362107501e-04 7.878269099544827486e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.400000000000000244e-01 -2.068957962261909813e+02 9.252413466754904389e-04 2.093775623152894783e-01 3.118764750162762445e-01 5.859872350484308587e-04 1.373697770219039528e-02 3.119152323404947857e-01 5.856644824052723670e-04 1.371280120474338039e-02 8.386983358273829570e-01 4.674467767739954368e-04 7.507230986043604559e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.300000000000000155e-01 -2.063315460432639270e+02 6.620408670940683372e-04 1.075225587450495679e-01 2.575305684407553919e-01 4.107811568109088042e-04 1.066489088075599223e-02 2.576304626464843706e-01 4.101788738345862081e-04 1.061342927873289849e-02 8.831354558095337870e-01 3.213393797277624389e-04 5.427641254001644780e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.099999999999999978e-01 -2.054201259071561196e+02 3.041169171107295901e-04 2.055284488118877539e-02 2.071488444010418095e-01 2.545669811624017747e-04 7.776138082974497212e-03 2.074362182617187633e-01 2.526583856094016204e-04 7.656997172938039345e-03 9.213827755606309733e-01 1.795961333686706737e-04 3.295519319694154188e-03
0.000000000000000000e+00 0.000000000000000000e+00 2.999999999999999889e-01 -2.050196633309982985e+02 2.221740590571997815e-04 1.135905553935776316e-02 1.938094584147136701e-01 2.409415806115952294e-04 7.315934397029285816e-03 1.942152404785156272e-01 2.392332900848319333e-04 7.158480933906198954e-03 9.305147396336967969e-01 1.588387369081180355e-04 2.867629030644742831e-03
0.000000000000000000e+00 0.000000000000000000e+00 2.800000000000000266e-01 -2.042912178493353963e+02 1.222143612207572639e-04 3.910251009137822448e-03 1.715652465820313444e-01 2.088087535357058624e-04 6.674553990767656021e-03 1.723105875651041452e-01 2.036804099448408516e-04 6.418249238489402708e-03 9.448386144960180255e-01 1.246559481522894748e-04 2.226694445711927418e-03
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000111e-01 -2.020837642977210749e+02 1.777997888064665255e-05 1.033313703869390458e-04 1.087985738118490003e-01 1.563245902454875531e-04 5.628732356364430159e-03 1.131977844238281350e-01 1.423440957753500306e-04 4.652123621393305930e-03 9.769778275676169743e-01 6.416393857806151901e-05 9.249208023218405579e-04
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 -2.005048053320382451e+02 1.292531201380419553e-06 5.923603878203659341e-07 5.085550944010416852e-02 1.418987199837806322e-04 5.141003943441645879e-03 7.048858642578124944e-02 9.757045400790798550e-05 2.758645967549333729e-03 9.948595509123654423e-01 2.847789697996533874e-05 2.068180847639439083e-04
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.000000000064951848e+02 2.917686092884959358e-07 2.911121232626210260e-08 -1.520792643229166414e-04 1.327161430985190178e-04 5.018147037912989300e-03 5.604003906250000500e-02 7.245918576275827631e-05 1.877684187889099368e-03 1.000000000719204252e+00 4.495765605390911331e-09 6.428411025342687292e-12
