hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var wilson wilson_err wilson_var exact_energy
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.799999999408501594e+01 0.000000000000000000e+00 2.377534823578458567e-08 1.287360044879029001e-05 0.000000000000000000e+00 5.555981191628209942e-02 1.287360044879029001e-05 0.000000000000000000e+00 5.555981191628209942e-02 9.999999991821615364e-01 0.000000000000000000e+00 4.714803050842463016e-10 -1.800000000000004263e+01
1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.804781090002633803e+01 0.000000000000000000e+00 2.020894275148361636e-05 5.509206310339685025e-02 0.000000000000000000e+00 6.326005747471129259e-02 5.509206310339685025e-02 0.000000000000000000e+00 6.326005747471129259e-02 9.942843259116582733e-01 0.000000000000000000e+00 2.535409604857141556e-03 -1.804781420138851544e+01
2.000000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.821046907620462818e+01 0.000000000000000000e+00 1.605193794205628656e-04 1.312413834289786196e-01 0.000000000000000000e+00 8.030073967149570224e-02 1.312413834289786196e-01 0.000000000000000000e+00 8.030073967149570224e-02 9.707194812407875517e-01 0.000000000000000000e+00 1.286098987867571874e-02 -1.821049563823067174e+01
2.999999999999999889e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.855571120357927128e+01 0.000000000000000000e+00 8.790927939923839311e-05 2.676570236901996691e-01 0.000000000000000000e+00 1.167281236880599732e-01 2.676570236901996691e-01 0.000000000000000000e+00 1.167281236880599732e-01 9.015998986273153770e-01 0.000000000000000000e+00 3.978625118196180144e-02 -1.855577054356151834e+01
3.200000000000000067e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.865918712842703897e+01 0.000000000000000000e+00 4.136778874393110461e-04 3.078471243938580848e-01 0.000000000000000000e+00 1.255327197650107918e-01 3.078471243938580848e-01 0.000000000000000000e+00 1.255327197650107918e-01 8.775438477267956117e-01 0.000000000000000000e+00 4.749862564559979849e-02 -1.865922083958268374e+01
3.499999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.884346646932366909e+01 0.000000000000000000e+00 6.299423380081020651e-04 3.762931203566282079e-01 0.000000000000000000e+00 1.366810619256481341e-01 3.762931203566282079e-01 0.000000000000000000e+00 1.366810619256481341e-01 8.345020000220415568e-01 0.000000000000000000e+00 5.880752607809383581e-02 -1.884351784883967085e+01
4.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.923842709960874231e+01 0.000000000000000000e+00 1.554664175042774852e-03 5.023869854896342302e-01 0.000000000000000000e+00 1.424415678343462499e-01 5.023869854896342302e-01 0.000000000000000000e+00 1.424415678343462499e-01 7.500434734689382932e-01 0.000000000000000000e+00 7.143609352655951039e-02 -1.923858788840417944e+01
5.000000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.034181676641475889e+01 0.000000000000000000e+00 8.746587337745291482e-04 7.052564214452479163e-01 0.000000000000000000e+00 1.097242021858062244e-01 7.052564214452479163e-01 0.000000000000000000e+00 1.097242021858062244e-01 6.130732478892091386e-01 0.000000000000000000e+00 6.347349353501374747e-02 -2.034189058840843956e+01
5.999999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.171659994619678002e+01 0.000000000000000000e+00 3.133382656864775124e-04 8.101655084691830044e-01 0.000000000000000000e+00 7.604992914543218241e-02 8.101655084691830044e-01 0.000000000000000000e+00 7.604992914543218241e-02 5.510488146401546494e-01 0.000000000000000000e+00 4.796744005878508799e-02 -2.171662360271273329e+01
6.999999999999999556e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.322947410591125106e+01 0.000000000000000000e+00 1.358808484069928867e-04 8.656173469236776441e-01 0.000000000000000000e+00 5.542243693172094199e-02 8.656173469236776441e-01 0.000000000000000000e+00 5.542243693172094199e-02 5.256394628962157700e-01 0.000000000000000000e+00 3.925968472896096406e-02 -2.322948321372521363e+01
8.000000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.481985851177444147e+01 0.000000000000000000e+00 6.611405332275091605e-05 8.989659999116295097e-01 0.000000000000000000e+00 4.238969845190772301e-02 8.989659999116295097e-01 0.000000000000000000e+00 4.238969845190772301e-02 5.142021576162887353e-01 0.000000000000000000e+00 3.475508892045939269e-02 -2.481986251840852731e+01
9.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.645903650283780451e+01 0.000000000000000000e+00 3.265944534020878850e-05 9.209497105834711927e-01 0.000000000000000000e+00 3.356049497632527384e-02 9.209497105834711927e-01 0.000000000000000000e+00 3.356049497632527384e-02 5.084761597925249177e-01 0.000000000000000000e+00 3.229081503381196760e-02 -2.645903826775794343e+01
