hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var wilson wilson_err wilson_var exact_energy
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.799999999999997158e+01 0.000000000000000000e+00 1.797929565770459787e-13 2.608919226642614809e-08 0.000000000000000000e+00 5.555556425800682596e-02 2.608919226642614809e-08 0.000000000000000000e+00 5.555556425800682596e-02 9.999999999999957812e-01 0.000000000000000000e+00 3.065806805626225987e-15 -1.800000000000004263e+01
1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.802726400456876732e+01 0.000000000000000000e+00 8.523241915625295873e-02 3.349298788583535830e-02 0.000000000000000000e+00 6.680512134729656160e-02 3.349298788583535830e-02 0.000000000000000000e+00 6.680512134729656160e-02 9.954176501581361025e-01 0.000000000000000000e+00 2.626441027668740755e-03 -1.804781420138851544e+01
2.000000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.813807467262536477e+01 0.000000000000000000e+00 3.198524039126449114e-01 9.696681173462806669e-02 0.000000000000000000e+00 8.706200315093980124e-02 9.696681173462806669e-02 0.000000000000000000e+00 8.706200315093980124e-02 9.708714153160402649e-01 0.000000000000000000e+00 1.597546043970218821e-02 -1.821049563823067174e+01
2.999999999999999889e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.841968787537283347e+01 0.000000000000000000e+00 6.527689643818270770e-01 2.352050539693594233e-01 0.000000000000000000e+00 1.198374301576878020e-01 2.352050539693594233e-01 0.000000000000000000e+00 1.198374301576878020e-01 8.851067328534172329e-01 0.000000000000000000e+00 5.307596964556779429e-02 -1.855577054356151834e+01
3.200000000000000067e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.851226180783129394e+01 0.000000000000000000e+00 7.140862583244567130e-01 2.804333439753758928e-01 0.000000000000000000e+00 1.265123040816962807e-01 2.804333439753758928e-01 0.000000000000000000e+00 1.265123040816962807e-01 8.524682300230639331e-01 0.000000000000000000e+00 6.328847364565573508e-02 -1.865922083958268374e+01
3.499999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.868547037186669257e+01 0.000000000000000000e+00 7.727141372717248879e-01 3.644434123741487896e-01 0.000000000000000000e+00 1.334837912455752174e-01 3.644434123741487896e-01 0.000000000000000000e+00 1.334837912455752174e-01 7.895796046391487799e-01 0.000000000000000000e+00 7.686675022297759230e-02 -1.884351784883967085e+01
4.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.908892792383134918e+01 0.000000000000000000e+00 6.854519899409663442e-01 5.331832527600315341e-01 0.000000000000000000e+00 1.275973632392358170e-01 5.331832527600315341e-01 0.000000000000000000e+00 1.275973632392358170e-01 6.660699338310576145e-01 0.000000000000000000e+00 7.990599858939570477e-02 -1.923858788840417944e+01
5.000000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.026399925731634966e+01 0.000000000000000000e+00 3.527380131605895586e-01 7.380390953781419405e-01 0.000000000000000000e+00 9.051893276163675006e-02 7.380390953781419405e-01 0.000000000000000000e+00 9.051893276163675006e-02 5.510150868144388925e-01 0.000000000000000000e+00 5.318150369615960021e-02 -2.034189058840843956e+01
5.999999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.167844492431219194e+01 0.000000000000000000e+00 2.169413201570830896e-01 8.239316847307747160e-01 0.000000000000000000e+00 6.636289415263704750e-02 8.239316847307747160e-01 0.000000000000000000e+00 6.636289415263704750e-02 5.219068193076792372e-01 0.000000000000000000e+00 4.095136237123831596e-02 -2.171662360271273329e+01
6.999999999999999556e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.320818957563933083e+01 0.000000000000000000e+00 1.512593214575141953e-01 8.718047664313988143e-01 0.000000000000000000e+00 5.062943406897183612e-02 8.718047664313988143e-01 0.000000000000000000e+00 5.062943406897183612e-02 5.111423902459204527e-01 0.000000000000000000e+00 3.545775033000875265e-02 -2.322948321372521363e+01
8.000000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.480662041509305027e+01 0.000000000000000000e+00 1.130306660621113873e-01 9.021430187357599717e-01 0.000000000000000000e+00 3.978224613347802058e-02 9.021430187357599717e-01 0.000000000000000000e+00 3.978224613347802058e-02 5.062820817141759910e-01 0.000000000000000000e+00 3.263822282462294777e-02 -2.481986251840852731e+01
9.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.645014740500614181e+01 0.000000000000000000e+00 8.823222826693424836e-02 9.227681515910859389e-01 0.000000000000000000e+00 3.201078000285029201e-02 9.227681515910859389e-01 0.000000000000000000e+00 3.201078000285029201e-02 5.038102143174267855e-01 0.000000000000000000e+00 3.104549620244087538e-02 -2.645903826775794343e+01
