hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var wilson wilson_err wilson_var exact_energy
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.799999999354854907e+01 0.000000000000000000e+00 2.610888442574405627e-08 1.333146375286826550e-05 0.000000000000000000e+00 5.555999991739950239e-02 1.333146375286826550e-05 0.000000000000000000e+00 5.555999991739950239e-02 9.999999991081706119e-01 0.000000000000000000e+00 5.152795164013461285e-10 -1.799999999999999645e+01
1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.804545327538529875e+01 0.000000000000000000e+00 1.432185747585997736e-05 1.761662550960244299e-05 0.000000000000000000e+00 5.556141449469727267e-02 1.761662550960244299e-05 0.000000000000000000e+00 5.556141449469727267e-02 9.948423840354154724e-01 0.000000000000000000e+00 2.285390487568842929e-03 -1.804781420138849768e+01
2.000000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.819117532456205666e+01 0.000000000000000000e+00 2.494891299017429906e-04 1.544480062195921521e-05 0.000000000000000000e+00 5.556056672801289870e-02 1.544480062195921521e-05 0.000000000000000000e+00 5.556056672801289870e-02 9.762569946560218925e-01 0.000000000000000000e+00 1.039971235782909988e-02 -1.821049563823068951e+01
2.999999999999999889e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.851838875328276401e+01 0.000000000000000000e+00 3.568940933667762508e-03 -1.222629615308955263e-05 0.000000000000000000e+00 5.555138760910002804e-02 -1.222629615308955263e-05 0.000000000000000000e+00 5.555138760910002804e-02 9.150424890657007371e-01 0.000000000000000000e+00 3.498613053934072903e-02 -1.855577054356148281e+01
3.200000000000000067e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.861049570266462183e+01 0.000000000000000000e+00 6.224240952174837915e-02 2.199894227363687551e-05 0.000000000000000000e+00 5.556224523950739624e-02 2.199894227363687551e-05 0.000000000000000000e+00 5.556224523950739624e-02 8.891871736268573967e-01 0.000000000000000000e+00 4.380149585308238530e-02 -1.865922083958267663e+01
3.499999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.882014939845843315e+01 0.000000000000000000e+00 5.330409814641183866e-03 8.626260933511148334e-06 0.000000000000000000e+00 5.555777635834539818e-02 8.626260933511148334e-06 0.000000000000000000e+00 5.555777635834539818e-02 8.422963614752205785e-01 0.000000000000000000e+00 5.699076481549217310e-02 -1.884351784883972059e+01
4.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.923760540514267348e+01 0.000000000000000000e+00 4.196258231751277476e-04 1.496105429361821706e-05 0.000000000000000000e+00 5.555781376852889086e-02 1.496105429361821706e-05 0.000000000000000000e+00 5.555781376852889086e-02 7.508198682261844059e-01 0.000000000000000000e+00 7.130610121089792086e-02 -1.923858788840423983e+01
5.000000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.034188990375189121e+01 0.000000000000000000e+00 7.629817652146726718e-06 1.218174079329790831e-07 0.000000000000000000e+00 5.555552292572254330e-02 1.218174079329790831e-07 0.000000000000000000e+00 5.555552292572254330e-02 6.133142703884096880e-01 0.000000000000000000e+00 6.347680927391194383e-02 -2.034189058840841824e+01
5.999999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.171662349652577007e+01 0.000000000000000000e+00 1.390001973837997742e-06 7.772804141040686406e-06 0.000000000000000000e+00 5.555572658361407345e-02 7.772804141040686406e-06 0.000000000000000000e+00 5.555572658361407345e-02 5.511352832439746496e-01 0.000000000000000000e+00 4.797860335987241126e-02 -2.171662360271275105e+01
6.999999999999999556e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.322948298201176698e+01 0.000000000000000000e+00 3.510986864735326799e-06 5.133949086069236960e-06 0.000000000000000000e+00 5.555562637009132249e-02 5.133949086069236960e-06 0.000000000000000000e+00 5.555562637009132249e-02 5.256848103495939117e-01 0.000000000000000000e+00 3.926750431052974250e-02 -2.322948321372521008e+01
8.000000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.481986214256232870e+01 0.000000000000000000e+00 6.430733396589021335e-06 -2.296485680688981355e-06 0.000000000000000000e+00 5.555498417416195045e-02 -2.296485680688981355e-06 0.000000000000000000e+00 5.555498417416195045e-02 5.142133189323970788e-01 0.000000000000000000e+00 3.475611437177103524e-02 -2.481986251840850599e+01
9.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.645903802278416705e+01 0.000000000000000000e+00 4.572539670752343096e-06 -2.517766101700204567e-07 0.000000000000000000e+00 5.555553559010709130e-02 -2.517766101700204567e-07 0.000000000000000000e+00 5.555553559010709130e-02 5.084809708368274173e-01 0.000000000000000000e+00 3.229107784823841143e-02 -2.645903826775795054e+01
