hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var wilson wilson_err wilson_var exact_energy
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.799999999409495288e+01 0.000000000000000000e+00 2.377958705931228029e-08 1.279760411698353928e-05 0.000000000000000000e+00 5.555981188180249275e-02 1.279760411698353928e-05 0.000000000000000000e+00 5.555981188180249275e-02 9.999999991826613588e-01 0.000000000000000000e+00 4.719799168778434975e-10 -1.800000000000004263e+01
1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.804781073846701389e+01 0.000000000000000000e+00 9.149969554372702066e-06 5.509297736312916000e-02 0.000000000000000000e+00 6.325979766435155249e-02 5.509297736312916000e-02 0.000000000000000000e+00 6.325979766435155249e-02 9.942840178866190204e-01 0.000000000000000000e+00 2.535650033838133220e-03 -1.804781420138851544e+01
2.000000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.821047739658743225e+01 0.000000000000000000e+00 1.700535863153246124e-05 1.312554941380746076e-01 0.000000000000000000e+00 8.031528666785589521e-02 1.312554941380746076e-01 0.000000000000000000e+00 8.031528666785589521e-02 9.707236664819312022e-01 0.000000000000000000e+00 1.285739873130496355e-02 -1.821049563823067174e+01
2.999999999999999889e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.855575025370461617e+01 0.000000000000000000e+00 1.315407709945899803e-04 2.677096406188641531e-01 0.000000000000000000e+00 1.167487300333368699e-01 2.677096406188641531e-01 0.000000000000000000e+00 1.167487300333368699e-01 9.015695580735159087e-01 0.000000000000000000e+00 3.979754807145403223e-02 -1.855577054356151834e+01
3.200000000000000067e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.865920732560448769e+01 0.000000000000000000e+00 1.565994675909877895e-04 3.077924474231498730e-01 0.000000000000000000e+00 1.255312613219470852e-01 3.077924474231498730e-01 0.000000000000000000e+00 1.255312613219470852e-01 8.776217386496550921e-01 0.000000000000000000e+00 4.746612794668467888e-02 -1.865922083958268374e+01
3.499999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.884350731700298809e+01 0.000000000000000000e+00 1.319630265221513068e-04 3.763184108288202823e-01 0.000000000000000000e+00 1.367022717881276328e-01 3.763184108288202823e-01 0.000000000000000000e+00 1.367022717881276328e-01 8.344455783746717037e-01 0.000000000000000000e+00 5.882639866474798779e-02 -1.884351784883967085e+01
4.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.923856929243266833e+01 0.000000000000000000e+00 2.299833516921356835e-04 5.023294713854610238e-01 0.000000000000000000e+00 1.424102805146347239e-01 5.023294713854610238e-01 0.000000000000000000e+00 1.424102805146347239e-01 7.504288148484861143e-01 0.000000000000000000e+00 7.134707492667757833e-02 -1.923858788840417944e+01
5.000000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.034186877629792178e+01 0.000000000000000000e+00 2.875500831614876481e-04 7.052199888528818406e-01 0.000000000000000000e+00 1.097363800779540821e-01 7.052199888528818406e-01 0.000000000000000000e+00 1.097363800779540821e-01 6.132053160663148983e-01 0.000000000000000000e+00 6.347606137363029366e-02 -2.034189058840843956e+01
5.999999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.171661343419367540e+01 0.000000000000000000e+00 1.642747873962680395e-04 8.101621757338623997e-01 0.000000000000000000e+00 7.605012639446179223e-02 8.101621757338623997e-01 0.000000000000000000e+00 7.605012639446179223e-02 5.510748436366531555e-01 0.000000000000000000e+00 4.796822350791637990e-02 -2.171662360271273329e+01
6.999999999999999556e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.322947803392201394e+01 0.000000000000000000e+00 8.939882404131382291e-05 8.656147271878797955e-01 0.000000000000000000e+00 5.542335500562180217e-02 8.656147271878797955e-01 0.000000000000000000e+00 5.542335500562180217e-02 5.256265392527715852e-01 0.000000000000000000e+00 3.925562612473797175e-02 -2.322948321372521363e+01
8.000000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.481985988753758221e+01 0.000000000000000000e+00 4.879412062129094422e-05 8.989650521830275798e-01 0.000000000000000000e+00 4.239016203322064358e-02 8.989650521830275798e-01 0.000000000000000000e+00 4.239016203322064358e-02 5.141622810261907706e-01 0.000000000000000000e+00 3.474490787436729233e-02 -2.481986251840852731e+01
9.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.645903690155899213e+01 0.000000000000000000e+00 2.736607550374880020e-05 9.209494324353448835e-01 0.000000000000000000e+00 3.356064245660405482e-02 9.209494324353448835e-01 0.000000000000000000e+00 3.356064245660405482e-02 5.084396814225535799e-01 0.000000000000000000e+00 3.228159675193015277e-02 -2.645903826775794343e+01
