hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var wilson wilson_err wilson_var exact_energy
9.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.645903672323740352e+01 0.000000000000000000e+00 2.960471309376801115e-05 -2.636779683484746784e-16 0.000000000000000000e+00 5.555555555555199976e-02 1.837215683922919229e-01 0.000000000000000000e+00 2.180194086302837675e-02 5.084676265103140747e-01 0.000000000000000000e+00 3.228896787555329828e-02 -2.645903826775799672e+01
8.000000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.481985909834346415e+01 0.000000000000000000e+00 5.983715103029232029e-05 -6.938893903907228378e-18 0.000000000000000000e+00 5.555555555555558023e-02 1.834769276632609580e-01 0.000000000000000000e+00 2.189177257080608674e-02 5.141874731828832701e-01 0.000000000000000000e+00 3.475217432047777999e-02 -2.481986251840847757e+01
6.999999999999999556e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.322947477328077071e+01 0.000000000000000000e+00 1.306961735199918019e-04 6.938893903907228378e-18 0.000000000000000000e+00 5.555555555555557329e-02 1.831261255023045043e-01 0.000000000000000000e+00 2.202037771406975541e-02 5.256368219683267284e-01 0.000000000000000000e+00 3.926065923589470985e-02 -2.322948321372515679e+01
5.999999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.171660986333765209e+01 0.000000000000000000e+00 2.011862416246841632e-04 -1.977584762613560088e-16 0.000000000000000000e+00 5.555555555555553859e-02 1.825594052115450672e-01 0.000000000000000000e+00 2.222761912436240633e-02 5.510485045331203757e-01 0.000000000000000000e+00 4.797448245891653557e-02 -2.171662360271279724e+01
5.000000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.034186051284530805e+01 0.000000000000000000e+00 4.079534277023262080e-04 1.040834085586084257e-17 0.000000000000000000e+00 5.555555555555558023e-02 1.814895835727075579e-01 0.000000000000000000e+00 2.261708661016076372e-02 6.132265922872492947e-01 0.000000000000000000e+00 6.348354403820724579e-02 -2.034189058840835429e+01
4.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.923853678345559359e+01 0.000000000000000000e+00 6.449933891190928054e-04 3.469446951953614189e-17 0.000000000000000000e+00 5.555555555555542757e-02 1.794508672309379493e-01 0.000000000000000000e+00 2.335294180561968760e-02 7.504114876125907996e-01 0.000000000000000000e+00 7.135685400869332118e-02 -1.923858788840414391e+01
3.499999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.884347045880821270e+01 0.000000000000000000e+00 5.791324623217661543e-04 -6.938893903907228378e-18 0.000000000000000000e+00 5.555555555555553859e-02 1.782476234605458454e-01 0.000000000000000000e+00 2.378334028622298632e-02 8.344680683698026957e-01 0.000000000000000000e+00 5.882100672028174604e-02 -1.884351784883965664e+01
3.200000000000000067e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.865918705318492243e+01 0.000000000000000000e+00 4.134890793522105236e-04 -6.938893903907228378e-18 0.000000000000000000e+00 5.555555555555558023e-02 1.776279730386711442e-01 0.000000000000000000e+00 2.400385874972866748e-02 8.776417165648651153e-01 0.000000000000000000e+00 4.745622917371146443e-02 -1.865922083958278677e+01
2.999999999999999889e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.855574571870100442e+01 0.000000000000000000e+00 3.041335967076500306e-04 1.040834085586084257e-17 0.000000000000000000e+00 5.555555555555554553e-02 1.772814577881178244e-01 0.000000000000000000e+00 2.412684028007531373e-02 9.015744476314362377e-01 0.000000000000000000e+00 3.979259922613276323e-02 -1.855577054356153610e+01
2.000000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.821049147459611817e+01 0.000000000000000000e+00 5.150982148728579983e-05 1.096345236817342084e-15 0.000000000000000000e+00 5.555555555555544145e-02 1.762500725710338667e-01 0.000000000000000000e+00 2.449146747426071344e-02 9.707199071457209838e-01 0.000000000000000000e+00 1.285918460512901901e-02 -1.821049563823061845e+01
1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.804781394145697959e+01 0.000000000000000000e+00 2.989915663851424091e-06 -1.353084311261909534e-16 0.000000000000000000e+00 5.555555555555508063e-02 1.758754609601955454e-01 0.000000000000000000e+00 2.462337778759378717e-02 9.942831267445259025e-01 0.000000000000000000e+00 2.536103567918019091e-03 -1.804781420138843018e+01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.799999999303964060e+01 0.000000000000000000e+00 2.784144288060186838e-08 3.122502256758252770e-17 0.000000000000000000e+00 5.555555555566083631e-02 1.757812500129191935e-01 0.000000000000000000e+00 2.465650769955640698e-02 9.999999992050454534e-01 0.000000000000000000e+00 3.677007186496973751e-10 -1.800000000000000711e+01
