# hx, hy, hz, energy, energy_var, mag, mag_var, abs_mag, abs_mag_var, wilson, wilson_var, exact_energy
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.799999999804835937e+01 7.915171620725390926e-09 7.362189301722839755e-06 5.555799316382533520e-02 7.362189301722839755e-06 5.555799316382533520e-02 9.999999997310254907e-01 1.551103519125292086e-10 -1.800000000000004263e+01
1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.804780570075814339e+01 5.618640959787262140e-05 5.507738245420797096e-02 6.324032801573094276e-02 5.507738245420797096e-02 6.324032801573094276e-02 9.942858810923795865e-01 2.534873749722729198e-03 -1.804781420138851544e+01
2.000000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.821046217376443366e+01 2.337362505922456707e-04 1.312290487172537712e-01 8.029109448152035866e-02 1.312290487172537712e-01 8.029109448152035866e-02 9.707270581393139253e-01 1.285639786810299952e-02 -1.821049563823067174e+01
2.999999999999999889e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.855567226372190959e+01 1.092166918600630341e-03 2.676594742821063466e-01 1.167277189038603002e-01 2.676594742821063466e-01 1.167277189038603002e-01 9.015140539047805657e-01 3.983224519985958251e-02 -1.855577054356151834e+01
3.200000000000000067e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.865911670143650625e+01 4.586161992993164857e-04 3.077232659254104941e-01 1.255090159941333883e-01 3.077232659254104941e-01 1.255090159941333883e-01 8.776244388741151203e-01 4.746873377568472385e-02 -1.865922083958268374e+01
3.499999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.884342340453299869e+01 5.407066788350838038e-04 3.762507916488952442e-01 1.366873188557204410e-01 3.762507916488952442e-01 1.366873188557204410e-01 8.344610597155263099e-01 5.882179660464045834e-02 -1.884351784883967085e+01
4.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.923856126696133728e+01 3.280590424031177578e-04 5.023363910753003703e-01 1.424060953463958390e-01 5.023363910753003703e-01 1.424060953463958390e-01 7.504648879553634799e-01 7.133562234694937332e-02 -1.923858788840417944e+01
5.000000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.034188556700471295e+01 7.636078597649082161e-05 7.052170711178018525e-01 1.097345248175501109e-01 7.052170711178018525e-01 1.097345248175501109e-01 6.133415749381114779e-01 6.347684800651323678e-02 -2.034189058840843956e+01
5.999999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.171659982887852891e+01 3.378596370529016743e-04 8.101654539357295848e-01 7.604678296280591165e-02 8.101654539357295848e-01 7.604678296280591165e-02 5.509824945330930035e-01 4.795412567725697295e-02 -2.171662360271273329e+01
6.999999999999999556e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.322947477430107455e+01 1.306883231753922154e-04 8.656172610441663640e-01 5.542228652697667179e-02 8.656172610441663640e-01 5.542228652697667179e-02 5.256368302632226097e-01 3.926065984703121237e-02 -2.322948321372521363e+01
8.000000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.481985854613324705e+01 6.762639382938508462e-05 8.989659354216790188e-01 4.238964968386464693e-02 8.989659354216790188e-01 4.238964968386464693e-02 5.142079930684089195e-01 3.475662293517250978e-02 -2.481986251840852731e+01
