# hx, hy, hz, energy, energy_var, mag, mag_var, abs_mag, abs_mag_var, wilson, wilson_var, exact_energy
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.799999999732322209e+01 1.140502550545774603e-08 8.682437199758474833e-10 5.555555593298901196e-02 1.758282124472446695e-01 2.463999564059559180e-02 9.999999996380256606e-01 2.084133988305006483e-10 -1.800000000000004263e+01
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 -1.804545638376220040e+01 2.829695067948505998e-06 5.101317775570025914e-02 5.707247263967933637e-02 1.823020314208973480e-01 2.644078628422815921e-02 9.948420565582363206e-01 2.285522594309469160e-03 -1.804781420138848347e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000111e-01 -1.819336371192692070e+01 2.432888389367050775e-04 1.143662814820204099e-01 6.682160747512208565e-02 2.101320009415728607e-01 3.574579599543759034e-02 9.756449932403828962e-01 1.067249037162308449e-02 -1.821049563823061135e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.999999999999999889e-01 -1.853230976597264856e+01 2.513497952597996098e-03 2.492154048204952566e-01 1.082232227987196260e-01 3.136381101223482126e-01 7.196267667744464525e-02 9.099780947187161573e-01 3.683749261151125082e-02 -1.855577054356151478e+01
0.000000000000000000e+00 0.000000000000000000e+00 3.099999999999999978e-01 -1.858891791823595696e+01 2.189240389538082195e-03 2.741475878108577957e-01 1.157282989155299924e-01 3.351244964602082543e-01 7.857677069033378037e-02 8.962046964436662932e-01 4.156884952866228555e-02 -1.860569268713481961e+01
0.000000000000000000e+00 0.000000000000000000e+00 3.300000000000000155e-01 -1.870406368971023880e+01 2.238596353273335313e-03 3.203011499877304047e-01 1.264950021660528057e-01 3.734122610978913848e-01 8.965111211127554935e-02 8.687788056630789679e-01 5.004042452219505804e-02 -1.871656909868396568e+01
0.000000000000000000e+00 0.000000000000000000e+00 3.499999999999999778e-01 -1.883770106414664269e+01 1.384181029523025904e-03 3.721846923138861785e-01 1.356578584216032723e-01 4.172679551400707565e-01 1.000667572276091877e-01 8.366231169437619020e-01 5.832297902276976920e-02 -1.884351784883974545e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000222e-01 -1.923833689244303358e+01 1.077416868009067793e-04 5.021921819634835860e-01 1.424049737932421844e-01 5.290982355802241743e-01 1.146570185243800943e-01 7.505676589918465202e-01 7.132463769331751080e-02 -1.923858788840406220e+01
0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e-01 -2.034189057358282682e+01 1.542401780836830044e-08 7.052139025400655514e-01 1.097356048312220222e-01 7.127680506771889579e-01 9.902395910085098896e-02 6.133206718153012549e-01 6.347784703898470826e-02 -2.034189058840842890e+01
0.000000000000000000e+00 0.000000000000000000e+00 5.999999999999999778e-01 -2.171662360126476088e+01 2.754552654844620847e-09 8.101524133953589279e-01 7.605361717943232014e-02 8.123874138539766143e-01 7.242723992140431832e-02 5.511353095826786452e-01 4.797860656668163915e-02 -2.171662360271277237e+01
0.000000000000000000e+00 0.000000000000000000e+00 6.999999999999999556e-01 -2.322948321246953185e+01 3.480466969925741125e-09 8.656127755610245611e-01 5.542395242365594915e-02 8.664058013550255399e-01 5.405041701647261831e-02 5.256849640765635101e-01 3.926756204114896509e-02 -2.322948321372509994e+01
0.000000000000000000e+00 0.000000000000000000e+00 8.000000000000000444e-01 -2.481986251690300094e+01 6.463994637887910234e-09 8.989641024843387784e-01 4.239048547494878028e-02 8.992931307733630364e-01 4.179880797426421823e-02 5.142138475275517262e-01 3.475629296220315162e-02 -2.481986251840853441e+01
