hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var wilson wilson_err wilson_var exact_energy
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.799999999408507279e+01 0.000000000000000000e+00 2.377503922905308325e-08 -1.620458454920647995e-10 0.000000000000000000e+00 5.555555687991986513e-02 1.757717798031623313e-01 0.000000000000000000e+00 2.465983830474845206e-02 9.999999991821704182e-01 0.000000000000000000e+00 4.714743543929305861e-10 -1.800000000000004263e+01
1.000000000000000056e-01 0.000000000000000000e+00 1.000000000000000056e-01 -1.809311861907448105e+01 0.000000000000000000e+00 1.017524332409783141e-04 5.080648870299669245e-02 0.000000000000000000e+00 5.687421067782230666e-02 1.821745878600939395e-01 0.000000000000000000e+00 2.626792951015493455e-02 9.891720985167138380e-01 0.000000000000000000e+00 4.796402621899398255e-03 -1.809415355728435770e+01
2.000000000000000111e-01 0.000000000000000000e+00 2.000000000000000111e-01 -1.839895456047381472e+01 0.000000000000000000e+00 3.026358978880659949e-03 1.105738668659314305e-01 0.000000000000000000e+00 6.447769145915323297e-02 2.066090714241252124e-01 0.000000000000000000e+00 3.401696309809864455e-02 9.481019940132392465e-01 0.000000000000000000e+00 2.262790986424752238e-02 -1.840521904225323979e+01
2.999999999999999889e-01 0.000000000000000000e+00 2.999999999999999889e-01 -1.901653275057064008e+01 0.000000000000000000e+00 2.469760333778020858e-02 2.115804029754730364e-01 0.000000000000000000e+00 9.218404827798837298e-02 2.781768801661324009e-01 0.000000000000000000e+00 5.956793854228907559e-02 8.423373250947889801e-01 0.000000000000000000e+00 6.288749726352946268e-02 -1.902345684251428182e+01
4.000000000000000222e-01 0.000000000000000000e+00 4.000000000000000222e-01 -2.009082171215240464e+01 0.000000000000000000e+00 8.482505443512297627e-02 3.620471569682644497e-01 0.000000000000000000e+00 1.234927587236781810e-01 4.004340835946420540e-01 0.000000000000000000e+00 9.422344728820042370e-02 6.546643079125217257e-01 0.000000000000000000e+00 1.036893455166422312e-01 -2.010101363895818238e+01
4.199999999999999845e-01 0.000000000000000000e+00 4.199999999999999845e-01 -2.036677573244246275e+01 0.000000000000000000e+00 1.003782450747237320e-01 3.927934476822021459e-01 0.000000000000000000e+00 1.268308088818063672e-01 4.267350826156798838e-01 0.000000000000000000e+00 9.901467068886596334e-02 6.168333288620242438e-01 0.000000000000000000e+00 1.068618590699328408e-01 -2.037806849608312376e+01
4.500000000000000111e-01 0.000000000000000000e+00 4.500000000000000111e-01 -2.081596205287792856e+01 0.000000000000000000e+00 1.087576412450360630e-01 4.283769439751998753e-01 0.000000000000000000e+00 1.284134178886471023e-01 4.569854405602532532e-01 0.000000000000000000e+00 1.030845311341297144e-01 5.631289539677512002e-01 0.000000000000000000e+00 1.096648561485483175e-01 -2.082788195170596168e+01
5.000000000000000000e-01 0.000000000000000000e+00 5.000000000000000000e-01 -2.164198524223362341e+01 0.000000000000000000e+00 1.283232022681240481e-01 4.779867173721903395e-01 0.000000000000000000e+00 1.274264619132860488e-01 5.000394302872266383e-01 0.000000000000000000e+00 1.058583320555538387e-01 4.891901988701208848e-01 0.000000000000000000e+00 1.091090623633322598e-01 -2.165555722458920584e+01
5.999999999999999778e-01 0.000000000000000000e+00 5.999999999999999778e-01 -2.350973861596395409e+01 0.000000000000000000e+00 1.482277855983746562e-01 5.442821234816158649e-01 0.000000000000000000e+00 1.183875159283111350e-01 5.585258049664481028e-01 0.000000000000000000e+00 1.026794710565489821e-01 3.879160026813410211e-01 0.000000000000000000e+00 1.053205906285827886e-01 -2.352369828927722395e+01
6.999999999999999556e-01 0.000000000000000000e+00 6.999999999999999556e-01 -2.556232770720789915e+01 0.000000000000000000e+00 1.661708127157024428e-01 5.850298429989821969e-01 0.000000000000000000e+00 1.070864495780184111e-01 5.947167775543806822e-01 0.000000000000000000e+00 9.565832127276518992e-02 3.235694471369737757e-01 0.000000000000000000e+00 1.029893834949000553e-01 -2.557636995862180385e+01
8.000000000000000444e-01 0.000000000000000000e+00 8.000000000000000444e-01 -2.773224637907334511e+01 0.000000000000000000e+00 1.782997628739384777e-01 6.118477329855676050e-01 0.000000000000000000e+00 9.674531054066623503e-02 6.187522293402161200e-01 0.000000000000000000e+00 8.824863758675673131e-02 2.786075470639689522e-01 0.000000000000000000e+00 1.015349301090279072e-01 -2.774581118476419306e+01
