hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var wilson wilson_err wilson_var exact_energy
9.000000000000000222e-01 0.000000000000000000e+00 9.000000000000000222e-01 -2.998767504043133059e+01 0.000000000000000000e+00 9.718809303979497605e-02 6.322453893278994208e-01 0.000000000000000000e+00 8.789970811574369935e-02 6.374926374740574886e-01 0.000000000000000000e+00 8.123707760850054638e-02 2.437354616726954970e-01 0.000000000000000000e+00 9.986134390621470569e-02 -2.999450236590876173e+01
8.000000000000000444e-01 0.000000000000000000e+00 8.000000000000000444e-01 -2.773745404218932720e+01 0.000000000000000000e+00 1.079921370263452612e-01 6.134350929008355324e-01 0.000000000000000000e+00 9.678027329916005783e-02 6.205321169534434578e-01 0.000000000000000000e+00 8.802277833069406532e-02 2.767084416558271975e-01 0.000000000000000000e+00 1.016011130187132183e-01 -2.774581118476419661e+01
6.999999999999999556e-01 0.000000000000000000e+00 6.999999999999999556e-01 -2.556665222657776582e+01 0.000000000000000000e+00 1.182746477479645619e-01 5.867493776023600116e-01 0.000000000000000000e+00 1.073127151106677002e-01 5.966100032244465723e-01 0.000000000000000000e+00 9.564405127995004308e-02 3.220153088639385874e-01 0.000000000000000000e+00 1.029665941591000611e-01 -2.557636995862186069e+01
5.999999999999999778e-01 0.000000000000000000e+00 5.999999999999999778e-01 -2.351236343740798063e+01 0.000000000000000000e+00 1.228007855487046052e-01 5.458509470692158860e-01 0.000000000000000000e+00 1.185652211198693906e-01 5.601919648496828108e-01 0.000000000000000000e+00 1.027034400540808301e-01 3.859703213864331683e-01 0.000000000000000000e+00 1.050074082880312204e-01 -2.352369828927720619e+01
5.000000000000000000e-01 0.000000000000000000e+00 5.000000000000000000e-01 -2.164296857201545521e+01 0.000000000000000000e+00 1.187356223323376148e-01 4.793523450303946998e-01 0.000000000000000000e+00 1.276435893588831472e-01 5.015056905023504985e-01 0.000000000000000000e+00 1.059143024387822207e-01 4.868986572062051765e-01 0.000000000000000000e+00 1.085041686254009097e-01 -2.165555722458928045e+01
4.500000000000000111e-01 0.000000000000000000e+00 4.500000000000000111e-01 -2.081562265953587598e+01 0.000000000000000000e+00 1.076618785145994489e-01 4.300682404067406317e-01 0.000000000000000000e+00 1.286734007103648991e-01 4.586243699713360433e-01 0.000000000000000000e+00 1.032957793853097883e-01 5.611963643333215401e-01 0.000000000000000000e+00 1.090041239248451393e-01 -2.082788195170579826e+01
4.199999999999999845e-01 0.000000000000000000e+00 4.199999999999999845e-01 -2.036687500227029446e+01 0.000000000000000000e+00 9.305491825740405676e-02 3.942138686143188409e-01 0.000000000000000000e+00 1.269810997415090625e-01 4.281266969171261261e-01 0.000000000000000000e+00 9.909320533620770421e-02 6.151407589914763552e-01 0.000000000000000000e+00 1.070576802875381484e-01 -2.037806849608307402e+01
4.000000000000000222e-01 0.000000000000000000e+00 4.000000000000000222e-01 -2.009166016270017252e+01 0.000000000000000000e+00 7.643677389145454859e-02 3.692533256348953796e-01 0.000000000000000000e+00 1.253158514569866766e-01 4.072903066538903216e-01 0.000000000000000000e+00 9.577847605519668184e-02 6.542663674231322668e-01 0.000000000000000000e+00 1.039619043345637872e-01 -2.010101363895823212e+01
2.999999999999999889e-01 0.000000000000000000e+00 2.999999999999999889e-01 -1.901938804322323406e+01 0.000000000000000000e+00 3.249756333085412202e-02 2.275167150686570328e-01 0.000000000000000000e+00 9.973838931728279400e-02 2.938911162295052559e-01 0.000000000000000000e+00 6.513025675429065520e-02 8.406210273438919911e-01 0.000000000000000000e+00 6.344236108493694903e-02 -1.902345684251427116e+01
2.000000000000000111e-01 0.000000000000000000e+00 2.000000000000000111e-01 -1.840445961476030590e+01 0.000000000000000000e+00 6.081206167921555591e-03 1.227131692525139789e-01 0.000000000000000000e+00 7.415093322695213984e-02 2.244735001266177365e-01 0.000000000000000000e+00 3.882110287585360808e-02 9.466248810182321671e-01 0.000000000000000000e+00 2.325410231175421144e-02 -1.840521904225329308e+01
1.000000000000000056e-01 0.000000000000000000e+00 1.000000000000000056e-01 -1.809410541955678298e+01 0.000000000000000000e+00 3.813209237008414977e-04 5.376025906340096971e-02 0.000000000000000000e+00 6.135702157622564129e-02 1.948248696395006585e-01 0.000000000000000000e+00 2.629045720074116993e-02 9.889398220600669198e-01 0.000000000000000000e+00 4.899665390909210480e-03 -1.809415355728438257e+01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.799999999837422848e+01 0.000000000000000000e+00 1.311393892275231202e-08 6.604795012993269765e-09 0.000000000000000000e+00 5.555555587298927067e-02 1.853912199926733007e-01 0.000000000000000000e+00 2.118565142261749634e-02 9.999999999098418968e-01 0.000000000000000000e+00 4.045042638447356835e-11 -1.800000000000000711e+01
