hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var wilson wilson_err wilson_var exact_energy
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.799999999409493512e+01 0.000000000000000000e+00 2.377966894394160152e-08 -4.316566787314031729e-10 0.000000000000000000e+00 5.555555557748535073e-02 -4.316566787314031729e-10 0.000000000000000000e+00 5.555555557748535073e-02 9.999999991826592494e-01 0.000000000000000000e+00 4.719811940061818948e-10 -1.800000000000004263e+01
0.000000000000000000e+00 1.000000000000000056e-01 0.000000000000000000e+00 -1.802244845055589906e+01 0.000000000000000000e+00 8.132694827753395982e-04 2.488541270490655238e-02 0.000000000000000000e+00 5.528511324614981959e-02 2.488541270490655238e-02 0.000000000000000000e+00 5.528511324614981959e-02 9.975176024979268696e-01 0.000000000000000000e+00 2.200417803971370899e-03 -1.802251531738383861e+01
0.000000000000000000e+00 2.000000000000000111e-01 0.000000000000000000e+00 -1.808929637927420231e+01 0.000000000000000000e+00 1.051632341146806204e-02 4.922940056648895946e-02 0.000000000000000000e+00 5.466902539651213866e-02 4.922940056648895946e-02 0.000000000000000000e+00 5.466902539651213866e-02 9.902461001624477399e-01 0.000000000000000000e+00 8.580429445117505882e-03 -1.809024916874344058e+01
0.000000000000000000e+00 2.999999999999999889e-01 0.000000000000000000e+00 -1.819963272558047152e+01 0.000000000000000000e+00 4.441239717984281354e-02 7.290656943079940056e-02 0.000000000000000000e+00 5.391276045503629738e-02 7.290656943079940056e-02 0.000000000000000000e+00 5.391276045503629738e-02 9.785336795941423915e-01 0.000000000000000000e+00 1.864112025638222508e-02 -1.820379806900524855e+01
0.000000000000000000e+00 3.200000000000000067e-01 0.000000000000000000e+00 -1.822673788621681723e+01 0.000000000000000000e+00 5.554052954332291958e-02 7.751084246904024755e-02 0.000000000000000000e+00 5.373163034424881246e-02 7.751084246904024755e-02 0.000000000000000000e+00 5.373163034424881246e-02 9.757147362659729373e-01 0.000000000000000000e+00 2.102271063172912735e-02 -1.823209278619986051e+01
0.000000000000000000e+00 3.499999999999999778e-01 0.000000000000000000e+00 -1.827051582154285114e+01 0.000000000000000000e+00 8.771968128244651830e-02 8.431039922553820731e-02 0.000000000000000000e+00 5.341505296556674220e-02 8.431039922553820731e-02 0.000000000000000000e+00 5.341505296556674220e-02 9.710852897480959367e-01 0.000000000000000000e+00 2.496912308404727193e-02 -1.827807713359491970e+01
0.000000000000000000e+00 4.000000000000000222e-01 0.000000000000000000e+00 -1.835154585143700956e+01 0.000000000000000000e+00 1.284701409173409914e-01 9.542615425509273774e-02 0.000000000000000000e+00 5.290514577209921160e-02 9.542615425509273774e-02 0.000000000000000000e+00 5.290514577209921160e-02 9.630189790383170134e-01 0.000000000000000000e+00 3.157016703702954230e-02 -1.836428258670443725e+01
0.000000000000000000e+00 5.000000000000000000e-01 0.000000000000000000e+00 -1.853856502775100168e+01 0.000000000000000000e+00 3.515994798392971799e-01 1.148215834200242702e-01 0.000000000000000000e+00 5.112465296511238544e-02 1.148215834200242702e-01 0.000000000000000000e+00 5.112465296511238544e-02 9.455541275074047514e-01 0.000000000000000000e+00 4.558891329117423230e-02 -1.857362056414643803e+01
0.000000000000000000e+00 5.999999999999999778e-01 0.000000000000000000e+00 -1.876870246896256944e+01 0.000000000000000000e+00 6.014360674768112203e-01 1.356212966400634767e-01 0.000000000000000000e+00 5.036266786828630382e-02 1.356212966400634767e-01 0.000000000000000000e+00 5.036266786828630382e-02 9.240477926729078195e-01 0.000000000000000000e+00 6.203401191663407421e-02 -1.883519989421166940e+01
0.000000000000000000e+00 6.999999999999999556e-01 0.000000000000000000e+00 -1.902757786715027066e+01 0.000000000000000000e+00 1.074862242060998341e+00 1.530025611993753587e-01 0.000000000000000000e+00 4.901446751610957775e-02 1.530025611993753587e-01 0.000000000000000000e+00 4.901446751610957775e-02 9.023086530074868605e-01 0.000000000000000000e+00 7.775278847021693807e-02 -1.915577034382064170e+01
0.000000000000000000e+00 8.000000000000000444e-01 0.000000000000000000e+00 -1.932149801481757123e+01 0.000000000000000000e+00 1.671788793688343988e+00 1.701125500914566491e-01 0.000000000000000000e+00 4.797589559883845556e-02 1.701125500914566491e-01 0.000000000000000000e+00 4.797589559883845556e-02 8.783122935889842164e-01 0.000000000000000000e+00 9.420926344391196416e-02 -1.955178293589627003e+01
0.000000000000000000e+00 9.000000000000000222e-01 0.000000000000000000e+00 -1.965799407516017538e+01 0.000000000000000000e+00 2.329946578072981112e+00 1.873553532223687923e-01 0.000000000000000000e+00 4.673148282410336668e-02 1.873553532223687923e-01 0.000000000000000000e+00 4.673148282410336668e-02 8.524970150942132729e-01 0.000000000000000000e+00 1.104147763595410836e-01 -2.007479760087529641e+01
