hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var wilson wilson_err wilson_var exact_energy
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.799999999409496709e+01 0.000000000000000000e+00 2.377952095869175961e-08 -4.327469362154964925e-10 0.000000000000000000e+00 5.555555557744031731e-02 -4.327469362154964925e-10 0.000000000000000000e+00 5.555555557744031731e-02 9.999999991826631351e-01 0.000000000000000000e+00 4.719787448952500356e-10 -1.800000000000004263e+01
0.000000000000000000e+00 1.000000000000000056e-01 0.000000000000000000e+00 -1.802245225722408151e+01 0.000000000000000000e+00 8.107937663276598315e-04 2.489896394735239410e-02 0.000000000000000000e+00 5.533330843121589404e-02 2.489896394735239410e-02 0.000000000000000000e+00 5.533330843121589404e-02 9.975149059874328650e-01 0.000000000000000000e+00 2.203504122870638803e-03 -1.802251531738383861e+01
0.000000000000000000e+00 2.000000000000000111e-01 0.000000000000000000e+00 -1.808932522850938085e+01 0.000000000000000000e+00 1.185139503554342132e-02 4.925796650410371735e-02 0.000000000000000000e+00 5.468489788203795277e-02 4.925796650410371735e-02 0.000000000000000000e+00 5.468489788203795277e-02 9.902175400229549229e-01 0.000000000000000000e+00 8.611110524610367245e-03 -1.809024916874344058e+01
0.000000000000000000e+00 2.999999999999999889e-01 0.000000000000000000e+00 -1.819931193627817123e+01 0.000000000000000000e+00 5.665833098790953870e-02 7.267088259505455339e-02 0.000000000000000000e+00 5.374557455224743957e-02 7.267088259505455339e-02 0.000000000000000000e+00 5.374557455224743957e-02 9.785245580363446383e-01 0.000000000000000000e+00 1.868397350127881662e-02 -1.820379806900524855e+01
0.000000000000000000e+00 3.200000000000000067e-01 0.000000000000000000e+00 -1.822629407738492446e+01 0.000000000000000000e+00 7.283361200819582493e-02 7.719345368431553001e-02 0.000000000000000000e+00 5.351827125201957108e-02 7.719345368431553001e-02 0.000000000000000000e+00 5.351827125201957108e-02 9.757161468850177322e-01 0.000000000000000000e+00 2.106706815621993412e-02 -1.823209278619986051e+01
0.000000000000000000e+00 3.499999999999999778e-01 0.000000000000000000e+00 -1.826978592619574471e+01 0.000000000000000000e+00 1.031372697491059753e-01 8.386117665915199249e-02 0.000000000000000000e+00 5.315698764112881947e-02 8.386117665915199249e-02 0.000000000000000000e+00 5.315698764112881947e-02 9.712397899896458853e-01 0.000000000000000000e+00 2.483693707013041180e-02 -1.827807713359491970e+01
0.000000000000000000e+00 4.000000000000000222e-01 0.000000000000000000e+00 -1.835014998072432135e+01 0.000000000000000000e+00 1.725708637872765683e-01 9.465759272860087281e-02 0.000000000000000000e+00 5.251425022762930273e-02 9.465759272860087281e-02 0.000000000000000000e+00 5.251425022762930273e-02 9.631238925668829109e-01 0.000000000000000000e+00 3.158194277249616599e-02 -1.836428258670443725e+01
0.000000000000000000e+00 5.000000000000000000e-01 0.000000000000000000e+00 -1.853907834751991146e+01 0.000000000000000000e+00 4.026403366583151122e-01 1.149671936945989015e-01 0.000000000000000000e+00 5.112399616518555068e-02 1.149671936945989015e-01 0.000000000000000000e+00 5.112399616518555068e-02 9.448050039606277206e-01 0.000000000000000000e+00 4.637936741979149791e-02 -1.857362056414643803e+01
0.000000000000000000e+00 5.999999999999999778e-01 0.000000000000000000e+00 -1.876293819791477091e+01 0.000000000000000000e+00 7.916419361477768923e-01 1.334541343638213362e-01 0.000000000000000000e+00 4.967604007390733628e-02 1.334541343638213362e-01 0.000000000000000000e+00 4.967604007390733628e-02 9.243896566358213995e-01 0.000000000000000000e+00 6.217283238070064888e-02 -1.883519989421166940e+01
0.000000000000000000e+00 6.999999999999999556e-01 0.000000000000000000e+00 -1.902236208667761730e+01 0.000000000000000000e+00 1.347241936288870345e+00 1.511708208674627518e-01 0.000000000000000000e+00 4.849717216080638715e-02 1.511708208674627518e-01 0.000000000000000000e+00 4.849717216080638715e-02 9.016558505850444938e-01 0.000000000000000000e+00 7.891753629803471837e-02 -1.915577034382064170e+01
0.000000000000000000e+00 8.000000000000000444e-01 0.000000000000000000e+00 -1.930846528011336005e+01 0.000000000000000000e+00 2.158775954218667081e+00 1.663514962920461804e-01 0.000000000000000000e+00 4.717687603584497930e-02 1.663514962920461804e-01 0.000000000000000000e+00 4.717687603584497930e-02 8.787747791085103177e-01 0.000000000000000000e+00 9.482960556587537171e-02 -1.955178293589627003e+01
0.000000000000000000e+00 9.000000000000000222e-01 0.000000000000000000e+00 -1.962027617740843510e+01 0.000000000000000000e+00 3.237048440942514649e+00 1.798228537163623075e-01 0.000000000000000000e+00 4.596954967082252097e-02 1.798228537163623075e-01 0.000000000000000000e+00 4.596954967082252097e-02 8.557327987602842967e-01 0.000000000000000000e+00 1.099126288396933687e-01 -2.007479760087529641e+01
