hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var wilson wilson_err wilson_var exact_energy
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.799999999409496354e+01 0.000000000000000000e+00 2.377942416565523955e-08 2.253264241858232708e-11 0.000000000000000000e+00 5.555556480154973109e-02 1.757991841290529877e-01 0.000000000000000000e+00 2.465021166110904077e-02 9.999999991826608037e-01 0.000000000000000000e+00 4.719802987808844113e-10 -1.800000000000004263e+01
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 -1.804543513897048257e+01 0.000000000000000000e+00 2.893559899114959347e-06 5.097657243468209365e-02 0.000000000000000000e+00 5.701712162037685105e-02 1.822850139373419220e-01 0.000000000000000000e+00 2.638790625142828014e-02 9.948470456987830168e-01 0.000000000000000000e+00 2.283291003045707576e-03 -1.804781420138848347e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000111e-01 -1.819063835855688183e+01 0.000000000000000000e+00 2.523700066835350437e-04 1.117397583762450852e-01 0.000000000000000000e+00 6.472693702527221316e-02 2.069846539882313763e-01 0.000000000000000000e+00 3.437006364062594743e-02 9.764025816226377108e-01 0.000000000000000000e+00 1.033539653544027562e-02 -1.821049563823068951e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.999999999999999889e-01 -1.852924027340696966e+01 0.000000000000000000e+00 2.793784994005497381e-03 2.468107896948370239e-01 0.000000000000000000e+00 1.070800757379800627e-01 3.110426205851561932e-01 0.000000000000000000e+00 7.124812982728762067e-02 9.110698466243121185e-01 0.000000000000000000e+00 3.644439740215639489e-02 -1.855577054356151478e+01
0.000000000000000000e+00 0.000000000000000000e+00 3.200000000000000067e-01 -1.863724014157100228e+01 0.000000000000000000e+00 3.272490647420071841e-03 2.911341675820364738e-01 0.000000000000000000e+00 1.191299502817829842e-01 3.479802652201116064e-01 0.000000000000000000e+00 8.279878883280897273e-02 8.856758819764648516e-01 0.000000000000000000e+00 4.496141702880475377e-02 -1.865922083958269440e+01
0.000000000000000000e+00 0.000000000000000000e+00 3.499999999999999778e-01 -1.883333432488574744e+01 0.000000000000000000e+00 2.410094281265933065e-03 3.691079629400126905e-01 0.000000000000000000e+00 1.348669672249888096e-01 4.141746652846566290e-01 0.000000000000000000e+00 9.956700216705724471e-02 8.382225049975666753e-01 0.000000000000000000e+00 5.795193709140691873e-02 -1.884351784883963887e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000222e-01 -1.923781150218023583e+01 0.000000000000000000e+00 3.354105167831630992e-04 5.018727334506081217e-01 0.000000000000000000e+00 1.423930307242091131e-01 5.287868395625183737e-01 0.000000000000000000e+00 1.146537496108775839e-01 7.507478079081157940e-01 0.000000000000000000e+00 7.131147952574469484e-02 -1.923858788840412615e+01
0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e-01 -2.034189046689228775e+01 0.000000000000000000e+00 1.612638130322516966e-07 7.052150591573145277e-01 0.000000000000000000e+00 1.097353002596565263e-01 7.127691414741533782e-01 0.000000000000000000e+00 9.902373088410919288e-02 6.133198978108163057e-01 0.000000000000000000e+00 6.347771704898781675e-02 -2.034189058840840403e+01
0.000000000000000000e+00 0.000000000000000000e+00 5.999999999999999778e-01 -2.171662359778355977e+01 0.000000000000000000e+00 1.137792380471827121e-08 8.101524547069396398e-01 0.000000000000000000e+00 7.605360320583902378e-02 8.123874543862554809e-01 0.000000000000000000e+00 7.242722702933807044e-02 5.511352939432941911e-01 0.000000000000000000e+00 4.797860120922257943e-02 -2.171662360271273329e+01
0.000000000000000000e+00 0.000000000000000000e+00 6.999999999999999556e-01 -2.322948320756620788e+01 0.000000000000000000e+00 2.372575531140196005e-08 8.656127598294753867e-01 0.000000000000000000e+00 5.542396033224095131e-02 8.664057865508815182e-01 0.000000000000000000e+00 5.405042334298997692e-02 5.256849910592118480e-01 0.000000000000000000e+00 3.926756878729666111e-02 -2.322948321372531311e+01
0.000000000000000000e+00 0.000000000000000000e+00 8.000000000000000444e-01 -2.481986250827759832e+01 0.000000000000000000e+00 6.768998596551498069e-08 8.989643636833136719e-01 0.000000000000000000e+00 4.239037975711500150e-02 8.992933895079864293e-01 0.000000000000000000e+00 4.179870651689704397e-02 5.142137520879492829e-01 0.000000000000000000e+00 3.475625842722538522e-02 -2.481986251840855573e+01
0.000000000000000000e+00 0.000000000000000000e+00 9.000000000000000222e-01 -2.645903826086466282e+01 0.000000000000000000e+00 4.744938704178345156e-08 9.209489718458637730e-01 0.000000000000000000e+00 3.356081330218604886e-02 9.211027466064837244e-01 0.000000000000000000e+00 3.327755224013115298e-02 5.084811385935678052e-01 0.000000000000000000e+00 3.229114288708803682e-02 -2.645903826775792211e+01
