hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var wilson wilson_err wilson_var exact_energy
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.799999999999996447e+01 0.000000000000000000e+00 1.797990360418239897e-13 2.608962860749264310e-08 0.000000000000000000e+00 5.555556425815180721e-02 2.608962860749264310e-08 0.000000000000000000e+00 5.555556425815180721e-02 9.999999999999956701e-01 0.000000000000000000e+00 3.065914111583115456e-15 -1.800000000000004263e+01
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 -1.804543265479824754e+01 0.000000000000000000e+00 8.904447068170400043e-06 2.032571788277121939e-07 0.000000000000000000e+00 5.555556475203618505e-02 2.032571788277121939e-07 0.000000000000000000e+00 5.555556475203618505e-02 9.948476788043261188e-01 0.000000000000000000e+00 2.282790645513307556e-03 -1.804781420138848347e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000111e-01 -1.818753198218953315e+01 0.000000000000000000e+00 7.579779474328742980e-04 -3.478917071340552180e-06 0.000000000000000000e+00 5.555490614382690290e-02 -3.478917071340552180e-06 0.000000000000000000e+00 5.555490614382690290e-02 9.772381880709449797e-01 0.000000000000000000e+00 9.948473023235371304e-03 -1.821049563823061135e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.999999999999999889e-01 -1.845060741370357249e+01 0.000000000000000000e+00 1.543810318925315818e-02 1.727048539083890445e-04 0.000000000000000000e+00 5.561349725647395104e-02 1.727048539083890445e-04 0.000000000000000000e+00 5.561349725647395104e-02 9.365335615877971032e-01 0.000000000000000000e+00 2.650393391430341111e-02 -1.855577054356151478e+01
0.000000000000000000e+00 0.000000000000000000e+00 3.200000000000000067e-01 -1.852310689925325704e+01 0.000000000000000000e+00 2.660340505570712305e-02 1.312172797590869231e-04 0.000000000000000000e+00 5.559744650739395500e-02 1.312172797590869231e-04 0.000000000000000000e+00 5.559744650739395500e-02 9.227194715622999421e-01 0.000000000000000000e+00 3.165008206330536394e-02 -1.865922083958269440e+01
0.000000000000000000e+00 0.000000000000000000e+00 3.499999999999999778e-01 -1.864949016094032430e+01 0.000000000000000000e+00 5.791555564108872428e-02 -4.972264820938626190e-05 0.000000000000000000e+00 5.555504694497457457e-02 -4.972264820938626190e-05 0.000000000000000000e+00 5.555504694497457457e-02 8.951999636451881681e-01 0.000000000000000000e+00 4.104881581612387920e-02 -1.884351784883963887e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000222e-01 -1.892934753014715454e+01 0.000000000000000000e+00 2.266198302043802015e-01 -1.650447343363153755e-04 0.000000000000000000e+00 5.552462031030801909e-02 -1.650447343363153755e-04 0.000000000000000000e+00 5.552462031030801909e-02 8.145215592196535237e-01 0.000000000000000000e+00 6.133720591884031514e-02 -1.923858788840412615e+01
0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e-01 -2.016960635545260772e+01 0.000000000000000000e+00 8.856499793284791089e-01 2.552536722547410851e-06 0.000000000000000000e+00 5.555545928882868467e-02 2.552536722547410851e-06 0.000000000000000000e+00 5.555545928882868467e-02 5.277830111482605391e-01 0.000000000000000000e+00 3.958956094927106040e-02 -2.034189058840840403e+01
0.000000000000000000e+00 0.000000000000000000e+00 5.999999999999999778e-01 -2.169927222786190057e+01 0.000000000000000000e+00 1.419254098814519138e-01 3.776549281049994288e-05 0.000000000000000000e+00 5.554609904090011818e-02 3.776549281049994288e-05 0.000000000000000000e+00 5.554609904090011818e-02 5.484966263619971416e-01 0.000000000000000000e+00 4.613332154856298467e-02 -2.171662360271273329e+01
0.000000000000000000e+00 0.000000000000000000e+00 6.999999999999999556e-01 -2.319087707951337407e+01 0.000000000000000000e+00 3.705159548017638582e-01 -3.350109773469338856e-05 0.000000000000000000e+00 5.555582233295442568e-02 -3.350109773469338856e-05 0.000000000000000000e+00 5.555582233295442568e-02 5.104361779183075321e-01 0.000000000000000000e+00 3.285159768219050869e-02 -2.322948321372531311e+01
0.000000000000000000e+00 0.000000000000000000e+00 8.000000000000000444e-01 -2.479922331955030401e+01 0.000000000000000000e+00 2.420238034139002292e-01 1.936017412072735470e-09 0.000000000000000000e+00 5.555555551428997124e-02 1.936017412072735470e-09 0.000000000000000000e+00 5.555555551428997124e-02 5.053802256950845617e-01 0.000000000000000000e+00 3.099842569784862570e-02 -2.481986251840855573e+01
0.000000000000000000e+00 0.000000000000000000e+00 9.000000000000000222e-01 -2.644750686123198946e+01 0.000000000000000000e+00 1.609459926212493397e-01 -2.082828998817570569e-09 0.000000000000000000e+00 5.555555455808657006e-02 -2.082828998817570569e-09 0.000000000000000000e+00 5.555555455808657006e-02 5.046266858177346215e-01 0.000000000000000000e+00 3.030371738120409691e-02 -2.645903826775792211e+01
