hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var wilson wilson_err wilson_var exact_energy
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.799999999569585185e+01 0.000000000000000000e+00 1.847432357641326688e-08 1.077336451843206080e-05 0.000000000000000000e+00 5.555911729582391212e-02 1.077336451843206080e-05 0.000000000000000000e+00 5.555911729582391212e-02 9.999999994194345154e-01 0.000000000000000000e+00 3.347123472974352955e-10 -1.800000000000004263e+01
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 -1.804543235626229247e+01 0.000000000000000000e+00 2.825660381902006726e-06 1.276478761662109805e-05 0.000000000000000000e+00 5.555971092732281402e-02 1.276478761662109805e-05 0.000000000000000000e+00 5.555971092732281402e-02 9.948477390584737901e-01 0.000000000000000000e+00 2.282974380151532763e-03 -1.804781420138848347e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000111e-01 -1.819139695767312759e+01 0.000000000000000000e+00 2.486102318222356902e-04 1.103764814655279059e-05 0.000000000000000000e+00 5.555917650189760165e-02 1.103764814655279059e-05 0.000000000000000000e+00 5.555917650189760165e-02 9.761939013464753234e-01 0.000000000000000000e+00 1.042805367318707169e-02 -1.821049563823061135e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.999999999999999889e-01 -1.852627915863307351e+01 0.000000000000000000e+00 3.047414195608567997e-03 1.324419580809836362e-05 0.000000000000000000e+00 5.555899136294745189e-02 1.324419580809836362e-05 0.000000000000000000e+00 5.555899136294745189e-02 9.121037900148645239e-01 0.000000000000000000e+00 3.607106717488667291e-02 -1.855577054356151478e+01
0.000000000000000000e+00 0.000000000000000000e+00 3.200000000000000067e-01 -1.863777457709736751e+01 0.000000000000000000e+00 3.203819503814804223e-03 1.283641007720519507e-05 0.000000000000000000e+00 5.555868694010877157e-02 1.283641007720519507e-05 0.000000000000000000e+00 5.555868694010877157e-02 8.854741532675733939e-01 0.000000000000000000e+00 4.502613740225568789e-02 -1.865922083958269440e+01
0.000000000000000000e+00 0.000000000000000000e+00 3.499999999999999778e-01 -1.883310556455604257e+01 0.000000000000000000e+00 2.451994004372175240e-03 1.065440185084727239e-05 0.000000000000000000e+00 5.555755683609702594e-02 1.065440185084727239e-05 0.000000000000000000e+00 5.555755683609702594e-02 8.383101867488975678e-01 0.000000000000000000e+00 5.793106766048657097e-02 -1.884351784883963887e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000222e-01 -1.923785972400872879e+01 0.000000000000000000e+00 3.136049521144132317e-04 7.875176225148534901e-06 0.000000000000000000e+00 5.555635112214034332e-02 7.875176225148534901e-06 0.000000000000000000e+00 5.555635112214034332e-02 7.507317840093844508e-01 0.000000000000000000e+00 7.131265447561606352e-02 -1.923858788840412615e+01
0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e-01 -2.034189049106115732e+01 0.000000000000000000e+00 1.007698027877943397e-07 1.469492638321249791e-06 0.000000000000000000e+00 5.555560269263015716e-02 1.469492638321249791e-06 0.000000000000000000e+00 5.555560269263015716e-02 6.133200269740941568e-01 0.000000000000000000e+00 6.347773335167875008e-02 -2.034189058840840403e+01
0.000000000000000000e+00 0.000000000000000000e+00 5.999999999999999778e-01 -2.171662359995789515e+01 0.000000000000000000e+00 6.997227924464552755e-09 2.634893046820480095e-06 0.000000000000000000e+00 5.555559206008615913e-02 2.634893046820480095e-06 0.000000000000000000e+00 5.555559206008615913e-02 5.511351892848460610e-01 0.000000000000000000e+00 4.797857272535618889e-02 -2.171662360271273329e+01
0.000000000000000000e+00 0.000000000000000000e+00 6.999999999999999556e-01 -2.322948321114125392e+01 0.000000000000000000e+00 7.304472149466286079e-09 1.946267124813238946e-06 0.000000000000000000e+00 5.555557575219802202e-02 1.946267124813238946e-06 0.000000000000000000e+00 5.555557575219802202e-02 5.256849794117487429e-01 0.000000000000000000e+00 3.926756755135750454e-02 -2.322948321372531311e+01
0.000000000000000000e+00 0.000000000000000000e+00 8.000000000000000444e-01 -2.481986251562500101e+01 0.000000000000000000e+00 1.071133224517659566e-08 3.774483012722590918e-06 0.000000000000000000e+00 5.555559198315784819e-02 3.774483012722590918e-06 0.000000000000000000e+00 5.555559198315784819e-02 5.142138615714494376e-01 0.000000000000000000e+00 3.475629742356219076e-02 -2.481986251840855573e+01
0.000000000000000000e+00 0.000000000000000000e+00 9.000000000000000222e-01 -2.645903826437172413e+01 0.000000000000000000e+00 1.675563543845262984e-08 7.693357821703704908e-06 0.000000000000000000e+00 5.555562876624809548e-02 7.693357821703704908e-06 0.000000000000000000e+00 5.555562876624809548e-02 5.084811094306465051e-01 0.000000000000000000e+00 3.229113417126563274e-02 -2.645903826775792211e+01
