hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var wilson wilson_err wilson_var exact_energy
0.000000000000000000e+00 0.000000000000000000e+00 9.000000000000000222e-01 -2.645903825793707043e+01 0.000000000000000000e+00 6.528210527961037906e-08 9.209489703465260080e-01 0.000000000000000000e+00 3.356081381761365223e-02 9.211027451562234791e-01 0.000000000000000000e+00 3.327755266560888242e-02 5.084811310119786709e-01 0.000000000000000000e+00 3.229114258995054165e-02 -2.645903826775794343e+01
0.000000000000000000e+00 0.000000000000000000e+00 8.000000000000000444e-01 -2.481986251473599481e+01 0.000000000000000000e+00 2.328232442647047490e-08 8.989640743891987862e-01 0.000000000000000000e+00 4.239049785275848803e-02 8.992931032843741734e-01 0.000000000000000000e+00 4.179881928034723942e-02 5.142138621121282727e-01 0.000000000000000000e+00 3.475629897418947012e-02 -2.481986251840854862e+01
0.000000000000000000e+00 0.000000000000000000e+00 6.999999999999999556e-01 -2.322948321213354461e+01 0.000000000000000000e+00 9.417689986101232384e-09 8.656127494032291869e-01 0.000000000000000000e+00 5.542396314698863624e-02 8.664057758711668500e-01 0.000000000000000000e+00 5.405042661348716249e-02 5.256849765482051184e-01 0.000000000000000000e+00 3.926756685714705153e-02 -2.322948321372517455e+01
0.000000000000000000e+00 0.000000000000000000e+00 5.999999999999999778e-01 -2.171662360209261067e+01 0.000000000000000000e+00 3.396580640024850395e-09 8.101523880698280333e-01 0.000000000000000000e+00 7.605362571758056411e-02 8.123873892437436517e-01 0.000000000000000000e+00 7.242724741055955873e-02 5.511353196589169334e-01 0.000000000000000000e+00 4.797861003328231233e-02 -2.171662360271280789e+01
0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e-01 -2.034189058819753271e+01 0.000000000000000000e+00 1.078526942697889493e-09 7.052156326467191594e-01 0.000000000000000000e+00 1.097351188505457931e-01 7.127696702284437302e-01 0.000000000000000000e+00 9.902360458229342299e-02 6.133194738009235536e-01 0.000000000000000000e+00 6.347763986555746141e-02 -2.034189058840851061e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000222e-01 -1.923858788830587940e+01 0.000000000000000000e+00 4.939904917814998967e-10 5.023390732231235445e-01 0.000000000000000000e+00 1.424109624433026466e-01 5.292422108570162820e-01 0.000000000000000000e+00 1.146581891771467215e-01 7.504856168855663645e-01 0.000000000000000000e+00 7.133059725238122262e-02 -1.923858788840415457e+01
0.000000000000000000e+00 0.000000000000000000e+00 3.499999999999999778e-01 -1.884351784875242686e+01 0.000000000000000000e+00 4.458261188287132182e-10 3.763078260745502668e-01 0.000000000000000000e+00 1.367022760763069444e-01 4.214423199598061887e-01 0.000000000000000000e+00 1.006962269881571115e-01 8.344776881102153876e-01 0.000000000000000000e+00 5.881424915949315380e-02 -1.884351784883974545e+01
0.000000000000000000e+00 0.000000000000000000e+00 3.200000000000000067e-01 -1.865922083949773480e+01 0.000000000000000000e+00 4.390761963349560862e-10 3.077955879597279454e-01 0.000000000000000000e+00 1.255337815102677279e-01 3.655554208379399039e-01 0.000000000000000000e+00 8.664113977373888442e-02 8.776278262899459559e-01 0.000000000000000000e+00 4.746334113976913294e-02 -1.865922083958267308e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.999999999999999889e-01 -1.855577054347786259e+01 0.000000000000000000e+00 4.351714679702139522e-10 2.677324705401707416e-01 0.000000000000000000e+00 1.167604363200797912e-01 3.341413774073935250e-01 0.000000000000000000e+00 7.679065200591297935e-02 9.015614409114085515e-01 0.000000000000000000e+00 3.980002215398235205e-02 -1.855577054356147571e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000111e-01 -1.821049563814643335e+01 0.000000000000000000e+00 4.478776912755355167e-10 1.312724453600917773e-01 0.000000000000000000e+00 8.032999027824333504e-02 2.401380498594031798e-01 0.000000000000000000e+00 3.989616219878436287e-02 9.707189065115161553e-01 0.000000000000000000e+00 1.285949914374077789e-02 -1.821049563823067885e+01
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 -1.804781420130629144e+01 0.000000000000000000e+00 4.407286410119498359e-10 5.509983279690577884e-02 0.000000000000000000e+00 6.327398419071024460e-02 2.059334579004785948e-01 0.000000000000000000e+00 2.390138668210899792e-02 9.942831477013220898e-01 0.000000000000000000e+00 2.536060727313930140e-03 -1.804781420138847281e+01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.799999999992171951e+01 0.000000000000000000e+00 4.224720092613273508e-10 3.048589158893832973e-12 0.000000000000000000e+00 5.555555555798073752e-02 1.953125000063858085e-01 0.000000000000000000e+00 1.740858289923626068e-02 9.999999999917746907e-01 0.000000000000000000e+00 4.425893927364791514e-12 -1.800000000000000711e+01
