hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var wilson wilson_err wilson_var exact_energy
0.000000000000000000e+00 0.000000000000000000e+00 9.000000000000000222e-01 -2.645903826173113060e+01 0.000000000000000000e+00 3.693105927856034773e-08 9.231933874734216973e-06 0.000000000000000000e+00 5.555564097466762774e-02 9.231933874734216973e-06 0.000000000000000000e+00 5.555564097466762774e-02 5.084811372004900409e-01 0.000000000000000000e+00 3.229114170422352909e-02 -2.645903826775794343e+01
0.000000000000000000e+00 0.000000000000000000e+00 8.000000000000000444e-01 -2.481986251599440507e+01 0.000000000000000000e+00 1.366380064358715585e-08 6.292186511312228587e-06 0.000000000000000000e+00 5.555560930358494770e-02 6.292186511312228587e-06 0.000000000000000000e+00 5.555560930358494770e-02 5.142138631600348120e-01 0.000000000000000000e+00 3.475629834363108683e-02 -2.481986251840854862e+01
0.000000000000000000e+00 0.000000000000000000e+00 6.999999999999999556e-01 -2.322948321259440974e+01 0.000000000000000000e+00 5.833407340325439489e-09 4.468778186387328428e-06 0.000000000000000000e+00 5.555559152917258908e-02 4.468778186387328428e-06 0.000000000000000000e+00 5.555559152917258908e-02 5.256849767283051644e-01 0.000000000000000000e+00 3.926756656268087092e-02 -2.322948321372517455e+01
0.000000000000000000e+00 0.000000000000000000e+00 5.999999999999999778e-01 -2.171662360225545640e+01 0.000000000000000000e+00 2.184864306380039067e-09 2.804642669967320407e-06 0.000000000000000000e+00 5.555557606761477030e-02 2.804642669967320407e-06 0.000000000000000000e+00 5.555557606761477030e-02 5.511353195450386933e-01 0.000000000000000000e+00 4.797860990150304428e-02 -2.171662360271280789e+01
0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e-01 -2.034189058826567731e+01 0.000000000000000000e+00 6.698691986671264875e-10 1.369016524433065661e-06 0.000000000000000000e+00 5.555556396628022475e-02 1.369016524433065661e-06 0.000000000000000000e+00 5.555556396628022475e-02 6.133194736517555423e-01 0.000000000000000000e+00 6.347763982192874965e-02 -2.034189058840851061e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000222e-01 -1.923858788835035227e+01 0.000000000000000000e+00 2.733284816333768705e-10 5.964063337347025255e-07 0.000000000000000000e+00 5.555555838374925948e-02 5.964063337347025255e-07 0.000000000000000000e+00 5.555555838374925948e-02 7.504856167878769524e-01 0.000000000000000000e+00 7.133059725770404813e-02 -1.923858788840415457e+01
0.000000000000000000e+00 0.000000000000000000e+00 3.499999999999999778e-01 -1.884351784879787317e+01 0.000000000000000000e+00 2.256668034917168469e-10 4.399042466976350349e-07 0.000000000000000000e+00 5.555555740498908934e-02 4.399042466976350349e-07 0.000000000000000000e+00 5.555555740498908934e-02 8.344776880532920327e-01 0.000000000000000000e+00 5.881424917175594874e-02 -1.884351784883974545e+01
0.000000000000000000e+00 0.000000000000000000e+00 3.200000000000000067e-01 -1.865922083954535537e+01 0.000000000000000000e+00 2.084976237301567809e-10 3.829876665576443732e-07 0.000000000000000000e+00 5.555555708403557558e-02 3.829876665576443732e-07 0.000000000000000000e+00 5.555555708403557558e-02 8.776278262550503140e-01 0.000000000000000000e+00 4.746334114994213427e-02 -1.865922083958267308e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.999999999999999889e-01 -1.855577054352666622e+01 0.000000000000000000e+00 1.984418299463603859e-10 3.539925007102281513e-07 0.000000000000000000e+00 5.555555693174456244e-02 3.539925007102281513e-07 0.000000000000000000e+00 5.555555693174456244e-02 9.015614408880940900e-01 0.000000000000000000e+00 3.980002216168053442e-02 -1.855577054356147571e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000111e-01 -1.821049563820321637e+01 0.000000000000000000e+00 1.677244665664802668e-10 2.743775055564373319e-07 0.000000000000000000e+00 5.555555653283773820e-02 2.743775055564373319e-07 0.000000000000000000e+00 5.555555653283773820e-02 9.707189065139650852e-01 0.000000000000000000e+00 1.285949914236876254e-02 -1.821049563823067885e+01
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 -1.804781420136490055e+01 0.000000000000000000e+00 1.488377615826190744e-10 2.388937999115848058e-07 0.000000000000000000e+00 5.555555635069960030e-02 2.388937999115848058e-07 0.000000000000000000e+00 5.555555635069960030e-02 9.942831477078204472e-01 0.000000000000000000e+00 2.536060723928135023e-03 -1.804781420138847281e+01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.799999999997895728e+01 0.000000000000000000e+00 1.358321991872413472e-10 2.188366340245256390e-07 0.000000000000000000e+00 5.555555623806876508e-02 2.188366340245256390e-07 0.000000000000000000e+00 5.555555623806876508e-02 9.999999999980574428e-01 0.000000000000000000e+00 1.096089406390946334e-12 -1.800000000000000711e+01
