hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var wilson wilson_err wilson_var exact_energy
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.799999999999996447e+01 0.000000000000000000e+00 1.798086706744867195e-13 2.609045341280908994e-08 0.000000000000000000e+00 5.555556425844596080e-02 2.609045341280908994e-08 0.000000000000000000e+00 5.555556425844596080e-02 9.999999999999955591e-01 0.000000000000000000e+00 3.065825632182510663e-15 -1.800000000000004263e+01
0.000000000000000000e+00 1.000000000000000056e-01 0.000000000000000000e+00 -1.800372444792061799e+01 0.000000000000000000e+00 1.509382475563448289e-01 3.644000188213495240e-03 0.000000000000000000e+00 5.694135916743704035e-02 3.644000188213495240e-03 0.000000000000000000e+00 5.694135916743704035e-02 9.995407352663459033e-01 0.000000000000000000e+00 4.392126287951936161e-04 -1.802251531738383861e+01
0.000000000000000000e+00 2.000000000000000111e-01 0.000000000000000000e+00 -1.801512056569934828e+01 0.000000000000000000e+00 5.996499916625879223e-01 7.303461648405697865e-03 0.000000000000000000e+00 5.839428766597151710e-02 7.303461648405697865e-03 0.000000000000000000e+00 5.839428766597151710e-02 9.980510937661702942e-01 0.000000000000000000e+00 1.853659307710033791e-03 -1.809024916874344058e+01
0.000000000000000000e+00 2.999999999999999889e-01 0.000000000000000000e+00 -1.803604982755941677e+01 0.000000000000000000e+00 1.325037623292470323e+00 1.325227861309791894e-02 0.000000000000000000e+00 6.056659975048904465e-02 1.325227861309791894e-02 0.000000000000000000e+00 6.056659975048904465e-02 9.951298936281913754e-01 0.000000000000000000e+00 4.578638032342464970e-03 -1.820379806900524855e+01
0.000000000000000000e+00 3.200000000000000067e-01 0.000000000000000000e+00 -1.804070358634427151e+01 0.000000000000000000e+00 1.509398892702711326e+00 1.335107533848542416e-02 0.000000000000000000e+00 6.070635450072481287e-02 1.335107533848542416e-02 0.000000000000000000e+00 6.070635450072481287e-02 9.944125798478680167e-01 0.000000000000000000e+00 5.256717416323107225e-03 -1.823209278619986051e+01
0.000000000000000000e+00 3.499999999999999778e-01 0.000000000000000000e+00 -1.804936623402943496e+01 0.000000000000000000e+00 1.796908530932884940e+00 1.512803363060649491e-02 0.000000000000000000e+00 6.137439847363740375e-02 1.512803363060649491e-02 0.000000000000000000e+00 6.137439847363740375e-02 9.931066930338663390e-01 0.000000000000000000e+00 6.463550075922375356e-03 -1.827807713359491970e+01
0.000000000000000000e+00 4.000000000000000222e-01 0.000000000000000000e+00 -1.806600641501238513e+01 0.000000000000000000e+00 2.327532465458834299e+00 1.833710685741139074e-02 0.000000000000000000e+00 6.261316856297385880e-02 1.833710685741139074e-02 0.000000000000000000e+00 6.261316856297385880e-02 9.904717942243306261e-01 0.000000000000000000e+00 8.882820864660590995e-03 -1.836428258670443725e+01
0.000000000000000000e+00 5.000000000000000000e-01 0.000000000000000000e+00 -1.810868610899044029e+01 0.000000000000000000e+00 3.564165151864159498e+00 2.607740640774425939e-02 0.000000000000000000e+00 6.549164241005533960e-02 2.607740640774425939e-02 0.000000000000000000e+00 6.549164241005533960e-02 9.831876396897885062e-01 0.000000000000000000e+00 1.544076992408517299e-02 -1.857362056414643803e+01
0.000000000000000000e+00 5.999999999999999778e-01 0.000000000000000000e+00 -1.816612166926779182e+01 0.000000000000000000e+00 5.004349727558362382e+00 3.607126449688034808e-02 0.000000000000000000e+00 6.912615504844205061e-02 3.607126449688034808e-02 0.000000000000000000e+00 6.912615504844205061e-02 9.721224596983271127e-01 0.000000000000000000e+00 2.509859539881139148e-02 -1.883519989421168361e+01
0.000000000000000000e+00 6.999999999999999556e-01 0.000000000000000000e+00 -1.824222595164203042e+01 0.000000000000000000e+00 6.592147119797004962e+00 4.937155855311300967e-02 0.000000000000000000e+00 7.382315660950411473e-02 4.937155855311300967e-02 0.000000000000000000e+00 7.382315660950411473e-02 9.551618989001855464e-01 0.000000000000000000e+00 3.927901169796452902e-02 -1.915577034382064170e+01
0.000000000000000000e+00 8.000000000000000444e-01 0.000000000000000000e+00 -1.834323645589579499e+01 0.000000000000000000e+00 8.234554280576643848e+00 6.790760764731232357e-02 0.000000000000000000e+00 8.009698827246046482e-02 6.790760764731232357e-02 0.000000000000000000e+00 8.009698827246046482e-02 9.281978180090084685e-01 0.000000000000000000e+00 6.044317178208161168e-02 -1.955178293589627003e+01
0.000000000000000000e+00 9.000000000000000222e-01 0.000000000000000000e+00 -1.848026911946147166e+01 0.000000000000000000e+00 9.751891337080007105e+00 9.584690161298203837e-02 0.000000000000000000e+00 8.891513615520982294e-02 9.584690161298203837e-02 0.000000000000000000e+00 8.891513615520982294e-02 8.818123270468086750e-01 0.000000000000000000e+00 9.326309685011520412e-02 -2.007479760087529641e+01
