hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var wilson wilson_err wilson_var exact_energy
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.799999999409490670e+01 0.000000000000000000e+00 2.377976025785012834e-08 1.279764458615828318e-05 0.000000000000000000e+00 5.555981189671185816e-02 1.279764458615828318e-05 0.000000000000000000e+00 5.555981189671185816e-02 9.999999991826553636e-01 0.000000000000000000e+00 4.719833805620911669e-10 -1.800000000000004263e+01
1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.804780978916433654e+01 0.000000000000000000e+00 5.079310829179552365e-06 5.509159648453004071e-02 0.000000000000000000e+00 6.326049351862834957e-02 5.509159648453004071e-02 0.000000000000000000e+00 6.326049351862834957e-02 9.942842708110242178e-01 0.000000000000000000e+00 2.535545597374342427e-03 -1.804781420138851544e+01
2.000000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.821045521948094148e+01 0.000000000000000000e+00 2.054195572942820716e-05 1.312323018486296344e-01 0.000000000000000000e+00 8.029810075871179897e-02 1.312323018486296344e-01 0.000000000000000000e+00 8.029810075871179897e-02 9.707298531851487056e-01 0.000000000000000000e+00 1.285490378747755798e-02 -1.821049563823067174e+01
2.999999999999999889e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.855575247144919615e+01 0.000000000000000000e+00 6.250799280017293991e-05 2.677195506151835436e-01 0.000000000000000000e+00 1.167540097482487466e-01 2.677195506151835436e-01 0.000000000000000000e+00 1.167540097482487466e-01 9.015659137732020545e-01 0.000000000000000000e+00 3.979895138136914368e-02 -1.855577054356151834e+01
3.200000000000000067e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.865921053923687367e+01 0.000000000000000000e+00 1.068959551384838201e-04 3.077882748759224740e-01 0.000000000000000000e+00 1.255298486662700386e-01 3.077882748759224740e-01 0.000000000000000000e+00 1.255298486662700386e-01 8.776233790187382144e-01 0.000000000000000000e+00 4.746658261347883045e-02 -1.865922083958268374e+01
3.499999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.884343285994991035e+01 0.000000000000000000e+00 1.047322269259880504e-03 3.762979516720057482e-01 0.000000000000000000e+00 1.367103662245456874e-01 3.762979516720057482e-01 0.000000000000000000e+00 1.367103662245456874e-01 8.344365683825947233e-01 0.000000000000000000e+00 5.882233186061192054e-02 -1.884351784883967085e+01
4.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.923858095080723274e+01 0.000000000000000000e+00 9.695919684890050652e-05 5.023392438756849598e-01 0.000000000000000000e+00 1.424098445013990133e-01 5.023392438756849598e-01 0.000000000000000000e+00 1.424098445013990133e-01 7.504969425529353089e-01 0.000000000000000000e+00 7.132716511085629429e-02 -1.923858788840417944e+01
5.000000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.034188560789870337e+01 0.000000000000000000e+00 7.622933914855792932e-05 7.052171439643797335e-01 0.000000000000000000e+00 1.097345095539080106e-01 7.052171439643797335e-01 0.000000000000000000e+00 1.097345095539080106e-01 6.133415800720282141e-01 0.000000000000000000e+00 6.347686113365340332e-02 -2.034189058840843956e+01
5.999999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.171662025288092934e+01 0.000000000000000000e+00 5.352783586170445417e-05 8.101538415822260308e-01 0.000000000000000000e+00 7.605302069123004438e-02 8.101538415822260308e-01 0.000000000000000000e+00 7.605302069123004438e-02 5.511513706908770516e-01 0.000000000000000000e+00 4.797998553813737077e-02 -2.171662360271273329e+01
6.999999999999999556e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.322948168438366423e+01 0.000000000000000000e+00 2.651104168774203821e-05 8.656134040535981011e-01 0.000000000000000000e+00 5.542367764254222534e-02 8.656134040535981011e-01 0.000000000000000000e+00 5.542367764254222534e-02 5.257002296749666570e-01 0.000000000000000000e+00 3.927011602463288675e-02 -2.322948321372521363e+01
8.000000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.481986179467119769e+01 0.000000000000000000e+00 1.367608012638550452e-05 8.989643613957750690e-01 0.000000000000000000e+00 4.239036929692907574e-02 8.989643613957750690e-01 0.000000000000000000e+00 4.239036929692907574e-02 5.142262475630448026e-01 0.000000000000000000e+00 3.475871489010247395e-02 -2.481986251840852731e+01
9.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.645903735131315671e+01 0.000000000000000000e+00 2.011988792766956704e-05 9.209492825399527849e-01 0.000000000000000000e+00 3.356063513229838591e-02 9.209492825399527849e-01 0.000000000000000000e+00 3.356063513229838591e-02 5.084872558891726513e-01 0.000000000000000000e+00 3.229381881534766630e-02 -2.645903826775794343e+01
