hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var wilson wilson_err wilson_var exact_energy
9.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.645903820353977665e+01 0.000000000000000000e+00 1.455874732523930257e-06 9.209489754507875769e-01 0.000000000000000000e+00 3.356081089647708349e-02 9.209489754507875769e-01 0.000000000000000000e+00 3.356081089647708349e-02 5.084814717852461641e-01 0.000000000000000000e+00 3.229205321535585926e-02 -2.645903826775799672e+01
8.000000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.481986236242444832e+01 0.000000000000000000e+00 3.211300438931555152e-06 8.989641553836446031e-01 0.000000000000000000e+00 4.239046414161471571e-02 8.989641553836446031e-01 0.000000000000000000e+00 4.239046414161471571e-02 5.142156771882273603e-01 0.000000000000000000e+00 3.475807020964859217e-02 -2.481986251840847757e+01
6.999999999999999556e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.322948274766207888e+01 0.000000000000000000e+00 8.709009217954784691e-06 8.656130542623508006e-01 0.000000000000000000e+00 5.542383637108410505e-02 8.656130542623508006e-01 0.000000000000000000e+00 5.542383637108410505e-02 5.256897317463953279e-01 0.000000000000000000e+00 3.927102695177263347e-02 -2.322948321372515679e+01
5.999999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.171662193740387181e+01 0.000000000000000000e+00 2.817926573791371841e-05 8.101536364506712884e-01 0.000000000000000000e+00 7.605312754641510575e-02 8.101536364506712884e-01 0.000000000000000000e+00 7.605312754641510575e-02 5.511468037335800485e-01 0.000000000000000000e+00 4.798552750707832382e-02 -2.171662360271279724e+01
5.000000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.034188394358061203e+01 0.000000000000000000e+00 1.014749505448028874e-04 7.052207238381384968e-01 0.000000000000000000e+00 1.097335388088477304e-01 7.052207238381384968e-01 0.000000000000000000e+00 1.097335388088477304e-01 6.133361255833320591e-01 0.000000000000000000e+00 6.348893193320973016e-02 -2.034189058840835429e+01
4.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.923856723787933021e+01 0.000000000000000000e+00 2.916869008449626843e-04 5.023459133689349709e-01 0.000000000000000000e+00 1.424075747499295441e-01 5.023459133689349709e-01 0.000000000000000000e+00 1.424075747499295441e-01 7.504896442854518401e-01 0.000000000000000000e+00 7.134748051652500811e-02 -1.923858788840414391e+01
3.499999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.884349530860372823e+01 0.000000000000000000e+00 3.113721030458809912e-04 3.763137590783222075e-01 0.000000000000000000e+00 1.366997850779049783e-01 3.763137590783222075e-01 0.000000000000000000e+00 1.366997850779049783e-01 8.344705720397073145e-01 0.000000000000000000e+00 5.882913544517000964e-02 -1.884351784883965664e+01
3.200000000000000067e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.865919764588730345e+01 0.000000000000000000e+00 3.102209283736834244e-04 3.077330078401461222e-01 0.000000000000000000e+00 1.255084447672418224e-01 3.077330078401461222e-01 0.000000000000000000e+00 1.255084447672418224e-01 8.776592088465915431e-01 0.000000000000000000e+00 4.746465597194367281e-02 -1.865922083958278677e+01
2.999999999999999889e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.855575143701769036e+01 0.000000000000000000e+00 2.506932915291403127e-04 2.677196729454405788e-01 0.000000000000000000e+00 1.167440022032791708e-01 2.677196729454405788e-01 0.000000000000000000e+00 1.167440022032791708e-01 9.015606060888003981e-01 0.000000000000000000e+00 3.980808934570990304e-02 -1.855577054356153610e+01
2.000000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.821049270005019949e+01 0.000000000000000000e+00 3.715719757712420020e-05 1.312687962584622170e-01 0.000000000000000000e+00 8.032533458807990245e-02 1.312687962584622170e-01 0.000000000000000000e+00 8.032533458807990245e-02 9.707187769605516436e-01 0.000000000000000000e+00 1.285979588223122409e-02 -1.821049563823061845e+01
1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.804781388399490183e+01 0.000000000000000000e+00 3.581236571562579703e-06 5.509932775828016438e-02 0.000000000000000000e+00 6.327343441517382927e-02 5.509932775828016438e-02 0.000000000000000000e+00 6.327343441517382927e-02 9.942831422824692789e-01 0.000000000000000000e+00 2.536046580667428770e-03 -1.804781420138843018e+01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.799999999375422277e+01 0.000000000000000000e+00 2.498311224888432492e-08 1.158818203041308664e-05 0.000000000000000000e+00 5.555711084159001278e-02 1.158818203041308664e-05 0.000000000000000000e+00 5.555711084159001278e-02 9.999999992896788648e-01 0.000000000000000000e+00 3.265960258586235713e-10 -1.800000000000000711e+01
