hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var wilson wilson_err wilson_var exact_energy
0.000000000000000000e+00 9.000000000000000222e-01 0.000000000000000000e+00 -1.968690650423019761e+01 0.000000000000000000e+00 1.983674320302361016e+00 1.940999604932279743e-01 0.000000000000000000e+00 4.811634180244775405e-02 1.940999604932279743e-01 0.000000000000000000e+00 4.811634180244775405e-02 8.460532367470386950e-01 0.000000000000000000e+00 1.144318791407910318e-01 -2.007479760087522536e+01
0.000000000000000000e+00 8.000000000000000444e-01 0.000000000000000000e+00 -1.935251017630319126e+01 0.000000000000000000e+00 1.300419891034021003e+00 1.772514933492970457e-01 0.000000000000000000e+00 4.921510020841126515e-02 1.772514933492970457e-01 0.000000000000000000e+00 4.921510020841126515e-02 8.720919750851046093e-01 0.000000000000000000e+00 9.818414843370748546e-02 -1.955178293589619543e+01
0.000000000000000000e+00 6.999999999999999556e-01 0.000000000000000000e+00 -1.904962053709874681e+01 0.000000000000000000e+00 7.979334021560744450e-01 1.590728852725356579e-01 0.000000000000000000e+00 5.034310144841902535e-02 1.590728852725356579e-01 0.000000000000000000e+00 5.034310144841902535e-02 8.973455985735685481e-01 0.000000000000000000e+00 8.123294638807673773e-02 -1.915577034382064170e+01
0.000000000000000000e+00 5.999999999999999778e-01 0.000000000000000000e+00 -1.878065436781948705e+01 0.000000000000000000e+00 4.490752971607227528e-01 1.395576577792113637e-01 0.000000000000000000e+00 5.146769561172785667e-02 1.395576577792113637e-01 0.000000000000000000e+00 5.146769561172785667e-02 9.212498559493766948e-01 0.000000000000000000e+00 6.409340875341613952e-02 -1.883519989421173335e+01
0.000000000000000000e+00 5.000000000000000000e-01 0.000000000000000000e+00 -1.854799827247237332e+01 0.000000000000000000e+00 2.247464062726733935e-01 1.187370293112978703e-01 0.000000000000000000e+00 5.254686538662674267e-02 1.187370293112978703e-01 0.000000000000000000e+00 5.254686538662674267e-02 9.431667023835431651e-01 0.000000000000000000e+00 4.743632903402410228e-02 -1.857362056414647000e+01
0.000000000000000000e+00 4.000000000000000222e-01 0.000000000000000000e+00 -1.835393597179869118e+01 0.000000000000000000e+00 9.501387778835262976e-02 9.669408912060031835e-02 0.000000000000000000e+00 5.353181110722032843e-02 9.669408912060031835e-02 0.000000000000000000e+00 5.353181110722032843e-02 9.624090413395702814e-01 0.000000000000000000e+00 3.206369967353801809e-02 -1.836428258670445146e+01
0.000000000000000000e+00 3.499999999999999778e-01 0.000000000000000000e+00 -1.827203888430795331e+01 0.000000000000000000e+00 5.645509622122363291e-02 8.525618866040032828e-02 0.000000000000000000e+00 5.397269820791239514e-02 8.525618866040032828e-02 0.000000000000000000e+00 5.397269820791239514e-02 9.708098373483802224e-01 0.000000000000000000e+00 2.513195400787462605e-02 -1.827807713359486641e+01
0.000000000000000000e+00 3.200000000000000067e-01 0.000000000000000000e+00 -1.822788215838730608e+01 0.000000000000000000e+00 3.973983543981675359e-02 7.827292448407052738e-02 0.000000000000000000e+00 5.421697757966748021e-02 7.827292448407052738e-02 0.000000000000000000e+00 5.421697757966748021e-02 9.754113294705738513e-01 0.000000000000000000e+00 2.127819019463319389e-02 -1.823209278619999907e+01
0.000000000000000000e+00 2.999999999999999889e-01 0.000000000000000000e+00 -1.820054924507726923e+01 0.000000000000000000e+00 3.083877452142046172e-02 7.357064902823069741e-02 0.000000000000000000e+00 5.437055370253779385e-02 7.357064902823069741e-02 0.000000000000000000e+00 5.437055370253779385e-02 9.782854462875830714e-01 0.000000000000000000e+00 1.885063518196071486e-02 -1.820379806900520236e+01
0.000000000000000000e+00 2.000000000000000111e-01 0.000000000000000000e+00 -1.808960991803150264e+01 0.000000000000000000e+00 6.207214476508420356e-03 4.956879799917479623e-02 0.000000000000000000e+00 5.501319502639961945e-02 4.956879799917479623e-02 0.000000000000000000e+00 5.501319502639961945e-02 9.901586048469430690e-01 0.000000000000000000e+00 8.655146502260556776e-03 -1.809024916874344058e+01
0.000000000000000000e+00 1.000000000000000056e-01 0.000000000000000000e+00 -1.802247535186612382e+01 0.000000000000000000e+00 3.934242717138630176e-04 2.494552202237844407e-02 0.000000000000000000e+00 5.541808081353988280e-02 2.494552202237844407e-02 0.000000000000000000e+00 5.541808081353988280e-02 9.975100489384247648e-01 0.000000000000000000e+00 2.207347606011740050e-03 -1.802251531738382084e+01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.799999999542995255e+01 0.000000000000000000e+00 3.666740385459238490e-08 8.402106575483425649e-06 0.000000000000000000e+00 5.555554863853094660e-02 8.402106575483425649e-06 0.000000000000000000e+00 5.555554863853094660e-02 9.999999994949859694e-01 0.000000000000000000e+00 4.489015473759710271e-10 -1.800000000000000711e+01
