hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var wilson wilson_err wilson_var exact_energy
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.799999999408506568e+01 0.000000000000000000e+00 2.377512572323548505e-08 1.287357020711228089e-05 0.000000000000000000e+00 5.555981189646724133e-02 1.287357020711228089e-05 0.000000000000000000e+00 5.555981189646724133e-02 9.999999991821694190e-01 0.000000000000000000e+00 4.714755186890190332e-10 -1.800000000000004263e+01
1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.804779508429046331e+01 0.000000000000000000e+00 1.122339194323604275e-04 5.505874994688148005e-02 0.000000000000000000e+00 6.322668807042500227e-02 5.505874994688148005e-02 0.000000000000000000e+00 6.322668807042500227e-02 9.942880591075844432e-01 0.000000000000000000e+00 2.533631247817194881e-03 -1.804781420138851544e+01
2.000000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.821042808325776008e+01 0.000000000000000000e+00 2.421067435471123787e-04 1.311442976818777417e-01 0.000000000000000000e+00 8.024192783494768499e-02 1.311442976818777417e-01 0.000000000000000000e+00 8.024192783494768499e-02 9.707568457258564099e-01 0.000000000000000000e+00 1.284364074942895284e-02 -1.821049563823067174e+01
2.999999999999999889e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.855566414202820269e+01 0.000000000000000000e+00 8.668915059129603468e-04 2.676698128358843132e-01 0.000000000000000000e+00 1.167277643761111261e-01 2.676698128358843132e-01 0.000000000000000000e+00 1.167277643761111261e-01 9.015652511980684070e-01 0.000000000000000000e+00 3.980309735849107966e-02 -1.855577054356151834e+01
3.200000000000000067e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.865912446170892025e+01 0.000000000000000000e+00 1.008945521797282490e-03 3.077590102664905514e-01 0.000000000000000000e+00 1.255165474484109533e-01 3.077590102664905514e-01 0.000000000000000000e+00 1.255165474484109533e-01 8.776094268997551850e-01 0.000000000000000000e+00 4.747514772716181219e-02 -1.865922083958268374e+01
3.499999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.884341017532195650e+01 0.000000000000000000e+00 1.165317211451443943e-03 3.762904449364533610e-01 0.000000000000000000e+00 1.366960497135596975e-01 3.762904449364533610e-01 0.000000000000000000e+00 1.366960497135596975e-01 8.344289117837566661e-01 0.000000000000000000e+00 5.883527597322273789e-02 -1.884351784883967085e+01
4.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.923854768964643824e+01 0.000000000000000000e+00 5.014324302310907769e-04 5.023398435926830219e-01 0.000000000000000000e+00 1.424075253699475518e-01 5.023398435926830219e-01 0.000000000000000000e+00 1.424075253699475518e-01 7.504207296592059206e-01 0.000000000000000000e+00 7.135085795287871013e-02 -1.923858788840417944e+01
5.000000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.034186526169453657e+01 0.000000000000000000e+00 3.473278155938381564e-04 7.052263580633477691e-01 0.000000000000000000e+00 1.097313250028099652e-01 7.052263580633477691e-01 0.000000000000000000e+00 1.097313250028099652e-01 6.132203812372087892e-01 0.000000000000000000e+00 6.348276423936413670e-02 -2.034189058840843956e+01
5.999999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.171661287441158095e+01 0.000000000000000000e+00 1.618744968711906241e-04 8.101563941270282232e-01 0.000000000000000000e+00 7.605184612663520860e-02 8.101563941270282232e-01 0.000000000000000000e+00 7.605184612663520860e-02 5.510417508056502101e-01 0.000000000000000000e+00 4.797087335445972267e-02 -2.171662360271273329e+01
6.999999999999999556e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.322947867520105092e+01 0.000000000000000000e+00 7.471320008176905215e-05 8.656146557466175562e-01 0.000000000000000000e+00 5.542305061230837909e-02 8.656146557466175562e-01 0.000000000000000000e+00 5.542305061230837909e-02 5.256156189972667203e-01 0.000000000000000000e+00 3.925759843772941293e-02 -2.322948321372521363e+01
8.000000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.481986045259710139e+01 0.000000000000000000e+00 3.696417525150508764e-05 8.989647074611157862e-01 0.000000000000000000e+00 4.239016706008306296e-02 8.989647074611157862e-01 0.000000000000000000e+00 4.239016706008306296e-02 5.141640512815434105e-01 0.000000000000000000e+00 3.474764656200285406e-02 -2.481986251840852731e+01
9.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.645903532156075499e+01 0.000000000000000000e+00 4.678518249538401877e-05 9.209363621014865497e-01 0.000000000000000000e+00 3.357111467620633311e-02 9.209363621014865497e-01 0.000000000000000000e+00 3.357111467620633311e-02 5.085102494299023057e-01 0.000000000000000000e+00 3.229936023997707906e-02 -2.645903826775794343e+01
