hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var wilson wilson_err wilson_var exact_energy
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.799999999408503015e+01 0.000000000000000000e+00 2.377539072537371561e-08 4.012752158597654992e-10 0.000000000000000000e+00 5.555555555517061733e-02 4.012752158597654992e-10 0.000000000000000000e+00 5.555555555517061733e-02 9.999999991821644230e-01 0.000000000000000000e+00 4.714789345263032566e-10 -1.800000000000004263e+01
0.000000000000000000e+00 1.000000000000000056e-01 0.000000000000000000e+00 -1.802244124657749325e+01 0.000000000000000000e+00 8.846737090262450426e-04 2.487020870159437416e-02 0.000000000000000000e+00 5.525345671069059605e-02 2.487020870159437416e-02 0.000000000000000000e+00 5.525345671069059605e-02 9.975195717280797014e-01 0.000000000000000000e+00 2.198770388734357269e-03 -1.802251531738383861e+01
0.000000000000000000e+00 2.000000000000000111e-01 0.000000000000000000e+00 -1.808931078834291384e+01 0.000000000000000000e+00 1.148666953708040589e-02 4.923814378892165528e-02 0.000000000000000000e+00 5.465602153492498533e-02 4.923814378892165528e-02 0.000000000000000000e+00 5.465602153492498533e-02 9.902291559056112247e-01 0.000000000000000000e+00 8.599246903358982730e-03 -1.809024916874344058e+01
0.000000000000000000e+00 2.999999999999999889e-01 0.000000000000000000e+00 -1.820039920807414902e+01 0.000000000000000000e+00 4.450751634671699930e-02 7.344695308319387772e-02 0.000000000000000000e+00 5.427711255928885370e-02 7.344695308319387772e-02 0.000000000000000000e+00 5.427711255928885370e-02 9.781600554481055809e-01 0.000000000000000000e+00 1.905979459890796632e-02 -1.820379806900524855e+01
0.000000000000000000e+00 3.200000000000000067e-01 0.000000000000000000e+00 -1.822769690938052634e+01 0.000000000000000000e+00 5.722803629114095458e-02 7.812905625874486115e-02 0.000000000000000000e+00 5.411490343020438493e-02 7.812905625874486115e-02 0.000000000000000000e+00 5.411490343020438493e-02 9.752482749745430279e-01 0.000000000000000000e+00 2.154752274016985894e-02 -1.823209278619986051e+01
0.000000000000000000e+00 3.499999999999999778e-01 0.000000000000000000e+00 -1.827177268314876812e+01 0.000000000000000000e+00 8.124460306300367030e-02 8.506551862407643605e-02 0.000000000000000000e+00 5.384958630465583318e-02 8.506551862407643605e-02 0.000000000000000000e+00 5.384958630465583318e-02 9.705831863064655618e-01 0.000000000000000000e+00 2.550597230581076735e-02 -1.827807713359491970e+01
0.000000000000000000e+00 4.000000000000000222e-01 0.000000000000000000e+00 -1.835346003907054424e+01 0.000000000000000000e+00 1.367587779070419396e-01 9.639169067528610690e-02 0.000000000000000000e+00 5.336265935375762021e-02 9.639169067528610690e-02 0.000000000000000000e+00 5.336265935375762021e-02 9.620495541839144682e-01 0.000000000000000000e+00 3.266077871415970502e-02 -1.836428258670443725e+01
0.000000000000000000e+00 5.000000000000000000e-01 0.000000000000000000e+00 -1.854668977305529154e+01 0.000000000000000000e+00 3.237850095377993176e-01 1.180605945144823227e-01 0.000000000000000000e+00 5.225396347066911529e-02 1.180605945144823227e-01 0.000000000000000000e+00 5.225396347066911529e-02 9.424421930862676433e-01 0.000000000000000000e+00 4.867264077287705715e-02 -1.857362056414643803e+01
0.000000000000000000e+00 5.999999999999999778e-01 0.000000000000000000e+00 -1.878317213245815509e+01 0.000000000000000000e+00 6.224333852287837754e-01 1.400394974694911254e-01 0.000000000000000000e+00 5.153566107643541006e-02 1.400394974694911254e-01 0.000000000000000000e+00 5.153566107643541006e-02 9.180979023785817983e-01 0.000000000000000000e+00 6.811770127289754062e-02 -1.883519989421168361e+01
0.000000000000000000e+00 6.999999999999999556e-01 0.000000000000000000e+00 -1.905287385999679373e+01 0.000000000000000000e+00 1.112726880319234279e+00 1.592982050056831467e-01 0.000000000000000000e+00 5.028243303138143355e-02 1.592982050056831467e-01 0.000000000000000000e+00 5.028243303138143355e-02 8.925422092161883203e-01 0.000000000000000000e+00 8.732419598329763111e-02 -1.915577034382064170e+01
0.000000000000000000e+00 8.000000000000000444e-01 0.000000000000000000e+00 -1.935570513581637542e+01 0.000000000000000000e+00 1.821400929399240365e+00 1.768635003232295611e-01 0.000000000000000000e+00 4.898746359034888975e-02 1.768635003232295611e-01 0.000000000000000000e+00 4.898746359034888975e-02 8.655405472901260833e-01 0.000000000000000000e+00 1.064925629518112121e-01 -1.955178293589627003e+01
0.000000000000000000e+00 9.000000000000000222e-01 0.000000000000000000e+00 -1.968858295558814575e+01 0.000000000000000000e+00 2.784441129230482481e+00 1.926936352289868037e-01 0.000000000000000000e+00 4.771030330699130295e-02 1.926936352289868037e-01 0.000000000000000000e+00 4.771030330699130295e-02 8.378684788292553032e-01 0.000000000000000000e+00 1.249104636300736038e-01 -2.007479760087529641e+01
