hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var wilson wilson_err wilson_var exact_energy
0.000000000000000000e+00 9.000000000000000222e-01 0.000000000000000000e+00 -1.968579806786131670e+01 0.000000000000000000e+00 2.003269014193818531e+00 1.937514431434547713e-01 0.000000000000000000e+00 4.798017323703035464e-02 1.937514431434547713e-01 0.000000000000000000e+00 4.798017323703035464e-02 8.463470822943686134e-01 0.000000000000000000e+00 1.142362996795342200e-01 -2.007479760087522536e+01
0.000000000000000000e+00 8.000000000000000444e-01 0.000000000000000000e+00 -1.935206234961562899e+01 0.000000000000000000e+00 1.313368358961642501e+00 1.772222284635101008e-01 0.000000000000000000e+00 4.911484059726183016e-02 1.772222284635101008e-01 0.000000000000000000e+00 4.911484059726183016e-02 8.720003623193848252e-01 0.000000000000000000e+00 9.823089644262530951e-02 -1.955178293589619543e+01
0.000000000000000000e+00 6.999999999999999556e-01 0.000000000000000000e+00 -1.904941738539768892e+01 0.000000000000000000e+00 8.025470083886834249e-01 1.589840808167448660e-01 0.000000000000000000e+00 5.028720707378823984e-02 1.589840808167448660e-01 0.000000000000000000e+00 5.028720707378823984e-02 8.973990871760454402e-01 0.000000000000000000e+00 8.119048343107210242e-02 -1.915577034382064170e+01
0.000000000000000000e+00 5.999999999999999778e-01 0.000000000000000000e+00 -1.878056997635613357e+01 0.000000000000000000e+00 4.510670930964719716e-01 1.395131831238379805e-01 0.000000000000000000e+00 5.143412617983338098e-02 1.395131831238379805e-01 0.000000000000000000e+00 5.143412617983338098e-02 9.212733826148461480e-01 0.000000000000000000e+00 6.407379829050592612e-02 -1.883519989421173335e+01
0.000000000000000000e+00 5.000000000000000000e-01 0.000000000000000000e+00 -1.854796897086819030e+01 0.000000000000000000e+00 2.254637852429044464e-01 1.187180320797561750e-01 0.000000000000000000e+00 5.252912012047586399e-02 1.187180320797561750e-01 0.000000000000000000e+00 5.252912012047586399e-02 9.431751777466912401e-01 0.000000000000000000e+00 4.742895996166549000e-02 -1.857362056414647000e+01
0.000000000000000000e+00 4.000000000000000222e-01 0.000000000000000000e+00 -1.835392813954501179e+01 0.000000000000000000e+00 9.521300671420780681e-02 9.668760067105654221e-02 0.000000000000000000e+00 5.352392938882972323e-02 9.668760067105654221e-02 0.000000000000000000e+00 5.352392938882972323e-02 9.624113446462343457e-01 0.000000000000000000e+00 3.206162298225478935e-02 -1.836428258670445146e+01
0.000000000000000000e+00 3.499999999999999778e-01 0.000000000000000000e+00 -1.827203537174156267e+01 0.000000000000000000e+00 5.654643308139672281e-02 8.525281560158254335e-02 0.000000000000000000e+00 5.396790335232813651e-02 8.525281560158254335e-02 0.000000000000000000e+00 5.396790335232813651e-02 9.708108763950527020e-01 0.000000000000000000e+00 2.513100097007213429e-02 -1.827807713359486641e+01
0.000000000000000000e+00 3.200000000000000067e-01 0.000000000000000000e+00 -1.822788011807305963e+01 0.000000000000000000e+00 3.979369391827947133e-02 7.827074103773984382e-02 0.000000000000000000e+00 5.421356935969780938e-02 7.827074103773984382e-02 0.000000000000000000e+00 5.421356935969780938e-02 9.754119489093155959e-01 0.000000000000000000e+00 2.127761708566403356e-02 -1.823209278619999907e+01
0.000000000000000000e+00 2.999999999999999889e-01 0.000000000000000000e+00 -1.820054786657635759e+01 0.000000000000000000e+00 3.087558033451147030e-02 7.356909403961353622e-02 0.000000000000000000e+00 5.436790345812247266e-02 7.356909403961353622e-02 0.000000000000000000e+00 5.436790345812247266e-02 9.782858513493298824e-01 0.000000000000000000e+00 1.885025619169153691e-02 -1.820379806900522013e+01
0.000000000000000000e+00 2.000000000000000111e-01 0.000000000000000000e+00 -1.808960981384459643e+01 0.000000000000000000e+00 6.210391359732749667e-03 4.956865494526704885e-02 0.000000000000000000e+00 5.501269098830614823e-02 4.956865494526704885e-02 0.000000000000000000e+00 5.501269098830614823e-02 9.901586226667111745e-01 0.000000000000000000e+00 8.655125540076583773e-03 -1.809024916874344058e+01
0.000000000000000000e+00 1.000000000000000056e-01 0.000000000000000000e+00 -1.802247538676137850e+01 0.000000000000000000e+00 3.930737629561065725e-04 2.494549911047657526e-02 0.000000000000000000e+00 5.541767856425983130e-02 2.494549911047657526e-02 0.000000000000000000e+00 5.541767856425983130e-02 9.975100512819837784e-01 0.000000000000000000e+00 2.207343555444914521e-03 -1.802251531738382084e+01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.799999999528611383e+01 0.000000000000000000e+00 3.773134375098879026e-08 8.087052579582314050e-06 0.000000000000000000e+00 5.555556057290006455e-02 8.087052579582314050e-06 0.000000000000000000e+00 5.555556057290006455e-02 9.999999994767817535e-01 0.000000000000000000e+00 4.650830787018348238e-10 -1.800000000000000711e+01
