hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var wilson wilson_err wilson_var exact_energy
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.799999999408501594e+01 0.000000000000000000e+00 2.377529320698379688e-08 1.287364501826148279e-05 0.000000000000000000e+00 5.555981191319028095e-02 1.287364501826148279e-05 0.000000000000000000e+00 5.555981191319028095e-02 9.999999991821629797e-01 0.000000000000000000e+00 4.714789674807059202e-10 -1.800000000000004263e+01
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 -1.804541920454284565e+01 0.000000000000000000e+00 2.869905543852236833e-06 1.511013401302504507e-05 0.000000000000000000e+00 5.556007110415137756e-02 1.511013401302504507e-05 0.000000000000000000e+00 5.556007110415137756e-02 9.948508112288523275e-01 0.000000000000000000e+00 2.281604233897239695e-03 -1.804781420138848347e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000111e-01 -1.819134502743025195e+01 0.000000000000000000e+00 2.502116006750171795e-04 1.951464608064653239e-05 0.000000000000000000e+00 5.556133717367024716e-02 1.951464608064653239e-05 0.000000000000000000e+00 5.556133717367024716e-02 9.762072758031221653e-01 0.000000000000000000e+00 1.042225915498301916e-02 -1.821049563823061135e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.999999999999999889e-01 -1.852618342203415125e+01 0.000000000000000000e+00 3.044619289050371890e-03 2.526592272121967243e-05 0.000000000000000000e+00 5.556152368603977515e-02 2.526592272121967243e-05 0.000000000000000000e+00 5.556152368603977515e-02 9.121456254066906411e-01 0.000000000000000000e+00 3.605493774649606159e-02 -1.855577054356151478e+01
0.000000000000000000e+00 0.000000000000000000e+00 3.200000000000000067e-01 -1.863685930829684878e+01 0.000000000000000000e+00 3.321722684315084675e-03 3.669378272943471639e-05 0.000000000000000000e+00 5.556296586096085011e-02 3.669378272943471639e-05 0.000000000000000000e+00 5.556296586096085011e-02 8.858138745972420347e-01 0.000000000000000000e+00 4.491761982124291980e-02 -1.865922083958269440e+01
0.000000000000000000e+00 0.000000000000000000e+00 3.499999999999999778e-01 -1.883389060960060135e+01 0.000000000000000000e+00 2.279838932878048858e-03 1.732922303723293878e-05 0.000000000000000000e+00 5.555783935964531822e-02 1.732922303723293878e-05 0.000000000000000000e+00 5.555783935964531822e-02 8.380223261243709976e-01 0.000000000000000000e+00 5.799825130646633908e-02 -1.884351784883963887e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000222e-01 -1.923787815404418211e+01 0.000000000000000000e+00 3.063966870916106158e-04 2.382563178889962174e-05 0.000000000000000000e+00 5.555708073497166166e-02 2.382563178889962174e-05 0.000000000000000000e+00 5.555708073497166166e-02 7.507259589168191471e-01 0.000000000000000000e+00 7.131307564684466471e-02 -1.923858788840412615e+01
0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e-01 -2.034189047520820992e+01 0.000000000000000000e+00 1.234542797048428444e-07 2.424838098886425891e-06 0.000000000000000000e+00 5.555558740404115126e-02 2.424838098886425891e-06 0.000000000000000000e+00 5.555558740404115126e-02 6.133205475084557712e-01 0.000000000000000000e+00 6.347781511055337889e-02 -2.034189058840840403e+01
0.000000000000000000e+00 0.000000000000000000e+00 5.999999999999999778e-01 -2.171662359795938357e+01 0.000000000000000000e+00 1.088322685933714785e-08 1.042142439028787731e-06 0.000000000000000000e+00 5.555556500681822080e-02 1.042142439028787731e-06 0.000000000000000000e+00 5.555556500681822080e-02 5.511352913139478948e-01 0.000000000000000000e+00 4.797860172098171450e-02 -2.171662360271273329e+01
0.000000000000000000e+00 0.000000000000000000e+00 6.999999999999999556e-01 -2.322948320880162498e+01 0.000000000000000000e+00 1.710486099202397910e-08 3.684893705349706450e-06 0.000000000000000000e+00 5.555558745692297518e-02 3.684893705349706450e-06 0.000000000000000000e+00 5.555558745692297518e-02 5.256849832195248373e-01 0.000000000000000000e+00 3.926756668865381827e-02 -2.322948321372531311e+01
0.000000000000000000e+00 0.000000000000000000e+00 8.000000000000000444e-01 -2.481986251441158942e+01 0.000000000000000000e+00 1.768135887275202035e-08 5.779541143154996183e-06 0.000000000000000000e+00 5.555561028967210407e-02 5.779541143154996183e-06 0.000000000000000000e+00 5.555561028967210407e-02 5.142138489192579209e-01 0.000000000000000000e+00 3.475629373698216340e-02 -2.481986251840855573e+01
0.000000000000000000e+00 0.000000000000000000e+00 9.000000000000000222e-01 -2.645903826233644196e+01 0.000000000000000000e+00 3.374713758775152165e-08 7.821872144446199364e-06 0.000000000000000000e+00 5.555563541873955596e-02 7.821872144446199364e-06 0.000000000000000000e+00 5.555563541873955596e-02 5.084811145709853264e-01 0.000000000000000000e+00 3.229113637273951787e-02 -2.645903826775792211e+01
