hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var wilson wilson_err wilson_var exact_energy
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.799999999354964331e+01 0.000000000000000000e+00 2.610469089895320978e-08 1.333030167393013420e-05 0.000000000000000000e+00 5.555999952647634743e-02 1.333030167393013420e-05 0.000000000000000000e+00 5.555999952647634743e-02 9.999999991083250439e-01 0.000000000000000000e+00 5.151903973162634566e-10 -1.799999999999999645e+01
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 -1.804781406607451544e+01 0.000000000000000000e+00 1.603766144342475546e-06 5.509944968878985327e-02 0.000000000000000000e+00 6.327308923325718204e-02 5.509944968878985327e-02 0.000000000000000000e+00 6.327308923325718204e-02 9.942831695845055773e-01 0.000000000000000000e+00 2.536051562531472896e-03 -1.804781420138846570e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000111e-01 -1.821049040165740607e+01 0.000000000000000000e+00 6.468547411358580176e-05 1.312645055957473716e-01 0.000000000000000000e+00 8.032212428979799979e-02 1.312645055957473716e-01 0.000000000000000000e+00 8.032212428979799979e-02 9.707182660426842968e-01 0.000000000000000000e+00 1.286028174029109350e-02 -1.821049563823059358e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.999999999999999889e-01 -1.855574706952270603e+01 0.000000000000000000e+00 2.882630318282420560e-04 2.677166568194070950e-01 0.000000000000000000e+00 1.167443314137670829e-01 2.677166568194070950e-01 0.000000000000000000e+00 1.167443314137670829e-01 9.015327259417400541e-01 0.000000000000000000e+00 3.981852310726498312e-02 -1.855577054356151478e+01
0.000000000000000000e+00 0.000000000000000000e+00 3.200000000000000067e-01 -1.865917912921987210e+01 0.000000000000000000e+00 5.255081320950898008e-04 3.077760299502225183e-01 0.000000000000000000e+00 1.255275642955684945e-01 3.077760299502225183e-01 0.000000000000000000e+00 1.255275642955684945e-01 8.775891858920825683e-01 0.000000000000000000e+00 4.748253446274459943e-02 -1.865922083958269440e+01
0.000000000000000000e+00 0.000000000000000000e+00 3.499999999999999778e-01 -1.884351473688211343e+01 0.000000000000000000e+00 4.188133118502692710e-05 3.763121757754247509e-01 0.000000000000000000e+00 1.367040486944656741e-01 3.763121757754247509e-01 0.000000000000000000e+00 1.367040486944656741e-01 8.344843089274349701e-01 0.000000000000000000e+00 5.881224398844051016e-02 -1.884351784883967440e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000222e-01 -1.923855294704292973e+01 0.000000000000000000e+00 5.168060722379991907e-04 5.023414720348329254e-01 0.000000000000000000e+00 1.424099568758775414e-01 5.023414720348329254e-01 0.000000000000000000e+00 1.424099568758775414e-01 7.504499382317175726e-01 0.000000000000000000e+00 7.133289787535485038e-02 -1.923858788840417589e+01
0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e-01 -2.034186580602312588e+01 0.000000000000000000e+00 3.606923433656628562e-04 7.052208967185235045e-01 0.000000000000000000e+00 1.097323988046531862e-01 7.052208967185235045e-01 0.000000000000000000e+00 1.097323988046531862e-01 6.133365940243704628e-01 0.000000000000000000e+00 6.347117447900678389e-02 -2.034189058840845732e+01
0.000000000000000000e+00 0.000000000000000000e+00 5.999999999999999778e-01 -2.171662100175026922e+01 0.000000000000000000e+00 4.356159828747198544e-05 8.101541189435257362e-01 0.000000000000000000e+00 7.605315253617228599e-02 8.101541189435257362e-01 0.000000000000000000e+00 7.605315253617228599e-02 5.511183468151238385e-01 0.000000000000000000e+00 4.798214441754192205e-02 -2.171662360271277237e+01
0.000000000000000000e+00 0.000000000000000000e+00 6.999999999999999556e-01 -2.322948231996116064e+01 0.000000000000000000e+00 1.615294325945408957e-05 8.656131997971159286e-01 0.000000000000000000e+00 5.542382660108091663e-02 8.656131997971159286e-01 0.000000000000000000e+00 5.542382660108091663e-02 5.256634763370380270e-01 0.000000000000000000e+00 3.926562875057360708e-02 -2.322948321372522784e+01
0.000000000000000000e+00 0.000000000000000000e+00 8.000000000000000444e-01 -2.481985853500462724e+01 0.000000000000000000e+00 7.061315150394047938e-05 8.989544412170106247e-01 0.000000000000000000e+00 4.239431595588390861e-02 8.989544412170106247e-01 0.000000000000000000e+00 4.239431595588390861e-02 5.141669436414473271e-01 0.000000000000000000e+00 3.475288413354844091e-02 -2.481986251840849533e+01
0.000000000000000000e+00 0.000000000000000000e+00 9.000000000000000222e-01 -2.645903690762206750e+01 0.000000000000000000e+00 2.508991978404020176e-05 9.209494783773556348e-01 0.000000000000000000e+00 3.356062145159854904e-02 9.209494783773556348e-01 0.000000000000000000e+00 3.356062145159854904e-02 5.084327322243817893e-01 0.000000000000000000e+00 3.228210913328929954e-02 -2.645903826775795054e+01
