hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var wilson wilson_err wilson_var exact_energy
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.799999999408500884e+01 0.000000000000000000e+00 2.377552238198879786e-08 1.287353380989373559e-05 0.000000000000000000e+00 5.555981191848465700e-02 1.287353380989373559e-05 0.000000000000000000e+00 5.555981191848465700e-02 9.999999991821607592e-01 0.000000000000000000e+00 4.714817360381618003e-10 -1.800000000000004263e+01
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 -1.804547758505561816e+01 0.000000000000000000e+00 2.874068703250985405e-06 9.664278515977293955e-06 0.000000000000000000e+00 5.555871372938646358e-02 9.664278515977293955e-06 0.000000000000000000e+00 5.555871372938646358e-02 9.948370948509583922e-01 0.000000000000000000e+00 2.287740485114746897e-03 -1.804781420138848347e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000111e-01 -1.819216055119774111e+01 0.000000000000000000e+00 2.486115804737656075e-04 1.818264843675994794e-05 0.000000000000000000e+00 5.556119309056410660e-02 1.818264843675994794e-05 0.000000000000000000e+00 5.556119309056410660e-02 9.759811287852988571e-01 0.000000000000000000e+00 1.052283395896271533e-02 -1.821049563823061135e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.999999999999999889e-01 -1.853683406932650257e+01 0.000000000000000000e+00 2.081537291697060227e-03 2.371079464225187022e-05 0.000000000000000000e+00 5.556020931677772834e-02 2.371079464225187022e-05 0.000000000000000000e+00 5.556020931677772834e-02 9.083764882498999160e-01 0.000000000000000000e+00 3.740980999386341044e-02 -1.855577054356151478e+01
0.000000000000000000e+00 0.000000000000000000e+00 3.200000000000000067e-01 -1.865756614870763030e+01 0.000000000000000000e+00 2.630469551419540968e-04 1.539755435883781426e-05 0.000000000000000000e+00 5.555712824502072322e-02 1.539755435883781426e-05 0.000000000000000000e+00 5.555712824502072322e-02 8.782417874054291307e-01 0.000000000000000000e+00 4.727612533831805630e-02 -1.865922083958269440e+01
0.000000000000000000e+00 0.000000000000000000e+00 3.499999999999999778e-01 -1.884347826403150350e+01 0.000000000000000000e+00 9.394443095323072286e-06 8.126038996905226018e-06 0.000000000000000000e+00 5.555590946488595666e-02 8.126038996905226018e-06 0.000000000000000000e+00 5.555590946488595666e-02 8.344925671089177266e-01 0.000000000000000000e+00 5.881085721532396809e-02 -1.884351784883963887e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000222e-01 -1.923858783338879874e+01 0.000000000000000000e+00 2.740403896553954412e-08 2.537012829612513105e-06 0.000000000000000000e+00 5.555558916167036010e-02 2.537012829612513105e-06 0.000000000000000000e+00 5.555558916167036010e-02 7.504860359264002856e-01 0.000000000000000000e+00 7.133055970571507143e-02 -1.923858788840412615e+01
0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e-01 -2.034189058370253989e+01 0.000000000000000000e+00 7.817543565744092732e-09 2.403301452203195693e-06 0.000000000000000000e+00 5.555557590180305871e-02 2.403301452203195693e-06 0.000000000000000000e+00 5.555557590180305871e-02 6.133195945078140365e-01 0.000000000000000000e+00 6.347765907646407690e-02 -2.034189058840840403e+01
0.000000000000000000e+00 0.000000000000000000e+00 5.999999999999999778e-01 -2.171662359899019989e+01 0.000000000000000000e+00 1.166244575458690621e-08 3.033894281681103199e-06 0.000000000000000000e+00 5.555557973199194699e-02 3.033894281681103199e-06 0.000000000000000000e+00 5.555557973199194699e-02 5.511353605463962246e-01 0.000000000000000000e+00 4.797862077764479538e-02 -2.171662360271273329e+01
0.000000000000000000e+00 0.000000000000000000e+00 6.999999999999999556e-01 -2.322948321051299914e+01 0.000000000000000000e+00 1.433776612352441175e-08 3.416387414017196355e-06 0.000000000000000000e+00 5.555558146636750683e-02 3.416387414017196355e-06 0.000000000000000000e+00 5.555558146636750683e-02 5.256849932370596390e-01 0.000000000000000000e+00 3.926757157266057979e-02 -2.322948321372531311e+01
0.000000000000000000e+00 0.000000000000000000e+00 8.000000000000000444e-01 -2.481986251561188794e+01 0.000000000000000000e+00 1.579164988547171004e-08 3.605583496578726896e-06 0.000000000000000000e+00 5.555558150545691909e-02 3.605583496578726896e-06 0.000000000000000000e+00 5.555558150545691909e-02 5.142138683387859066e-01 0.000000000000000000e+00 3.475630032263481162e-02 -2.481986251840855573e+01
0.000000000000000000e+00 0.000000000000000000e+00 9.000000000000000222e-01 -2.645903826530896907e+01 0.000000000000000000e+00 1.643606387726548143e-08 3.674973496853049383e-06 0.000000000000000000e+00 5.555558061396194403e-02 3.674973496853049383e-06 0.000000000000000000e+00 5.555558061396194403e-02 5.084811213665351159e-01 0.000000000000000000e+00 3.229113852247571248e-02 -2.645903826775792211e+01
