# hx, hy, hz, energy, energy_var, mag, mag_var, abs_mag, abs_mag_var, wilson, wilson_var, exact_energy
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.799999992732147547e+01 1.840947018417228256e-09 -5.818684895833334345e-04 5.553537427949808286e-02 1.757934570312499889e-01 2.463237331543929876e-02 9.999999966988291078e-01 5.905670002442822896e-12 -1.800000000000004263e+01
1.000000000000000056e-01 0.000000000000000000e+00 1.000000000000000056e-01 -1.809308044442777685e+01 1.195018898561546515e-03 5.136176215277778179e-02 5.743241852693598687e-02 1.830774377893518712e-01 2.655310091086048735e-02 9.890688818265486182e-01 4.820586823850735864e-03 -1.809415355728435415e+01
2.000000000000000111e-01 0.000000000000000000e+00 2.000000000000000111e-01 -1.839812084695303440e+01 5.119545852395279012e-03 1.103018301504629928e-01 6.444242312502633518e-02 2.065212673611111216e-01 3.395788298712835995e-02 9.483983198244076984e-01 2.250874624685929998e-02 -1.840521904225321848e+01
2.999999999999999889e-01 0.000000000000000000e+00 2.999999999999999889e-01 -1.901137650289273040e+01 2.635952213821878692e-02 2.026918764467593170e-01 8.724063590639088983e-02 2.693377459490740589e-01 5.578181129097121299e-02 8.427798525768819271e-01 6.266762376958051606e-02 -1.902345684251426050e+01
3.099999999999999978e-01 0.000000000000000000e+00 3.099999999999999978e-01 -1.909547469408493825e+01 3.480657870151594724e-02 2.143717447916667351e-01 9.002776767000743308e-02 2.778446903935185563e-01 5.878534065516070189e-02 8.273303936805200820e-01 6.720792906706082870e-02 -1.910816544540829653e+01
3.300000000000000155e-01 0.000000000000000000e+00 3.300000000000000155e-01 -1.928081945091192040e+01 3.946482807131676540e-02 2.425225151909722598e-01 9.791342496687988062e-02 3.006442599826388840e-01 6.634362428092661912e-02 7.923885287129567301e-01 7.791790836470523229e-02 -1.929236808908447642e+01
3.499999999999999778e-01 0.000000000000000000e+00 3.499999999999999778e-01 -1.948452350008200540e+01 4.568134070625520099e-02 2.700317382812499889e-01 1.039929341859042733e-01 3.220933702256943976e-01 7.316593472175146606e-02 7.551938406722433772e-01 8.743742640828937318e-02 -1.949711942601371106e+01
3.900000000000000133e-01 0.000000000000000000e+00 3.900000000000000133e-01 -1.995905581450973187e+01 6.505655807835224180e-02 3.345694082754629983e-01 1.178636381745502421e-01 3.760724103009258079e-01 8.836986933879562023e-02 6.734365444572290027e-01 1.013774006329218047e-01 -1.996986210950344542e+01
4.000000000000000222e-01 0.000000000000000000e+00 4.000000000000000222e-01 -2.008974966961524800e+01 7.931051545909102718e-02 3.499199761284722543e-01 1.203943007994336262e-01 3.892311378761573737e-01 9.133741180081589306e-02 6.564948082502946036e-01 1.035808151715421621e-01 -2.010101363895818949e+01
4.099999999999999756e-01 0.000000000000000000e+00 4.099999999999999756e-01 -2.022539519602358382e+01 8.473177088902128506e-02 3.632414641203704497e-01 1.221915617760971490e-01 4.007197627314814103e-01 9.355959478883260627e-02 6.355224682403012304e-01 1.058609318203436317e-01 -2.023713537870505164e+01
5.000000000000000000e-01 0.000000000000000000e+00 5.000000000000000000e-01 -2.164080334328276223e+01 1.301505025711930386e-01 4.705950701678240922e-01 1.272354336920998585e-01 4.934828016493054692e-01 1.051698782347112171e-01 4.904630817025434908e-01 1.087760782665753989e-01 -2.165555722458912769e+01
5.999999999999999778e-01 0.000000000000000000e+00 5.999999999999999778e-01 -2.351125679009592062e+01 1.462654885994914833e-01 5.433946397569444642e-01 1.177673119404679530e-01 5.574128327546294948e-01 1.023359803375066129e-01 3.874312807154299265e-01 1.070271770448074505e-01 -2.352369828927715290e+01
6.999999999999999556e-01 0.000000000000000000e+00 6.999999999999999556e-01 -2.556659249213547724e+01 1.072362014374665801e-01 5.860645435474538534e-01 1.077415689517359915e-01 5.961972837094906552e-01 9.576201705264618391e-02 3.215549553720969400e-01 1.012289008606451768e-01 -2.557636995862181095e+01
8.000000000000000444e-01 0.000000000000000000e+00 8.000000000000000444e-01 -2.773614148740184504e+01 1.261170354663904702e-01 6.141845703124999556e-01 9.663336908130493175e-02 6.212293836805555802e-01 8.793010834313222390e-02 2.774060765294601993e-01 1.029308476957779966e-01 -2.774581118476428543e+01
