# hx, hy, hz, energy, energy_var, mag, mag_var, abs_mag, abs_mag_var, wilson, wilson_var, exact_energy
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.799999996351647624e+01 1.471941973590704625e-07 3.001039208805345027e-10 5.555560214446882139e-02 3.187904279820814445e-05 5.556611835016739276e-02 9.999999949608371352e-01 2.906343571295603580e-09 -1.800000000000004263e+01
1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.804780705816913411e+01 5.579152477941884213e-05 1.408884363340856538e-10 5.555555557519774312e-02 5.508507443378986290e-02 6.325716435837396012e-02 9.942833331431465416e-01 2.536320379400653149e-03 -1.804781420138851544e+01
2.000000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.821045628950272643e+01 2.550343447574069874e-04 8.623913735905652800e-11 5.555555562504639611e-02 1.312230409069322368e-01 8.029224707630037983e-02 9.707138059096935834e-01 1.286764825857767899e-02 -1.821049563823067174e+01
3.000000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.855562030380536598e+01 1.224737864754463397e-03 4.346427384671613936e-11 5.555555555133723233e-02 2.679151682491939246e-01 1.168257486512223609e-01 9.013232574935609032e-01 3.990546049962329089e-02 -1.855577054356150413e+01
3.099999999999999978e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.860552031092170466e+01 1.423772242941835284e-03 -3.069948809053535399e-11 5.555555555737217571e-02 2.873810850486159252e-01 1.212849544833187465e-01 8.897928604470293212e-01 4.372340829155849096e-02 -1.860569268713478763e+01
3.300000000000000155e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.871647074629628094e+01 9.089341480022827607e-04 7.594865708560050166e-12 5.555555555999645845e-02 3.298949543469745227e-01 1.297078219661711995e-01 8.639576548638934206e-01 5.140709747632624116e-02 -1.871656909868406515e+01
3.499999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.884340344249951116e+01 1.122390536684548818e-03 -1.062447699262669687e-11 5.555555555417773794e-02 3.766792332160914247e-01 1.367681853090417232e-01 8.340980306760659158e-01 5.892392569392791019e-02 -1.884351784883965664e+01
4.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.923822198272663897e+01 3.929071572772697453e-03 8.252228761440605354e-12 5.555555554172405403e-02 5.027029731173917604e-01 1.423533737606008653e-01 7.499568126032051252e-01 7.141760191085251563e-02 -1.923858788840414391e+01
5.000000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.034182488351480345e+01 7.869489814757082025e-04 -6.637978361423435558e-12 5.555555555610633411e-02 7.052667838233352970e-01 1.097198228719462321e-01 6.130254797105301190e-01 6.346814774396622449e-02 -2.034189058840831876e+01
6.000000000000000888e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.171660553310351460e+01 2.215462252073536976e-04 -1.933331966741391739e-12 5.555555555567050219e-02 8.101636271584407023e-01 7.605016600327761667e-02 5.510463238269598385e-01 4.795816079616949112e-02 -2.171662360271273329e+01
7.000000000000000666e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.322948180980463206e+01 2.350683939910759633e-05 2.154144917998479514e-13 5.555555555549826496e-02 8.656253734056031934e-01 5.541849171246848726e-02 5.256410276928835668e-01 3.926008042898193606e-02 -2.322948321372524205e+01
8.000000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.481985869782491605e+01 6.286880257067993961e-05 -2.213750016633042605e-13 5.555555555555483777e-02 8.989658478642641448e-01 4.238985718821294824e-02 5.141896268032889461e-01 3.475152215674069678e-02 -2.481986251840849178e+01
