# hx, hy, hz, energy, energy_var, mag, mag_var, abs_mag, abs_mag_var, wilson, wilson_var, exact_energy
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.799999999846906462e+01 6.208057456420770487e-09 6.521661471440058454e-06 5.555771450800930933e-02 6.521661471440058454e-06 5.555771450800930933e-02 9.999999997890008929e-01 1.216721148309732588e-10 -1.800000000000004263e+01
1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.804774876363323344e+01 1.163460442427531518e-04 5.497777586765884017e-02 6.310002736789738220e-02 5.497777586765884017e-02 6.310002736789738220e-02 9.942990552022321626e-01 2.529050834683270986e-03 -1.804781420138851544e+01
2.000000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.821033526797468127e+01 8.622870894109009848e-04 1.309624823139191041e-01 8.012486976117459692e-02 1.309624823139191041e-01 8.012486976117459692e-02 9.708069714353844137e-01 1.282403263191110414e-02 -1.821049563823067174e+01
2.999999999999999889e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.855550595931034508e+01 2.757971935501233457e-03 2.674580112734055160e-01 1.165001779097175338e-01 2.674580112734055160e-01 1.165001779097175338e-01 9.016101886780083507e-01 3.979008741148680472e-02 -1.855577054356151834e+01
3.200000000000000067e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.865885526322256283e+01 3.779952142155665329e-03 3.074212184010107207e-01 1.252358057814242920e-01 3.074212184010107207e-01 1.252358057814242920e-01 8.776810253202764756e-01 4.746115737411318869e-02 -1.865922083958268374e+01
3.499999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.884307129638647993e+01 4.626813177400832325e-03 3.760114473715194805e-01 1.364223248110537634e-01 3.760114473715194805e-01 1.364223248110537634e-01 8.343045039048981870e-01 5.888658974729479856e-02 -1.884351784883967085e+01
4.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.923815883024195017e+01 4.956847192971298999e-03 5.022459930325959832e-01 1.422946755690542298e-01 5.022459930325959832e-01 1.422946755690542298e-01 7.500602307494076415e-01 7.147778515175896852e-02 -1.923858788840417944e+01
5.000000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.034146047611963226e+01 5.576777442361812755e-03 7.047779573152082033e-01 1.097566274144022858e-01 7.047779573152082033e-01 1.097566274144022858e-01 6.129065562422515434e-01 6.354821386385064996e-02 -2.034189058840843956e+01
5.999999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.171644650729663084e+01 2.719123253445721380e-03 8.101509308762810946e-01 7.598864064005081409e-02 8.101509308762810946e-01 7.598864064005081409e-02 5.507495589157684890e-01 4.791877873568362034e-02 -2.171662360271273329e+01
6.999999999999999556e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.322931881496264594e+01 2.698052716068981283e-03 8.655783862396151385e-01 5.542734687166984975e-02 8.655783862396151385e-01 5.542734687166984975e-02 5.256392967777103742e-01 3.926476567952547070e-02 -2.322948321372521363e+01
