# hx, hy, hz, energy, energy_var, mag, mag_var, abs_mag, abs_mag_var, wilson, wilson_var, exact_energy
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.799999999804843398e+01 7.914978937045258877e-09 7.362004381974779594e-06 5.555799311915397831e-02 7.362004381974779594e-06 5.555799311915397831e-02 9.999999997310354827e-01 1.551050054632362908e-10 -1.800000000000004263e+01
1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.804741706043742866e+01 7.680136026337636721e-05 5.440279825096591693e-02 6.222089015558164571e-02 5.440279825096591693e-02 6.222089015558164571e-02 9.943786348901229033e-01 2.493090063607853249e-03 -1.804781420138851544e+01
2.000000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.820788120240779051e+01 7.996844249952716642e-04 1.286356903013040898e-01 7.823007059942438390e-02 1.286356903013040898e-01 7.823007059942438390e-02 9.714711925292639494e-01 1.253248849344641355e-02 -1.821049563823067174e+01
2.999999999999999889e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.855522882753275127e+01 3.592144208327070678e-04 2.672982377637745932e-01 1.165631796923130292e-01 2.672982377637745932e-01 1.165631796923130292e-01 9.017449524296733410e-01 3.973864868009821527e-02 -1.855577054356151834e+01
3.200000000000000067e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.865897661840888944e+01 1.624641533816301186e-04 3.074398124199017590e-01 1.254331369462124979e-01 3.074398124199017590e-01 1.254331369462124979e-01 8.778192774463591252e-01 4.740478775865113181e-02 -1.865922083958268374e+01
3.499999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.884347299180276991e+01 7.654419602647102015e-05 3.762697078919929883e-01 1.366950184908786170e-01 3.762697078919929883e-01 1.366950184908786170e-01 8.345016440437895699e-01 5.880735318024821190e-02 -1.884351784883967085e+01
4.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.923858358987680361e+01 5.753090619856464642e-05 5.023390985335685066e-01 1.424130682701782169e-01 5.023390985335685066e-01 1.424130682701782169e-01 7.504849975804751550e-01 7.132920665989456177e-02 -1.923858788840417944e+01
5.000000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.034188583441024178e+01 7.211647854635782620e-05 7.052151303710426644e-01 1.097363903988805012e-01 7.052151303710426644e-01 1.097363903988805012e-01 6.132994847331564303e-01 6.347571793490081049e-02 -2.034189058840843956e+01
5.999999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.171661862736847937e+01 7.668120555784255048e-05 8.101539733106869479e-01 7.605438324999089228e-02 8.101539733106869479e-01 7.605438324999089228e-02 5.510800439890559677e-01 4.796789171797367912e-02 -2.171662360271273329e+01
6.999999999999999556e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.322948038309040442e+01 4.822077930501893607e-05 8.656138049079689090e-01 5.542407142433175560e-02 8.656138049079689090e-01 5.542407142433175560e-02 5.256380679723385851e-01 3.925653533018154395e-02 -2.322948321372521363e+01
8.000000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.481985727494039651e+01 9.055791328050881591e-05 8.989662757421061912e-01 4.238940267029152331e-02 8.989662757421061912e-01 4.238940267029152331e-02 5.141340935441897075e-01 3.473819004776158154e-02 -2.481986251840852731e+01
