# hx, hy, hz, energy, energy_var, mag, mag_var, abs_mag, abs_mag_var, wilson, wilson_var, exact_energy
6.999999999999999556e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.322947410498563769e+01 1.359006913475446928e-04 8.656173472221955212e-01 5.542243684608634535e-02 8.656173472221955212e-01 5.542243684608634535e-02 5.256394716513554943e-01 3.925968605662387423e-02 -2.322948321372524205e+01
5.999999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.171660986333774801e+01 2.011864314361935281e-04 8.101585446774428600e-01 7.605136207146689920e-02 8.101585446774428600e-01 7.605136207146689920e-02 5.510485056795420000e-01 4.797448258590203407e-02 -2.171662360271274750e+01
5.000000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.034186051284530095e+01 4.079534288092313572e-04 7.052279127356553268e-01 1.097323771417783589e-01 7.052279127356553268e-01 1.097323771417783589e-01 6.132265924031177207e-01 6.348354405732684058e-02 -2.034189058840834008e+01
4.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.923853678325077610e+01 6.449936226069379660e-04 5.023446628438379413e-01 1.424119974634221464e-01 5.023446628438379413e-01 1.424119974634221464e-01 7.504115071720554031e-01 7.135685229357745241e-02 -1.923858788840411549e+01
3.499999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.884346979650033305e+01 5.794435214099894187e-04 3.762881892178558951e-01 1.366994795223465675e-01 3.762881892178558951e-01 1.366994795223465675e-01 8.344682974972160716e-01 5.882096037084379864e-02 -1.884351784883968506e+01
3.200000000000000067e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.865916475300494781e+01 1.502410026025440351e-04 3.077498260777121741e-01 1.255134653686383051e-01 3.077498260777121741e-01 1.255134653686383051e-01 8.776440904500837359e-01 4.745871573069611327e-02 -1.865922083958277966e+01
2.999999999999999889e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.855521719391668611e+01 5.129608333932542770e-04 2.673233514751088835e-01 1.165582515961565147e-01 2.673233514751088835e-01 1.165582515961565147e-01 9.017393284648714813e-01 3.973709824263618740e-02 -1.855577054356142241e+01
2.000000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.819108193503932114e+01 8.780737840864927214e-04 1.117513079306805684e-01 6.442023350933065440e-02 1.117513079306805684e-01 6.442023350933065440e-02 9.764506743438171599e-01 1.028727967552838310e-02 -1.821049563823065043e+01
1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.804627185398691225e+01 4.270142083964004252e-05 5.241462834955272487e-02 5.918844292934454659e-02 5.241462834955272487e-02 5.918844292934454659e-02 9.946509134559502474e-01 2.370900068562047970e-03 -1.804781420138835202e+01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.799999999813607587e+01 7.462583920230882424e-09 7.243762846700365072e-06 5.555633067621122689e-02 7.243762846700365072e-06 5.555633067621122689e-02 9.999999997927256912e-01 9.235251750162140863e-11 -1.800000000000001066e+01
