# hx, hy, hz, energy, energy_var, mag, mag_var, abs_mag, abs_mag_var, wilson, wilson_var, exact_energy
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.799999999804839845e+01 7.915067395394025131e-09 -1.940728341920383571e-10 5.555556443116987930e-02 1.756444642347909646e-01 2.470458661484309024e-02 9.999999997310299316e-01 1.551080968913442702e-10 -1.800000000000004263e+01
1.000000000000000056e-01 0.000000000000000000e+00 1.000000000000000056e-01 -1.809327734607314753e+01 9.560291757793753804e-05 5.108124174065211548e-02 5.729589423111157431e-02 1.825302701778702130e-01 2.658788795767219257e-02 9.891343602676430091e-01 4.813491452956970146e-03 -1.809415355728435770e+01
2.000000000000000111e-01 0.000000000000000000e+00 2.000000000000000111e-01 -1.840128563357254876e+01 2.540159267391972880e-03 1.135218178481609275e-01 6.681692603028158151e-02 2.100851381526063488e-01 3.556836388523287179e-02 9.475273535166611749e-01 2.285854257413082180e-02 -1.840521904225323979e+01
2.999999999999999889e-01 0.000000000000000000e+00 2.999999999999999889e-01 -1.901851372280086849e+01 3.236538278299967014e-02 2.197260026812851430e-01 9.572852229542973268e-02 2.860026866321234706e-01 6.221050178893323263e-02 8.409086365104549987e-01 6.331939725269769559e-02 -1.902345684251428182e+01
4.000000000000000222e-01 0.000000000000000000e+00 4.000000000000000222e-01 -2.009195951946902170e+01 7.801142616524882334e-02 3.673180046830120671e-01 1.244314090118087135e-01 4.052095603133237800e-01 9.515913780680065881e-02 6.541177433566054411e-01 1.035012551455594121e-01 -2.010101363895818238e+01
4.199999999999999845e-01 0.000000000000000000e+00 4.199999999999999845e-01 -2.036809280527373645e+01 8.585295558166884666e-02 3.892558821879709141e-01 1.262877222852359094e-01 4.234408141024657013e-01 9.850574105541239078e-02 6.170187692346815744e-01 1.062933768684087010e-01 -2.037806849608312376e+01
4.500000000000000111e-01 0.000000000000000000e+00 4.500000000000000111e-01 -2.081652946208494370e+01 1.018814065964448734e-01 4.302079049150579482e-01 1.284047087851576952e-01 4.587527555908711419e-01 1.030294594743434711e-01 5.628501343467039453e-01 1.090083212110795757e-01 -2.082788195170596168e+01
5.000000000000000000e-01 0.000000000000000000e+00 5.000000000000000000e-01 -2.164265619059553813e+01 1.242594365784937399e-01 4.787809713168965642e-01 1.276812537332611963e-01 5.010683128847498446e-01 1.058430180512424101e-01 4.890509782238215974e-01 1.093133473416023904e-01 -2.165555722458920584e+01
5.999999999999999778e-01 0.000000000000000000e+00 5.999999999999999778e-01 -2.351058509811641883e+01 1.400128485359645736e-01 5.453225633326644894e-01 1.181352952225093733e-01 5.595405502302625012e-01 1.024263659502320650e-01 3.878502881771869193e-01 1.050282025203021496e-01 -2.352369828927722395e+01
6.999999999999999556e-01 0.000000000000000000e+00 6.999999999999999556e-01 -2.556534871732080205e+01 1.249601780516344796e-01 5.878894659896575225e-01 1.065899934914874281e-01 5.977256986545638195e-01 9.492800688100536122e-02 3.221852165532755885e-01 1.041050399655942538e-01 -2.557636995862180385e+01
8.000000000000000444e-01 0.000000000000000000e+00 8.000000000000000444e-01 -2.773769618354460320e+01 1.048491457698873530e-01 6.136564560485412434e-01 9.676854047935293246e-02 6.207511274734488493e-01 8.801082426985018525e-02 2.770214871557182823e-01 1.016252693631112120e-01 -2.774581118476419306e+01
