# hx, hy, hz, energy, energy_var, mag, mag_var, abs_mag, abs_mag_var, wilson, wilson_var, exact_energy
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.799999999804839845e+01 7.915032111065728133e-09 7.362108402128178934e-06 5.555799314630293501e-02 7.362108402128178934e-06 5.555799314630293501e-02 9.999999997310300426e-01 1.551080963973397817e-10 -1.800000000000004263e+01
1.000000000000000056e-01 0.000000000000000000e+00 1.000000000000000056e-01 -1.809262499516341549e+01 2.135996676481157744e-04 5.429611248252882993e-02 6.216089449175679627e-02 5.429611248252882993e-02 6.216089449175679627e-02 9.892924342650206704e-01 4.741696680510101500e-03 -1.809415355728435770e+01
2.000000000000000111e-01 0.000000000000000000e+00 2.000000000000000111e-01 -1.839686916343681489e+01 2.873841067517446737e-03 1.264141313866701255e-01 7.700472960345600137e-02 1.264141313866701255e-01 7.700472960345600137e-02 9.487850587603858799e-01 2.231311001365750973e-02 -1.840521904225323979e+01
2.999999999999999889e-01 0.000000000000000000e+00 2.999999999999999889e-01 -1.901950692303001844e+01 2.346734707441139323e-02 2.339650364646839731e-01 1.028360680222159401e-01 2.339650364646839731e-01 1.028360680222159401e-01 8.413271725895410391e-01 6.326933637362254503e-02 -1.902345684251428182e+01
4.000000000000000222e-01 0.000000000000000000e+00 4.000000000000000222e-01 -2.009175845573048136e+01 7.605877988202799922e-02 3.708485288066165619e-01 1.258124952414566011e-01 3.708485288066165619e-01 1.258124952414566011e-01 6.556732743695430354e-01 1.039016937104900451e-01 -2.010101363895818238e+01
4.199999999999999845e-01 0.000000000000000000e+00 4.199999999999999845e-01 -2.036741295502464766e+01 8.854941764127279014e-02 3.982040416282985329e-01 1.281766842408135765e-01 3.982040416282985329e-01 1.281766842408135765e-01 6.174729631777564620e-01 1.074322298239878126e-01 -2.037806849608312376e+01
4.500000000000000111e-01 0.000000000000000000e+00 4.500000000000000111e-01 -2.081531040316115622e+01 1.064754251702602489e-01 4.348177810615553307e-01 1.296041415247055073e-01 4.348177810615553307e-01 1.296041415247055073e-01 5.644237681095606307e-01 1.099983008416264285e-01 -2.082788195170596168e+01
5.000000000000000000e-01 0.000000000000000000e+00 5.000000000000000000e-01 -2.164265125595817096e+01 1.217208178004637598e-01 4.846485718580467172e-01 1.284994626261966033e-01 4.846485718580467172e-01 1.284994626261966033e-01 4.900450142159179512e-01 1.093057505299666332e-01 -2.165555722458920584e+01
5.999999999999999778e-01 0.000000000000000000e+00 5.999999999999999778e-01 -2.351109139350086252e+01 1.371186973395306929e-01 5.519518851758266065e-01 1.191114839990362190e-01 5.519518851758266065e-01 1.191114839990362190e-01 3.887375132311134407e-01 1.055458505397023211e-01 -2.352369828927722395e+01
6.999999999999999556e-01 0.000000000000000000e+00 6.999999999999999556e-01 -2.556448536682913542e+01 1.448681953555292501e-01 5.912657634512874516e-01 1.075002861511395874e-01 5.912657634512874516e-01 1.075002861511395874e-01 3.240608758057531014e-01 1.033213799150102946e-01 -2.557636995862180385e+01
8.000000000000000444e-01 0.000000000000000000e+00 8.000000000000000444e-01 -2.773488771465920166e+01 1.476060386229886279e-01 6.168935284885215253e-01 9.697530362465604792e-02 6.168935284885215253e-01 9.697530362465604792e-02 2.789892395136831516e-01 1.016272730551788517e-01 -2.774581118476419306e+01
