# hx, hy, hz, energy, energy_var, mag, mag_var, abs_mag, abs_mag_var, wilson, wilson_var, exact_energy
8.000000000000000444e-01 0.000000000000000000e+00 8.000000000000000444e-01 -2.773620770186890283e+01 1.150733492867589969e-01 6.167668240872534735e-01 9.615194949855009054e-02 6.167668240872534735e-01 9.615194949855009054e-02 2.750275945179929682e-01 1.022373856020171029e-01 -2.774581118476429609e+01
6.999999999999999556e-01 0.000000000000000000e+00 6.999999999999999556e-01 -2.556486555208221745e+01 1.317826058786607524e-01 5.910602858109208491e-01 1.069766436847428559e-01 5.910602858109208491e-01 1.069766436847428559e-01 3.208170719062325427e-01 1.036345948947217932e-01 -2.557636995862183227e+01
5.999999999999999778e-01 0.000000000000000000e+00 5.999999999999999778e-01 -2.351231631675278066e+01 1.257358165591218324e-01 5.516340120310976314e-01 1.189883133764929879e-01 5.516340120310976314e-01 1.189883133764929879e-01 3.878609618352839017e-01 1.054577721168612897e-01 -2.352369828927718487e+01
5.000000000000000000e-01 0.000000000000000000e+00 5.000000000000000000e-01 -2.164387629911218625e+01 1.141171398683232113e-01 4.859636043571498032e-01 1.288463767844272578e-01 4.859636043571498032e-01 1.288463767844272578e-01 4.884841954543230336e-01 1.087883436199529597e-01 -2.165555722458922716e+01
4.500000000000000111e-01 0.000000000000000000e+00 4.500000000000000111e-01 -2.081689669307847268e+01 1.030044733039635896e-01 4.350927363018419203e-01 1.304213655631927538e-01 4.350927363018419203e-01 1.304213655631927538e-01 5.626718707099974681e-01 1.092774620787692053e-01 -2.082788195170595102e+01
4.199999999999999845e-01 0.000000000000000000e+00 4.199999999999999845e-01 -2.036871714804883027e+01 8.365856841117284837e-02 3.995264446021198901e-01 1.291702091437015865e-01 3.995264446021198901e-01 1.291702091437015865e-01 6.160042725108882955e-01 1.070121438499374855e-01 -2.037806849608312376e+01
4.000000000000000222e-01 0.000000000000000000e+00 4.000000000000000222e-01 -2.009237898073074291e+01 7.514778460797015558e-02 3.724062196742291553e-01 1.268428399687608898e-01 3.724062196742291553e-01 1.268428399687608898e-01 6.541343982413326819e-01 1.036995052188995348e-01 -2.010101363895824989e+01
2.999999999999999889e-01 0.000000000000000000e+00 2.999999999999999889e-01 -1.901927142440985818e+01 3.281007970010219044e-02 2.248928530846393270e-01 9.884580982316609754e-02 2.248928530846393270e-01 9.884580982316609754e-02 8.405454499615011565e-01 6.346844718705964283e-02 -1.902345684251423918e+01
2.000000000000000111e-01 0.000000000000000000e+00 2.000000000000000111e-01 -1.840146347546708938e+01 7.945122839322518379e-03 1.147183823027985439e-01 6.792844872891219687e-02 1.147183823027985439e-01 6.792844872891219687e-02 9.474215892529037619e-01 2.291964047539722313e-02 -1.840521904225321492e+01
1.000000000000000056e-01 0.000000000000000000e+00 1.000000000000000056e-01 -1.809355224320408695e+01 2.473701091163356619e-04 5.189365674806513395e-02 5.851057752274558404e-02 5.189365674806513395e-02 5.851057752274558404e-02 9.890670696578738319e-01 4.843424390755655951e-03 -1.809415355728429020e+01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.799999999958457408e+01 2.849462011793359271e-09 -2.459586156536344328e-07 5.555558341760664931e-02 -2.459586156536344328e-07 5.555558341760664931e-02 9.999999999631729031e-01 2.169436040377189017e-11 -1.800000000000001066e+01
