# hx, hy, hz, energy, energy_var, mag, mag_var, abs_mag, abs_mag_var, wilson, wilson_var, exact_energy
0.000000000000000000e+00 8.000000000000000444e-01 0.000000000000000000e+00 -1.937242314904702312e+01 1.500937044955234612e+00 1.810462684878736961e-01 4.970469854235250173e-02 1.810462684878736961e-01 4.970469854235250173e-02 8.634392069600077546e-01 1.070946572185520612e-01 -1.955178293589629490e+01
0.000000000000000000e+00 6.999999999999999556e-01 0.000000000000000000e+00 -1.906122318692976947e+01 9.264892125776611476e-01 1.618042995248395177e-01 5.084744257380378885e-02 1.618042995248395177e-01 5.084744257380378885e-02 8.916714773685947559e-01 8.740137809787743017e-02 -1.915577034382070920e+01
0.000000000000000000e+00 6.500000000000000222e-01 0.000000000000000000e+00 -1.891904412443776806e+01 7.084066819060408360e-01 1.516552515747977281e-01 5.137560783686921650e-02 1.516552515747977281e-01 5.137560783686921650e-02 9.051282482458676837e-01 7.755407697703789460e-02 -1.898744714195671079e+01
0.000000000000000000e+00 6.300000000000000044e-01 0.000000000000000000e+00 -1.886497298916462739e+01 6.316948578567656014e-01 1.475650566992300072e-01 5.159597720741654348e-02 1.475650566992300072e-01 5.159597720741654348e-02 9.102912286773277017e-01 7.370932805520122311e-02 -1.892471516455007574e+01
0.000000000000000000e+00 5.999999999999999778e-01 0.000000000000000000e+00 -1.878787103485452548e+01 5.140520679654627667e-01 1.417178606522230822e-01 5.202013503890027396e-02 1.417178606522230822e-01 5.202013503890027396e-02 9.176075597926049987e-01 6.815866074805390640e-02 -1.883519989421173335e+01
0.000000000000000000e+00 5.000000000000000000e-01 0.000000000000000000e+00 -1.855100217581896871e+01 2.620080657452537598e-01 1.198709914454110376e-01 5.293547452626201633e-02 1.198709914454110376e-01 5.293547452626201633e-02 9.414006204286591295e-01 4.952733064032856930e-02 -1.857362056414646645e+01
0.000000000000000000e+00 4.000000000000000222e-01 0.000000000000000000e+00 -1.835503168466697232e+01 1.137116022813510624e-01 9.723806429362508164e-02 5.378977381087481080e-02 9.723806429362508164e-02 5.378977381087481080e-02 9.616431102428724120e-01 3.302284364828163288e-02 -1.836428258670443725e+01
0.000000000000000000e+00 2.999999999999999889e-01 0.000000000000000000e+00 -1.820091860468293277e+01 3.644905142015579524e-02 7.382754643807494521e-02 5.454496817241838436e-02 7.382754643807494521e-02 5.454496817241838436e-02 9.780267256059816949e-01 1.917882719712843756e-02 -1.820379806900521658e+01
0.000000000000000000e+00 2.000000000000000111e-01 0.000000000000000000e+00 -1.808970633083054125e+01 7.107203197118674987e-03 4.967315025654130134e-02 5.512475205573139081e-02 4.967315025654130134e-02 5.512475205573139081e-02 9.900972907438471138e-01 8.732057219501350789e-03 -1.809024916874348321e+01
0.000000000000000000e+00 1.000000000000000056e-01 0.000000000000000000e+00 -1.802248330998507697e+01 4.270124030147970959e-04 2.496288070194722583e-02 5.545574815615113978e-02 2.496288070194722583e-02 5.545574815615113978e-02 9.975055649302650984e-01 2.212844569145528718e-03 -1.802251531738382084e+01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.799999999830170339e+01 1.376056579814904656e-08 6.202803605989246798e-06 5.555560082259692473e-02 6.202803605989246798e-06 5.555560082259692473e-02 9.999999998106838817e-01 1.710847894364271707e-10 -1.800000000000001066e+01
