# hx, hy, hz, energy, energy_var, mag, mag_var, abs_mag, abs_mag_var, wilson, wilson_var, exact_energy
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.799999996863883922e+01 1.261112862539265697e-07 8.631390463476051877e-10 5.555554895830599332e-02 1.756920132957726366e-01 2.468786542238402687e-02 9.999999956639002985e-01 2.500163679949840629e-09 -1.800000000000004263e+01
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 -1.804555466776037065e+01 2.995473007631476586e-06 5.118258162171515635e-02 5.732866694418257275e-02 1.824307071850802542e-01 2.666736068159760581e-02 9.948189639402915674e-01 2.295853147117252885e-03 -1.804781420138848347e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000111e-01 -1.818912835577965836e+01 2.508687749274634638e-04 1.102858006906330957e-01 6.356344439920258438e-02 2.052790646801308516e-01 3.358690783722725892e-02 9.768217160307569591e-01 1.014850160823168798e-02 -1.821049563823061135e+01
0.000000000000000000e+00 0.000000000000000000e+00 3.000000000000000444e-01 -1.848565436187254818e+01 5.136004506434171946e-03 2.132692913601848816e-01 9.028255872649368352e-02 2.763196267437444953e-01 5.941381323996680619e-02 9.262138755492292930e-01 3.077941057327059082e-02 -1.855577054356150057e+01
0.000000000000000000e+00 0.000000000000000000e+00 3.099999999999999978e-01 -1.853310886616826636e+01 6.547000337392283251e-03 2.318209212505594752e-01 9.624807305374341593e-02 2.915813046547233722e-01 6.496935535905087877e-02 9.159626045336748401e-01 3.458758051121803290e-02 -1.860569268713481961e+01
0.000000000000000000e+00 0.000000000000000000e+00 3.300000000000000155e-01 -1.864309182666604414e+01 9.822521203732588815e-03 2.756998618360487763e-01 1.094966266226783114e-01 3.284777343107501135e-01 7.760941850117092367e-02 8.908466241797028395e-01 4.323242419969542533e-02 -1.871656909868396568e+01
0.000000000000000000e+00 0.000000000000000000e+00 3.499999999999999778e-01 -1.877280134550704460e+01 1.356640088978145094e-02 3.267617635682595889e-01 1.224062113601251389e-01 3.723052693393209545e-01 9.056824791253986762e-02 8.602127129892523927e-01 5.236373746933012385e-02 -1.884351784883974545e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000222e-01 -1.920622751420929575e+01 1.356996105279388576e-02 4.828424228541954855e-01 1.414498529309463071e-01 5.103835713800145557e-01 1.140952683040373783e-01 7.614715074366859016e-01 7.042521612242902407e-02 -1.923858788840406220e+01
0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e-01 -2.034123174264875900e+01 6.799769229044791809e-04 7.049255164307181021e-01 1.098147486181203225e-01 7.124898823077587817e-01 9.909289994231058885e-02 6.134933863234749429e-01 6.350873032329695800e-02 -2.034189058840842890e+01
0.000000000000000000e+00 0.000000000000000000e+00 6.000000000000000888e-01 -2.171662091235749514e+01 5.102009436462968253e-06 8.101384917187919310e-01 7.605908873970258777e-02 8.123740286912246589e-01 7.243190201209107060e-02 5.511444562208759335e-01 4.798121358568233075e-02 -2.171662360271269065e+01
0.000000000000000000e+00 0.000000000000000000e+00 7.000000000000000666e-01 -2.322948316914876443e+01 1.291875968095059156e-07 8.656129289851248743e-01 5.542391747030115529e-02 8.664059577821734415e-01 5.405037661606237887e-02 5.256850129730397114e-01 3.926756764862493476e-02 -2.322948321372509994e+01
0.000000000000000000e+00 0.000000000000000000e+00 8.000000000000000444e-01 -2.481986249632098307e+01 8.472667159021260986e-08 8.989642732378647638e-01 4.239042111346300046e-02 8.992933005055588902e-01 4.179874533736360753e-02 5.142138398778970387e-01 3.475628211245385124e-02 -2.481986251840853441e+01
