# hx, hy, hz, energy, energy_var, mag, mag_var, abs_mag, abs_mag_var, wilson, wilson_var, exact_energy
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.799999999846905752e+01 6.208025731223379777e-09 -1.711247636648760562e-10 5.555556444466230870e-02 1.756444684388116517e-01 2.470458515150957685e-02 9.999999997889996717e-01 1.216727847941990179e-10 -1.800000000000004263e+01
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 -1.804529659572653699e+01 2.231032215522549000e-06 5.073341444404119716e-02 5.664179608466379107e-02 1.780866101155066938e-01 2.750083472338212334e-02 9.948805447923779743e-01 2.268143732934832860e-03 -1.804781420138848347e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000111e-01 -1.819022647510824697e+01 1.698824389639377874e-04 1.111247106553286956e-01 6.403817540956235899e-02 2.008751429530606369e-01 3.603605367138030396e-02 9.766076805715271369e-01 1.023117067605765033e-02 -1.821049563823061135e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.999999999999999889e-01 -1.855451850191375485e+01 1.488343060661010981e-04 2.667307434550966194e-01 1.163074443357621363e-01 3.329953845574691318e-01 7.656680770329388208e-02 9.020184111086564371e-01 3.964195550774840537e-02 -1.855577054356151478e+01
0.000000000000000000e+00 0.000000000000000000e+00 3.200000000000000067e-01 -1.865921970554597920e+01 1.816645107914540352e-07 3.077947147794935501e-01 1.255334569046392401e-01 3.655544803251020713e-01 8.664096526507351903e-02 8.776282514724960127e-01 4.746321177706497307e-02 -1.865922083958269440e+01
0.000000000000000000e+00 0.000000000000000000e+00 3.499999999999999778e-01 -1.884351784748638181e+01 8.297612098387761395e-10 3.763078082011745429e-01 1.367022750228436556e-01 4.214423051789242258e-01 1.006962249414899702e-01 8.344777012890702839e-01 5.881424595288270440e-02 -1.884351784883963887e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000222e-01 -1.923858788779052986e+01 8.059472336184039403e-10 5.023390509671949999e-01 1.424109643169947648e-01 5.292421915234627461e-01 1.146581891550591537e-01 7.504856343421318909e-01 7.133059567878756446e-02 -1.923858788840412615e+01
0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e-01 -2.034189058783818638e+01 1.341331373520549407e-09 7.052156401038364164e-01 1.097351173480699132e-01 7.127696774065552798e-01 9.902360336488848225e-02 6.133194699570936326e-01 6.347763914826622111e-02 -2.034189058840840403e+01
0.000000000000000000e+00 0.000000000000000000e+00 5.999999999999999778e-01 -2.171662360217760579e+01 1.813381738248850676e-09 8.101523911890287089e-01 7.605362474250912386e-02 8.123873922340736353e-01 7.242724663093144666e-02 5.511353180053305545e-01 4.797860947762717931e-02 -2.171662360271273329e+01
0.000000000000000000e+00 0.000000000000000000e+00 6.999999999999999556e-01 -2.322948321329434762e+01 1.785361671072628179e-09 8.656127502637385174e-01 5.542396251973431831e-02 8.664057765275677836e-01 5.405042633854966611e-02 5.256849734932838025e-01 3.926756576465679355e-02 -2.322948321372531311e+01
