# hx, hy, hz, energy, energy_var, mag, mag_var, abs_mag, abs_mag_var, wilson, wilson_var, exact_energy
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.799999999999999289e+01 2.735536169090207205e-14 -3.639449852599341284e-15 5.555555540864182129e-02 1.757812494611519505e-01 2.465650774651806723e-02 9.999999999999997780e-01 3.388362906414857897e-16 -1.800000000000004263e+01
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 -1.804554231900571892e+01 2.834408462968695585e-06 5.116135454620404643e-02 5.729774104762649922e-02 1.824734689987972391e-01 2.661865835817384812e-02 9.948219229185455426e-01 2.294531801477878250e-03 -1.804781420138848347e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000111e-01 -1.819698884387648974e+01 2.222470283870045136e-04 1.178925977113786522e-01 6.964154777996714452e-02 2.151643820845874355e-01 3.724450105726175020e-02 9.746239323136567378e-01 1.112688657939012518e-02 -1.821049563823061135e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.999999999999999889e-01 -1.855346558497596732e+01 2.769246076718273066e-04 2.658927526359016191e-01 1.159301575297763398e-01 3.320502535425408630e-01 7.637174255640735709e-02 9.024005806388476492e-01 3.950970809830800512e-02 -1.855577054356151478e+01
0.000000000000000000e+00 0.000000000000000000e+00 3.200000000000000067e-01 -1.865855282351245847e+01 1.070809993225822564e-04 3.072805451500758012e-01 1.253407943827157811e-01 3.650012899528021215e-01 8.653618614323396740e-02 8.778780665479302137e-01 4.738702017901393060e-02 -1.865922083958269440e+01
0.000000000000000000e+00 0.000000000000000000e+00 3.400000000000000244e-01 -1.877781165165136912e+01 2.693754327320528496e-05 3.523854175444685044e-01 1.333880864732489013e-01 4.016441681299012245e-01 9.624553117847789441e-02 8.498004920063172429e-01 5.515561825758707321e-02 -1.877794027948535316e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000222e-01 -1.923858782992575556e+01 3.526652564287563160e-08 5.023357884146791852e-01 1.424110420888947959e-01 5.292392676927986095e-01 1.146580839430820786e-01 7.504880400695881359e-01 7.133036661893574215e-02 -1.923858788840412615e+01
0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e-01 -2.034189058707331910e+01 3.081218518926696200e-09 7.052156172365229292e-01 1.097351235125537672e-01 7.127696562043986939e-01 9.902360750110694720e-02 6.133194868252709320e-01 6.347764203763858748e-02 -2.034189058840840403e+01
0.000000000000000000e+00 0.000000000000000000e+00 5.999999999999999778e-01 -2.171662360105784018e+01 7.265185883189752436e-09 8.101523803186725381e-01 7.605362907485146984e-02 8.123873822777039067e-01 7.242724952684176376e-02 5.511353280712093516e-01 4.797861242649970048e-02 -2.171662360271273329e+01
0.000000000000000000e+00 0.000000000000000000e+00 6.999999999999999556e-01 -2.322948321183028852e+01 1.092383037354430194e-08 8.656127438205593050e-01 5.542396544333286906e-02 8.664057706080031673e-01 5.405042836504204973e-02 5.256849813261430526e-01 3.926756844773170163e-02 -2.322948321372531311e+01
0.000000000000000000e+00 0.000000000000000000e+00 8.000000000000000444e-01 -2.481986251595293780e+01 2.023931350212427173e-08 8.989640686143363091e-01 4.239050001896498693e-02 8.992930975481316924e-01 4.179882138089179022e-02 5.142138685117502162e-01 3.475630034385281120e-02 -2.481986251840855573e+01
