# hx, hy, hz, energy, energy_var, mag, mag_var, abs_mag, abs_mag_var, wilson, wilson_var, exact_energy
0.000000000000000000e+00 0.000000000000000000e+00 8.000000000000000444e-01 -2.481986251350724615e+01 2.461430153705720149e-08 8.989640860863910010e-01 4.239049322752247440e-02 8.992931149390034351e-01 4.179881472396659858e-02 5.142138597814024381e-01 3.475629754965570140e-02 -2.481986251840856994e+01
0.000000000000000000e+00 0.000000000000000000e+00 6.999999999999999556e-01 -2.322948321203682553e+01 7.699426434202375063e-09 8.656127509661099007e-01 5.542396249674842734e-02 8.664057774037901005e-01 5.405042601319901691e-02 5.256849756442693034e-01 3.926756642463930663e-02 -2.322948321372517455e+01
0.000000000000000000e+00 0.000000000000000000e+00 5.999999999999999778e-01 -2.171662360207120912e+01 2.656346543402010770e-09 8.101523885116221901e-01 7.605362554581544809e-02 8.123873896753034396e-01 7.242724725344862335e-02 5.511353194240267150e-01 4.797860992366033417e-02 -2.171662360271270131e+01
0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e-01 -2.034189058824552276e+01 6.359374260152648205e-10 7.052156327114215140e-01 1.097351188170051506e-01 7.127696702851592514e-01 9.902360455916084381e-02 6.133194737606083580e-01 6.347763984545448657e-02 -2.034189058840837205e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000222e-01 -1.923858788836056988e+01 1.801982567968061108e-10 5.023390754052722285e-01 1.424109623351952902e-01 5.292422127777144381e-01 1.146581892283672355e-01 7.504856152720090767e-01 7.133059739076974548e-02 -1.923858788840413681e+01
0.000000000000000000e+00 0.000000000000000000e+00 3.400000000000000244e-01 -1.877794027945684263e+01 1.309366231410088954e-10 3.524768438353929056e-01 1.334152586121643835e-01 4.017392574312653730e-01 9.626075309089973664e-02 8.497542617476059323e-01 5.516737599255820690e-02 -1.877794027948535316e+01
0.000000000000000000e+00 0.000000000000000000e+00 3.200000000000000067e-01 -1.865922083955273081e+01 1.427173950977728272e-10 3.077955878858040228e-01 1.255337814851928135e-01 3.655554207662475297e-01 8.664113975557213854e-02 8.776278263404436730e-01 4.746334112159394936e-02 -1.865922083958272992e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.999999999999999889e-01 -1.855577054353297939e+01 1.393963207028885312e-10 2.677324713433882897e-01 1.167604365344637463e-01 3.341413780547387580e-01 7.679065221778202943e-02 9.015614404216616418e-01 3.980002232994078737e-02 -1.855577054356157518e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000111e-01 -1.821049563820213280e+01 1.529244602642603625e-10 1.312724453670546243e-01 8.032999027559342697e-02 2.401380498538664976e-01 3.989616220062168483e-02 9.707189065137094008e-01 1.285949914208920145e-02 -1.821049563823064332e+01
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 -1.804781420136465186e+01 1.320696084657341654e-10 5.509983279740000850e-02 6.327398418701557503e-02 2.059334578917074166e-01 2.390138668208136030e-02 9.942831477072842095e-01 2.536060724029914719e-03 -1.804781420138840886e+01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.799999999997661959e+01 1.329078933331337584e-10 1.327386117688789113e-12 5.555555555383515087e-02 1.953124999973755993e-01 1.740858289861028918e-02 9.999999999976636467e-01 1.235184626675101161e-12 -1.800000000000001066e+01
