# hx, hy, hz, energy, energy_var, mag, mag_var, abs_mag, abs_mag_var, wilson, wilson_var, exact_energy
0.000000000000000000e+00 0.000000000000000000e+00 6.999999999999999556e-01 -2.322948321176438213e+01 1.152575616661360923e-08 8.656127753491580368e-01 5.542395317494963614e-02 8.664058012151453214e-01 5.405041764336318555e-02 5.256849663497189518e-01 3.926756263116676360e-02 -2.322948321372506797e+01
0.000000000000000000e+00 0.000000000000000000e+00 5.999999999999999778e-01 -2.171662360168820527e+01 6.166646494682841375e-09 8.101523973755286878e-01 7.605362245014025968e-02 8.123873981714423431e-01 7.242724471569111921e-02 5.511353152724058901e-01 4.797860846281015723e-02 -2.171662360271273684e+01
0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e-01 -2.034189058783223558e+01 3.517196396982980625e-09 7.052156365690654960e-01 1.097351178804262667e-01 7.127696738993434256e-01 9.902360391136189044e-02 6.133194716764908128e-01 6.347763939280202938e-02 -2.034189058840839337e+01
0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000222e-01 -1.923858788808864517e+01 1.875985041928059659e-09 5.023390493974745352e-01 1.424109635516591643e-01 5.292421897667256570e-01 1.146581886721385751e-01 7.504856347980480846e-01 7.133059560470367266e-02 -1.923858788840414036e+01
0.000000000000000000e+00 0.000000000000000000e+00 3.499999999999999778e-01 -1.884351784865686597e+01 1.124766682118650807e-09 3.763078101086227978e-01 1.367022738884326460e-01 4.214423062736876169e-01 1.006962243198952500e-01 8.344776991170245184e-01 5.881424645770180065e-02 -1.884351784883972769e+01
0.000000000000000000e+00 0.000000000000000000e+00 3.200000000000000067e-01 -1.865922083945816468e+01 7.215612378999242689e-10 3.077955835351574021e-01 1.255337804915659383e-01 3.655554171291230947e-01 8.664113874286671901e-02 8.776278291467378700e-01 4.746334021731422881e-02 -1.865922083958258426e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.999999999999999889e-01 -1.855577054344653831e+01 6.676157399949781482e-10 2.677324692028605901e-01 1.167604359358758170e-01 3.341413762961015776e-01 7.679065164828348389e-02 9.015614417353912113e-01 3.980002185092552935e-02 -1.855577054356143307e+01
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000111e-01 -1.821049563801075166e+01 1.323551032063381237e-09 1.312724455170379556e-01 8.032999026763554262e-02 2.401380498876378722e-01 3.989616221582154010e-02 9.707189064416947843e-01 1.285949917074341586e-02 -1.821049563823066109e+01
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 -1.804781420129008040e+01 6.015718459900870831e-10 5.509983281911275815e-02 6.327398418195277763e-02 2.059334578901914625e-01 2.390138668003567723e-02 9.942831476949800518e-01 2.536060731077858978e-03 -1.804781420138845149e+01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.799999999991526067e+01 5.121582526305417552e-10 3.630672151810898640e-11 5.555555555187356720e-02 1.953124999958651409e-01 1.740858289723871966e-02 9.999999999910265114e-01 5.599818866121606357e-12 -1.800000000000001066e+01
