# hx, hy, hz, mag, mag_var, energy, energy_var
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.812957763671875000e-02 1.251169426633482080e-02 -3.199993868391080198e+01 4.846876877175806942e-05
3.157894736842104672e-02 0.000000000000000000e+00 0.000000000000000000e+00 -4.913330078125000000e-03 1.304708988524372858e-02 -3.200785298312947447e+01 6.378547316742821244e-05
6.315789473684209343e-02 0.000000000000000000e+00 0.000000000000000000e+00 -7.133483886718750000e-03 1.390465904301184039e-02 -3.203182487408321322e+01 7.576573442672852930e-05
9.473684210526314708e-02 0.000000000000000000e+00 0.000000000000000000e+00 -7.522583007812500000e-03 1.251687767353960867e-02 -3.207255371466635552e+01 4.675886901395331506e-05
1.263157894736841869e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.776550292968750000e-03 1.301542478722248972e-02 -3.213014789202202337e+01 1.016204934957939862e-04
1.578947368421052544e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.002502441406250000e-02 1.215876929460286797e-02 -3.220615809991016221e+01 1.065035759099611115e-04
1.894736842105262942e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.354980468750000000e-02 1.225680455898377208e-02 -3.230160183317583034e+01 1.705251153029715006e-04
2.210526315789473617e-01 0.000000000000000000e+00 0.000000000000000000e+00 -9.017944335937500000e-03 1.243755232503432513e-02 -3.241963117854494669e+01 3.438945736925926424e-04
2.526315789473683737e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.206970214843750000e-02 1.264919500126802064e-02 -3.256731888388002716e+01 2.619766341051758384e-04
2.842105263157894690e-01 0.000000000000000000e+00 0.000000000000000000e+00 -4.966735839843750000e-03 1.217385917388278879e-02 -3.274939950335438965e+01 3.503429477287233677e-04
3.157894736842105088e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.176452636718750000e-02 1.283129858406542936e-02 -3.298168398485209707e+01 4.286098214890489747e-04
3.473684210526316041e-01 0.000000000000000000e+00 0.000000000000000000e+00 9.002685546875000000e-03 1.205567688606193517e-02 -3.328890639989157307e+01 5.325045501760768390e-04
3.789473684210525883e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.886749267578125000e-02 1.199339712204008750e-02 -3.369958522132660050e+01 4.283586171272066442e-04
4.105263157894736281e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.348114013671875000e-02 1.185887366047307968e-02 -3.421607957114194676e+01 3.399050934019410674e-04
4.421052631578947234e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.419830322265625000e-02 1.229477911641624344e-02 -3.482218178326176883e+01 2.606558798983048698e-04
4.736842105263157632e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.491546630859375000e-02 1.301830757340010324e-02 -3.549522601892513052e+01 2.073479433629268160e-04
5.052631578947367474e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.639770507812500000e-03 1.268849363823293733e-02 -3.621773933693192049e+01 1.457409597340680939e-04
5.368421052631577872e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.257751464843750000e-03 1.129053672912483722e-02 -3.697810776123435517e+01 1.326796320370014521e-04
5.684210526315789380e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.096343994140625000e-02 1.167895772010117336e-02 -3.776906875325936142e+01 8.590749353713759300e-05
5.999999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.634216308593750000e-02 1.114970033809853552e-02 -3.858460904321736962e+01 7.722483410890837181e-05
