# hx, hy, hz, mag, mag_var, susceptibility, sus_var, energy, energy_var
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.023279666900634766e-03 4.972789906325318209e-04 9.999959063393890624e-01 2.012268941047345412e-06 -1.154537459832855006e+02 1.568535898770853296e-02
6.666666666666666574e-02 0.000000000000000000e+00 6.666666666666666574e-02 -2.989941835403442383e-02 2.783167649298786631e-03 9.991060247820905404e-01 1.664301877915979634e-04 -1.282842257778382873e+02 2.874778191429100903e-04
1.333333333333333315e-01 0.000000000000000000e+00 1.333333333333333315e-01 -6.979733705520629883e-02 2.764348706086361060e-03 9.951283317400017037e-01 3.858883567536662974e-04 -1.291442367191082212e+02 1.318143240057797778e-03
2.000000000000000111e-01 0.000000000000000000e+00 2.000000000000000111e-01 -1.067681908607482910e-01 2.615475198673014156e-03 9.886005534203226031e-01 5.584991104069478600e-04 -1.305871513246167410e+02 3.220015675938324960e-03
2.666666666666666630e-01 0.000000000000000000e+00 2.666666666666666630e-01 -1.567332744598388672e-01 2.516880666768779064e-03 9.754346806770965994e-01 7.889578966546666010e-04 -1.320792551011433602e+02 1.808725366393214851e-01
3.333333333333333148e-01 0.000000000000000000e+00 3.333333333333333148e-01 -2.081714868545532227e-01 1.156745002691533016e-03 9.566646320607644638e-01 4.816026542437411881e-04 -1.358597503775933433e+02 2.801883018767404969e-03
4.000000000000000222e-01 0.000000000000000000e+00 4.000000000000000222e-01 -2.600968480110168457e-01 7.513294033196444080e-04 9.323496296547337803e-01 3.908368192428750732e-04 -1.413117610844868182e+02 1.790221157339140241e-03
4.666666666666666741e-01 0.000000000000000000e+00 4.666666666666666741e-01 -3.236673474311828613e-01 7.690408160884292790e-04 8.952394482068618542e-01 4.978268020193081034e-04 -1.485506920200999161e+02 1.937060192967354766e-03
5.333333333333333259e-01 0.000000000000000000e+00 5.333333333333333259e-01 -3.967881798744201660e-01 8.282694647767307409e-04 8.425591403119445655e-01 6.572950667486383153e-04 -1.569261615270951893e+02 2.302221742134993778e-03
5.999999999999999778e-01 0.000000000000000000e+00 5.999999999999999778e-01 -4.800183773040771484e-01 8.906803280081441142e-04 7.695823574503604103e-01 8.550858514942649658e-04 -1.661410373888017489e+02 2.571352101664169977e-03
6.666666666666666297e-01 0.000000000000000000e+00 6.666666666666666297e-01 -5.382725000381469727e-01 8.289144309931096221e-04 7.102627157026829563e-01 8.923636861767183853e-04 -1.759228777205436813e+02 2.675448951262156261e-03
7.333333333333332815e-01 0.000000000000000000e+00 7.333333333333332815e-01 -5.804206132888793945e-01 7.095341453221971472e-04 6.631119116693612314e-01 8.236564875546210007e-04 -1.861070786775091506e+02 2.698926560846194068e-03
8.000000000000000444e-01 0.000000000000000000e+00 8.000000000000000444e-01 -6.037711501121520996e-01 6.376202337260041377e-04 6.354603982922480965e-01 7.699534037030575069e-04 -1.965564368422795383e+02 2.856694710806983051e-03
8.666666666666666963e-01 0.000000000000000000e+00 8.666666666666666963e-01 -6.237638592720031738e-01 5.770490246577235057e-04 6.109186478660955100e-01 7.198846532192942557e-04 -2.072935461237958634e+02 2.534344091374616213e-03
9.333333333333333481e-01 0.000000000000000000e+00 9.333333333333333481e-01 -6.361972689628601074e-01 5.376342461749693486e-04 5.952530349641969032e-01 6.840828782348429499e-04 -2.181779694695169951e+02 2.476236091468864316e-03
1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 -6.459776163101196289e-01 5.124222236385972320e-04 5.827129192262958668e-01 6.620265731407842021e-04 -2.292138642068210572e+02 2.356558628092931748e-03
