# hx, hy, hz, mag, mag_var, energy, energy_var
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.968599557876586914e-02 1.127808646339148815e-04 -1.279992067997287108e+02 5.423366597987890969e-04
4.761904761904761640e-02 0.000000000000000000e+00 4.761904761904761640e-02 7.246363162994384766e-02 1.206279314852930147e-04 -1.281445883383621549e+02 2.645989208135783306e-04
9.523809523809523281e-02 0.000000000000000000e+00 9.523809523809523281e-02 8.028894662857055664e-02 1.412911563800772763e-04 -1.285798268697969320e+02 8.522330473997235612e-04
1.428571428571428492e-01 0.000000000000000000e+00 1.428571428571428492e-01 9.434443712234497070e-02 1.707930483448348927e-04 -1.293106708547950348e+02 1.932283518654298029e-03
1.904761904761904656e-01 0.000000000000000000e+00 1.904761904761904656e-01 1.134395003318786621e-01 2.173961196206113122e-04 -1.303501510854865728e+02 2.685716085195825973e-03
2.380952380952380820e-01 0.000000000000000000e+00 2.380952380952380820e-01 1.394085884094238281e-01 2.890409107522025605e-04 -1.317110178862212138e+02 4.303546980085695001e-03
2.857142857142856984e-01 0.000000000000000000e+00 2.857142857142856984e-01 1.704804897308349609e-01 3.102410851272394588e-04 -1.334803674934621256e+02 2.933502338432487488e-03
3.333333333333333148e-01 0.000000000000000000e+00 3.333333333333333148e-01 2.040244936943054199e-01 3.665195005323382792e-04 -1.358133276589362026e+02 2.443231550942117584e-03
3.809523809523809312e-01 0.000000000000000000e+00 3.809523809523809312e-01 2.424096465110778809e-01 4.186291609857293650e-04 -1.395235465198317684e+02 1.671327046466487571e-03
4.285714285714285476e-01 0.000000000000000000e+00 4.285714285714285476e-01 2.804569602012634277e-01 4.595037728692688496e-04 -1.442411691656425603e+02 1.642887630521904212e-03
4.761904761904761640e-01 0.000000000000000000e+00 4.761904761904761640e-01 3.249164223670959473e-01 5.485992503176577526e-04 -1.496835302557140039e+02 1.861272976322003248e-03
5.238095238095237249e-01 0.000000000000000000e+00 5.238095238095237249e-01 3.713472485542297363e-01 6.179525822504482223e-04 -1.556688555584694882e+02 2.257770863600239153e-03
5.714285714285713969e-01 0.000000000000000000e+00 5.714285714285713969e-01 4.209324121475219727e-01 7.014348227098363663e-04 -1.620883951168871704e+02 2.420335967448484626e-03
6.190476190476190688e-01 0.000000000000000000e+00 6.190476190476190688e-01 4.681230783462524414e-01 7.105347254716168869e-04 -1.688520555481414647e+02 2.543658929946272622e-03
6.666666666666666297e-01 0.000000000000000000e+00 6.666666666666666297e-01 5.163836479187011719e-01 7.418526837316361802e-04 -1.759108159512572911e+02 2.640522621888141859e-03
7.142857142857141906e-01 0.000000000000000000e+00 7.142857142857141906e-01 5.463720560073852539e-01 7.011010113587253564e-04 -1.831436125751750978e+02 2.728191388255776523e-03
7.619047619047618625e-01 0.000000000000000000e+00 7.619047619047618625e-01 5.765879154205322266e-01 6.446677102920553423e-04 -1.905252949842328576e+02 2.927026231588802929e-03
8.095238095238095344e-01 0.000000000000000000e+00 8.095238095238095344e-01 5.954576134681701660e-01 6.326416666795736101e-04 -1.980619920266032352e+02 3.020066635096253869e-03
8.571428571428570953e-01 0.000000000000000000e+00 8.571428571428570953e-01 6.128442883491516113e-01 6.323129211315325947e-04 -2.057476953362825896e+02 2.549326068296331894e-03
9.047619047619046562e-01 0.000000000000000000e+00 9.047619047619046562e-01 6.233720183372497559e-01 5.721469250649796352e-04 -2.134952116130761510e+02 2.394497222469148343e-03
9.523809523809523281e-01 0.000000000000000000e+00 9.523809523809523281e-01 6.352882385253906250e-01 5.135185444231684651e-04 -2.213244253010811917e+02 2.344996509920724802e-03
1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 6.432209610939025879e-01 5.242325483179568124e-04 -2.291858022684570813e+02 2.655472228069809433e-03
