# hx, hy, hz, mag, mag_var, energy, energy_var
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.942367553710937500e-02 9.961132800081557359e-05 -1.280000000028036027e+02 2.052143280496051337e-07
6.666666666666666574e-02 0.000000000000000000e+00 6.666666666666666574e-02 7.483887672424316406e-02 1.248807276343187752e-04 -1.282840381916824413e+02 3.239513486750525374e-04
1.333333333333333315e-01 0.000000000000000000e+00 1.333333333333333315e-01 9.111094474792480469e-02 1.611569142820409449e-04 -1.291458238902222604e+02 1.172111490351166125e-03
2.000000000000000111e-01 0.000000000000000000e+00 2.000000000000000111e-01 1.181869506835937500e-01 2.166918150857139326e-04 -1.306257934918269825e+02 1.686688393017607597e-03
2.666666666666666630e-01 0.000000000000000000e+00 2.666666666666666630e-01 1.566043496131896973e-01 2.557063273107666734e-04 -1.328132524179743541e+02 1.858218792574879014e-03
3.333333333333333148e-01 0.000000000000000000e+00 3.333333333333333148e-01 2.064195871353149414e-01 3.597664619781856571e-04 -1.358512268627011679e+02 2.348376079478875413e-03
4.000000000000000222e-01 0.000000000000000000e+00 4.000000000000000222e-01 2.566978931427001953e-01 4.038086090237655757e-04 -1.413116953680172401e+02 1.694662652477926064e-03
4.666666666666666741e-01 0.000000000000000000e+00 4.666666666666666741e-01 3.154432177543640137e-01 5.195245205793996238e-04 -1.485484066363333113e+02 1.853062994703593737e-03
5.333333333333333259e-01 0.000000000000000000e+00 5.333333333333333259e-01 3.831949830055236816e-01 6.287282523906007710e-04 -1.569245746801802852e+02 2.204276347683093492e-03
5.999999999999999778e-01 0.000000000000000000e+00 5.999999999999999778e-01 4.516099095344543457e-01 6.598371503168697690e-04 -1.661134182873211387e+02 2.583824534843573700e-03
6.666666666666666297e-01 0.000000000000000000e+00 6.666666666666666297e-01 5.107352733612060547e-01 6.920160857797117262e-04 -1.758817234966460319e+02 2.792671646452196503e-03
7.333333333333332815e-01 0.000000000000000000e+00 7.333333333333332815e-01 5.540023446083068848e-01 6.856145119521580471e-04 -1.860589103462853586e+02 2.960750900194698138e-03
8.000000000000000444e-01 0.000000000000000000e+00 8.000000000000000444e-01 5.940051078796386719e-01 6.423160959206332876e-04 -1.965790891121826007e+02 2.790356169570326009e-03
8.666666666666666963e-01 0.000000000000000000e+00 8.666666666666666963e-01 6.146718859672546387e-01 5.849490807245699047e-04 -2.072868545093010084e+02 2.591490050653499303e-03
9.333333333333333481e-01 0.000000000000000000e+00 9.333333333333333481e-01 6.323255896568298340e-01 5.501262215460175995e-04 -2.181872790270462019e+02 2.439999582498588414e-03
1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 6.441209912300109863e-01 5.389685343260835083e-04 -2.292176723952237580e+02 2.448882274928686469e-03
