hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var wilson wilson_err wilson_var
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.279997458619780275e+02 1.556204971157586908e-04 1.016385890969123207e-03 6.421407063802081526e-05 1.637742620505625046e-04 7.815975297691894752e-03 6.958651542663574219e-02 8.964623446228475354e-05 2.973696291917349299e-03 9.999930108074608359e-01 4.568142387930281951e-06 8.037722362236191481e-07
1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.283190919791776992e+02 5.291523568126829885e-04 1.807386941064088176e-02 1.562833786010742188e-04 1.644711186994262015e-04 7.784654486674942760e-03 6.948085625966389511e-02 8.643361429648515725e-05 2.957089524593294137e-03 9.945776425876613480e-01 5.839347668622125895e-05 3.494530033039162801e-04
2.000000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.292894128537450911e+02 1.462319720563594588e-03 1.850113520313794169e-01 -2.042452494303384852e-05 1.588396175028735161e-04 7.792427718710666709e-03 6.972742080688476562e-02 8.709134945563854965e-05 2.930514923491500667e-03 9.731023242927848704e-01 1.545937794572375121e-04 1.797438309098426919e-03
2.800000000000000266e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.304036257088167190e+02 2.755602396098270727e-03 5.341901531300234929e-01 -1.672108968098957882e-04 1.612839754284840451e-04 7.830368335109798295e-03 7.010602951049804688e-02 8.876853716100560501e-05 2.915540920866988017e-03 8.869251752044361448e-01 4.170862040167340056e-04 7.740466226736268315e-03
2.999999999999999889e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.308182820976992957e+02 2.369541712652144944e-03 4.836535096644388743e-01 2.351601918538411278e-04 1.588557312516527729e-04 7.818637373923641859e-03 7.013225555419921875e-02 8.822533522456712954e-05 2.900159405119969065e-03 8.424973320854421965e-01 4.310196731082221425e-04 8.967016160116324242e-03
3.099999999999999978e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.310814424289225144e+02 2.198154742512987200e-03 5.132410128259504711e-01 -9.862581888834635868e-05 1.572117502066448086e-04 7.790789215195874362e-03 7.004181543986001679e-02 9.027177825193716850e-05 2.884943032136612004e-03 8.160545970965296103e-01 4.375535194712906664e-04 9.318348341003548918e-03
3.300000000000000155e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.318496622745450395e+02 1.421908647117600547e-03 2.896418355075419115e-01 -4.053115844726561145e-05 1.597722141368124768e-04 7.818499799896017066e-03 7.026545206705728241e-02 8.872968612450356392e-05 2.881267688482895984e-03 7.711242948442061929e-01 3.882205606759300473e-04 9.472264926202501184e-03
3.400000000000000244e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.322881149462504027e+02 1.233162450110638969e-03 3.018084873263155443e-01 -4.669030507405597829e-05 1.544816187783828218e-04 7.854220450476468926e-03 7.036785284678140351e-02 8.699784754746929408e-05 2.902587916194774437e-03 7.487329224170489184e-01 3.502793749660107134e-04 9.258039273776172765e-03
3.499999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.327871789279079167e+02 1.015915937681390914e-03 2.522276258817017225e-01 -1.507600148518880028e-04 1.628298578225272270e-04 7.855098317722623846e-03 7.032418251037597656e-02 8.615077556197390238e-05 2.909630400552032370e-03 7.267247192236818698e-01 3.267279701595091697e-04 9.001685533977562409e-03
3.699999999999999956e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.339359213350244318e+02 7.435518134148890032e-04 1.477521562186538406e-01 3.286600112915039062e-04 1.534219332022524732e-04 7.815672100704773584e-03 7.017974058787027070e-02 8.687917931209340511e-05 2.890584129127028810e-03 6.901079954062281363e-01 3.011914143893530964e-04 8.681038715560788002e-03
4.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.359420499155634730e+02 4.694784912524312104e-04 7.674200118474752697e-02 -8.654594421386718750e-05 1.544559756166058516e-04 7.821382294215101921e-03 7.024335861206054688e-02 8.568620367462072697e-05 2.887260355313022060e-03 6.442512018306687516e-01 2.451231697331468398e-04 7.919809886633523421e-03
5.000000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.443591974532915856e+02 2.382451424400393032e-04 2.225233741701105467e-02 8.893013000488281250e-05 1.509893081342789437e-04 7.848696946079295259e-03 7.034198443094888398e-02 8.552483843176115564e-05 2.900710080963461550e-03 5.606917354934499720e-01 1.489063272918437195e-04 5.622928575728014869e-03
5.999999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.543364842522472316e+02 1.072450128580305928e-04 4.330965936698108823e-03 2.145767211914062500e-06 1.453937188718591028e-04 7.796268905565284513e-03 7.022945086161294648e-02 8.641386555029522917e-05 2.864093141845892952e-03 5.291837964214682888e-01 1.217888731140257880e-04 4.696244437372818978e-03
6.999999999999999556e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.651544988248901689e+02 6.339454645212086784e-05 1.509294735612485856e-03 -1.824299494425455639e-04 1.474193684434455995e-04 7.835708184603933091e-03 7.038144270579019257e-02 8.579973380053804307e-05 2.882193987941958184e-03 5.157394412482545487e-01 1.078080913001966732e-04 4.316271284408364911e-03
