hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var wilson wilson_err wilson_var
6.999999999999999556e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.651545716250093960e+02 6.069599669239567015e-05 1.441387637135867423e-03 1.748402913411460592e-06 1.508080182710656468e-04 7.799845185799212516e-03 7.018375396728515625e-02 8.531679328449887534e-05 2.874085867915709969e-03 5.158251747890554295e-01 1.131013551443756863e-04 4.318722138465555527e-03
5.999999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.543362180085057389e+02 1.066208309139858156e-04 4.411961853816129611e-03 -1.726150512695312229e-04 1.493357837661174426e-04 7.789852724878679538e-03 7.015649477640786835e-02 8.423718048108850252e-05 2.867948761522458746e-03 5.292397924815305243e-01 1.157820509814986285e-04 4.719837623567008957e-03
5.000000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.443601878549625326e+02 2.066853054710882749e-04 1.715953632844830629e-02 4.684925079345703803e-05 1.535303117258008277e-04 7.847785617499880573e-03 7.037166754404702851e-02 8.719929196430806640e-05 2.895616219422297334e-03 5.604830169898498138e-01 1.500989784260309897e-04 5.620163121284223184e-03
4.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.359395685175592803e+02 5.402500919895225932e-04 1.049017404265732700e-01 2.523263295491536278e-04 1.542579495013566193e-04 7.821287621172560989e-03 7.024343808492024277e-02 8.946530021845408521e-05 2.887210695759121620e-03 6.483110569899699360e-01 2.386407634979416056e-04 7.784281428094848299e-03
3.699999999999999956e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.339385452287698968e+02 7.791847473477868857e-04 2.071788886348886471e-01 7.057189941406250000e-05 1.611530974180984432e-04 7.804098215274279937e-03 7.013042767842610214e-02 8.492566004399617501e-05 2.885826309308312659e-03 7.033629340001563701e-01 2.993184487464527806e-04 8.774361155043788191e-03
3.499999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.327672671824281281e+02 1.415935308462289675e-03 5.401462478345733231e-01 -8.638699849446612776e-05 1.572532072314181085e-04 7.784754025724142934e-03 7.003251711527505585e-02 8.644951838731548030e-05 2.880208034936358047e-03 7.659618687007088145e-01 3.853976767695550527e-04 9.822769396007183934e-03
3.400000000000000244e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.322834458102887254e+02 1.754117342489879472e-03 9.012219127614070624e-01 -3.013610839843750000e-04 1.584145342522701139e-04 7.829127042593123434e-03 7.018152872721353241e-02 9.007614103858159374e-05 2.903770886607364744e-03 8.386391214449282483e-01 4.752667295905665230e-04 9.761326546926409400e-03
3.300000000000000155e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.318962771906373916e+02 1.849298643607544734e-03 1.015643675979832850e+00 -3.399451573689777923e-04 1.628617359186819620e-04 7.837920681404219464e-03 7.016257445017495820e-02 8.786795819327195087e-05 2.915249390637895260e-03 8.988690694310070839e-01 3.694907517919699736e-04 6.831198649798262204e-03
3.099999999999999978e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.313685010024947530e+02 1.598292545943564083e-03 7.091931090884103783e-01 -4.899104436238606048e-04 1.605990242675721488e-04 7.809759697085244014e-03 6.999925772349038788e-02 8.663122930513193450e-05 2.910103627488385726e-03 9.251708249657828453e-01 2.743468757296268004e-04 4.929278068634161333e-03
2.999999999999999889e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.311379783514519772e+02 1.411907553041730906e-03 5.974034989364642723e-01 -3.218650817871093072e-05 1.592165372187887972e-04 7.827036288536721315e-03 7.013535499572753906e-02 8.579651963506592315e-05 2.908069304131307049e-03 9.338216349410968231e-01 2.446886487459903176e-04 4.210000128668619362e-03
2.800000000000000266e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.306987576414810519e+02 1.101630619748040357e-03 3.811361962151587068e-01 1.430114110310872215e-04 1.677821133515628913e-04 7.785953618166117224e-03 6.989308198293049668e-02 8.915983678362374729e-05 2.900931161357157926e-03 9.475777213302174484e-01 1.904751165140250804e-04 3.227340796010710888e-03
2.000000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.293232980256983353e+02 6.061592327654859169e-04 9.275083319239781077e-02 -1.813570658365885326e-04 1.648904710075089846e-04 7.799244812581996797e-03 6.974061330159504746e-02 9.029506251184460678e-05 2.935524559284708943e-03 9.766927738385025037e-01 1.299052128226184258e-04 1.467113726007405377e-03
1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.283228500315404403e+02 9.096261529918450175e-05 2.067197026083053037e-03 -2.724726994832356590e-04 1.668494624993999446e-04 7.819155495552206417e-03 6.961675484975178574e-02 8.905728301743954655e-05 2.972737181113732120e-03 9.948750075190526676e-01 5.500057695188370421e-05 3.194048779521416713e-04
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.279997758561359120e+02 1.036350690804901546e-04 8.975347444327528169e-04 1.436869303385416576e-04 1.667340927969478668e-04 7.784011927368635411e-03 6.940428415934243866e-02 8.751649800496924677e-05 2.967077913631833638e-03 9.999964957483225003e-01 1.620265079327808771e-06 2.193726384737427998e-07
