hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var wilson wilson_err wilson_var
2.999999999999999889e-01 0.000000000000000000e+00 1.000000000000000056e-01 -1.314595974769944746e+02 1.371581180273952639e-03 5.407456909427433844e-01 4.976812998453775810e-02 1.717387234018904205e-04 7.978972573760578085e-03 8.141684532165527344e-02 1.085500197163391528e-04 3.827136633788086328e-03 9.300437077718728407e-01 2.326185856726556379e-04 4.353603927902596933e-03
2.999999999999999889e-01 0.000000000000000000e+00 2.000000000000000111e-01 -1.324506954443862128e+02 1.294444248486960238e-03 5.127112611173721968e-01 1.051459709803263254e-01 1.969795483541351424e-04 8.550724446913527885e-03 1.162379980087280273e-01 1.644829701936797908e-04 6.095127479232094643e-03 9.134620174694679795e-01 2.450820020078569163e-04 5.374172153891194903e-03
2.999999999999999889e-01 0.000000000000000000e+00 2.800000000000000266e-01 -1.337940044816572538e+02 1.572730287702799132e-03 7.336434495558769031e-01 1.620890299479166574e-01 2.440315776976977253e-04 9.760060244136385676e-03 1.655582586924234934e-01 2.272871646747931778e-04 8.623376852325588884e-03 8.868585027214395122e-01 2.619247041662076244e-04 7.016940218923746475e-03
2.999999999999999889e-01 0.000000000000000000e+00 2.999999999999999889e-01 -1.342372760169168089e+02 1.682756826060539728e-03 7.962531147327542858e-01 1.805831591288248605e-01 2.569345566156391631e-04 1.035714146865353291e-02 1.829617818196614398e-01 2.446043486557587148e-04 9.492405222974613366e-03 8.755080662236656153e-01 2.785542316578864261e-04 7.704363745236062627e-03
2.999999999999999889e-01 0.000000000000000000e+00 3.099999999999999978e-01 -1.344112939069056551e+02 2.468327757586906597e-03 1.273329819338846702e+00 1.961715221405029297e-01 2.891989009122356599e-04 1.131103529172605704e-02 1.981101830800374164e-01 2.792656980348410330e-04 1.054665675064193550e-02 8.773428425899552074e-01 2.511724536578056844e-04 7.319844269756268368e-03
2.999999999999999889e-01 0.000000000000000000e+00 3.300000000000000155e-01 -1.348991294473986216e+02 2.958032019266247214e-03 1.635213486842610919e+00 2.191596428553263254e-01 3.171818989224444406e-04 1.194609622624732970e-02 2.203255097071329660e-01 3.103299230385244962e-04 1.143371505501357410e-02 8.612448298503740940e-01 2.809445772436463141e-04 8.302607214480483763e-03
2.999999999999999889e-01 0.000000000000000000e+00 3.400000000000000244e-01 -1.352771760751167278e+02 2.171701353893249614e-03 1.172888942214493024e+00 2.435817321141560687e-01 4.422252322492558263e-04 1.389028327972931243e-02 2.444220781326293945e-01 4.371048283101753402e-04 1.348019122078862077e-02 8.426892232152637385e-01 3.569283796996822948e-04 9.558185435281514250e-03
2.999999999999999889e-01 0.000000000000000000e+00 3.499999999999999778e-01 -1.356172845572832273e+02 2.863020653673097396e-03 1.354413486902842134e+00 2.750701904296875000e-01 6.535413398438774278e-04 1.675858511589467525e-02 2.756199042002359656e-01 6.496298362499393960e-04 1.645586318757194869e-02 8.201430667156045518e-01 4.869728979482610071e-04 1.123631752415475173e-02
2.999999999999999889e-01 0.000000000000000000e+00 3.699999999999999956e-01 -1.364776978547239992e+02 6.150843950784976380e-03 1.841172347467003201e+00 3.805376688639322547e-01 1.487346106403891624e-03 2.404374958940833085e-02 3.806606133778889789e-01 1.484937965101479178e-03 2.395016443657342967e-02 7.404482603107233052e-01 1.063109015633461989e-03 1.516060178590994748e-02
2.999999999999999889e-01 0.000000000000000000e+00 4.000000000000000222e-01 -1.385807294002351000e+02 2.714345285124970027e-03 1.406018267374487651e+00 5.467275778452554968e-01 7.785261391594413280e-04 2.005727154270036533e-02 5.467318693796793250e-01 7.784033634856823026e-04 2.005257892384153945e-02 6.177975548848302356e-01 5.456061255335055947e-04 1.177992321842383228e-02
2.999999999999999889e-01 0.000000000000000000e+00 5.000000000000000000e-01 -1.468736114883602681e+02 1.856416132610087463e-03 7.516989179793416298e-01 7.202399571736652906e-01 5.764006288758038868e-04 1.411699285371368143e-02 7.202399571736652906e-01 5.764006288758038868e-04 1.411699285371368143e-02 5.278411401923996937e-01 3.172972285560745329e-04 8.123072446357740978e-03
2.999999999999999889e-01 0.000000000000000000e+00 5.999999999999999778e-01 -1.567162633127687741e+02 1.909777326845347100e-03 5.559356316152942457e-01 8.079341650009155273e-01 4.322562625874153564e-04 1.029400204563538958e-02 8.079341650009155273e-01 4.322562625874153564e-04 1.029400204563538958e-02 4.984804339466479828e-01 2.400312822900355916e-04 6.659429612205097944e-03
2.999999999999999889e-01 0.000000000000000000e+00 6.999999999999999556e-01 -1.672985624180267337e+02 1.023039725948076406e-01 1.286624127067257106e+01 8.587148984273273999e-01 5.972055625133020637e-04 7.972527420229701817e-03 8.587148984273273999e-01 5.972055625133020637e-04 7.972527420229701817e-03 4.871970795555414790e-01 4.091961918248924676e-04 6.404993946305975738e-03
2.999999999999999889e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.308374465056449480e+02 2.417462609463319652e-03 4.408909457133106669e-01 6.461143493652343750e-05 1.615902627809079307e-04 7.817333735696744071e-03 7.013916969299316406e-02 8.419847473933181272e-05 2.897834785111778281e-03 8.421737583800184002e-01 4.519182569978902461e-04 9.251436076508275444e-03
