hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var wilson wilson_err wilson_var
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.279978127686420066e+02 1.213957816130604170e-03 8.743298075929703539e-03 1.842492011670545651e-03 9.120658980388133327e-04 3.428653591364710235e-02 1.842492011670545651e-03 9.120658980388133327e-04 3.428653591364710235e-02 9.999369758171547939e-01 3.509853611701833480e-05 7.498411202461155065e-06
1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.283169211987840299e+02 7.426880526295370419e-04 2.427578527990985682e-02 5.345957536915560415e-02 2.945262028854091349e-04 8.607118507837002025e-03 5.345957536915560415e-02 2.945262028854091349e-04 8.607118507837002025e-03 9.941390952186403007e-01 6.891752434380138750e-05 3.826372831535404528e-04
2.000000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.292888912642879404e+02 1.527904889670308195e-03 1.762703165789840654e-01 1.136355381845690349e-01 3.362567806930614675e-04 8.938661220091716209e-03 1.136355381845690349e-01 3.362567806930614675e-04 8.938661220091716209e-03 9.731354250622502589e-01 1.653545712673919958e-04 1.775268103637593717e-03
2.800000000000000266e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.304033387410411819e+02 2.744510641746025163e-03 5.339737385220442167e-01 2.329009346138748160e-01 5.231726489323691286e-04 1.573373912650263134e-02 2.329009346138748160e-01 5.231726489323691286e-04 1.573373912650263134e-02 8.870149625017993422e-01 4.146424360984978137e-04 7.763422751441304004e-03
2.999999999999999889e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.308196565930571467e+02 2.584366985294478218e-03 4.850903148290469646e-01 2.866194334584976078e-01 5.635805473030153483e-04 1.815354419227950544e-02 2.866194334584976078e-01 5.635805473030153483e-04 1.815354419227950544e-02 8.431251965474197974e-01 4.584015878785231419e-04 9.010304192543196894e-03
3.099999999999999978e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.310785625447954317e+02 2.063288167404060593e-03 5.193036183436106068e-01 3.219190020334901647e-01 5.456047422426066676e-04 1.919652072170231066e-02 3.219190020334901647e-01 5.456047422426066676e-04 1.919652072170231066e-02 8.149840639150448540e-01 4.090868694884888237e-04 9.255945415387788200e-03
3.300000000000000155e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.318487807984118945e+02 1.448080693817980743e-03 2.916775250279034504e-01 3.815592228618726045e-01 5.228474949836471727e-04 2.022144523431228247e-02 3.815592228618726045e-01 5.228474949836471727e-04 2.022144523431228247e-02 7.709861742045507338e-01 3.814930508556853869e-04 9.500863721391205469e-03
3.400000000000000244e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.322818034881494782e+02 1.291082941421179547e-03 3.035834518284068473e-01 4.127494493448986557e-01 4.956793547489437169e-04 2.050827937923189667e-02 4.127494493448986557e-01 4.956793547489437169e-04 2.050827937923189667e-02 7.473743240064680826e-01 3.573723479027102277e-04 9.306770939723372701e-03
3.499999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.327893939174683737e+02 1.081731292231917973e-03 2.513431769541659699e-01 4.409636148094144836e-01 5.043900276578622884e-04 2.041378515716986072e-02 4.409636148094144836e-01 5.043900276578622884e-04 2.041378515716986072e-02 7.277009669101810463e-01 3.530102085864967720e-04 9.044342652706012856e-03
3.699999999999999956e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.339354297269833864e+02 7.436585420211281900e-04 1.482147125463771364e-01 4.958185537064627169e-01 4.461018814000789162e-04 2.019945315280539944e-02 4.958185537064627169e-01 4.461018814000789162e-04 2.019945315280539944e-02 6.904582737626190347e-01 2.994639789224901906e-04 8.712806481650826884e-03
4.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.359420058990692723e+02 4.976584395077734892e-04 7.676135266690381487e-02 5.719574436917241878e-01 4.010411684395818197e-04 1.905776528769304035e-02 5.719574436917241878e-01 4.010411684395818197e-04 1.905776528769304035e-02 6.437068585802079301e-01 2.535242526914755260e-04 7.873681628706915084e-03
5.000000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.443594865312725801e+02 2.447367491051052131e-04 2.220735549713689916e-02 7.325851832977741118e-01 2.703760321753601015e-04 1.399230395747950301e-02 7.325851832977741118e-01 2.703760321753601015e-04 1.399230395747950301e-02 5.605365053237585382e-01 1.570671998612927097e-04 5.620034563921266768e-03
5.999999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.543363248415168130e+02 1.046234372979459870e-04 4.317723341825556449e-03 8.181766782587601705e-01 1.884188902562997342e-04 1.009379562249403464e-02 8.181766782587601705e-01 1.884188902562997342e-04 1.009379562249403464e-02 5.291001748423710405e-01 1.188863601954779498e-04 4.693241975594271073e-03
6.999999999999999556e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.651545482320643146e+02 5.961793093494841380e-05 1.506181500266379203e-03 8.678665349830618769e-01 1.576586677987346866e-04 7.597310897361976741e-03 8.678665349830618769e-01 1.576586677987346866e-04 7.597310897361976741e-03 5.157021520053481911e-01 1.046426655732645713e-04 4.326759730314509722e-03
