hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var wilson wilson_err wilson_var
2.999999999999999889e-01 0.000000000000000000e+00 6.999999999999999556e-01 -1.674143802151956208e+02 1.871988330847683879e-03 5.025179190522605088e-01 8.583197196324665601e-01 3.945660343808984677e-04 7.840906204552626491e-03 8.583197196324665601e-01 3.945660343808984677e-04 7.840906204552626491e-03 4.871732188156828736e-01 2.070342364031266583e-04 6.276132389975016060e-03
2.999999999999999889e-01 0.000000000000000000e+00 5.999999999999999778e-01 -1.567164168404531210e+02 1.658337702329219700e-03 5.724371462039556935e-01 8.073154290517170484e-01 4.736907365283123789e-04 1.028388682167107743e-02 8.073154290517170484e-01 4.736907365283123789e-04 1.028388682167107743e-02 4.984617403295775739e-01 2.473927843639069741e-04 6.767493444064307320e-03
2.999999999999999889e-01 0.000000000000000000e+00 5.000000000000000000e-01 -1.468629655000270304e+02 2.269887876983795426e-03 8.507802165145712525e-01 7.216146787007648999e-01 5.819121586077551523e-04 1.405070392620978714e-02 7.216146787007648999e-01 5.819121586077551523e-04 1.405070392620978714e-02 5.270829956990754628e-01 3.139687321195319637e-04 8.077094153418756806e-03
2.999999999999999889e-01 0.000000000000000000e+00 4.000000000000000222e-01 -1.385726166831987598e+02 2.664851908706142216e-03 1.450006675782912424e+00 5.534214576085407788e-01 7.731891828027510991e-04 1.931072548522018081e-02 5.534237623214721680e-01 7.730925923010685064e-04 1.930817452472884457e-02 6.127289307130975304e-01 5.458191281859298746e-04 1.137008997011705255e-02
2.999999999999999889e-01 0.000000000000000000e+00 3.699999999999999956e-01 -1.366482717361667483e+02 2.661985251313056695e-03 1.616361381042382916e+00 4.554994901021321430e-01 8.372989970368310180e-04 2.226047158119905112e-02 4.555374781290689734e-01 8.366585092979213255e-04 2.222586308430941904e-02 6.784777159381103484e-01 6.403019332289834782e-04 1.399727225318841972e-02
2.999999999999999889e-01 0.000000000000000000e+00 3.499999999999999778e-01 -1.356779829724495130e+02 2.336786973268236388e-03 1.484745657819008802e+00 3.517848253250122070e-01 7.985825953764644301e-04 2.225433562556133893e-02 3.519874016443887976e-01 7.963554089385709413e-04 2.211176803814238201e-02 7.566057669814325592e-01 6.292097455699349317e-04 1.461523039912109023e-02
2.999999999999999889e-01 0.000000000000000000e+00 3.400000000000000244e-01 -1.353235365095968064e+02 2.196228889496000883e-03 1.260123346924289844e+00 2.806242307027180805e-01 6.224827253254915571e-04 1.813940909048344235e-02 2.811799049377441406e-01 6.181614376434974977e-04 1.782722900717696041e-02 8.115022947850181190e-01 4.856870012591210629e-04 1.222926725373527958e-02
2.999999999999999889e-01 0.000000000000000000e+00 3.300000000000000155e-01 -1.350166589456997031e+02 1.984132329025661747e-03 1.090702235897850869e+00 2.376964886983235492e-01 4.198550068253665093e-04 1.451305005561051922e-02 2.386860847473144531e-01 4.153524368061130528e-04 1.404162374312060459e-02 8.438090717453086143e-01 3.471845742557536823e-04 9.864671555506954875e-03
2.999999999999999889e-01 0.000000000000000000e+00 3.099999999999999978e-01 -1.344744244638537793e+02 1.774567846384731079e-03 9.624165044337633645e-01 2.003927628199259348e-01 3.112289165996977086e-04 1.159325588658393670e-02 2.021538019180297852e-01 3.035039097137513212e-04 1.088435564727300610e-02 8.691458438896978445e-01 2.649966472388248003e-04 7.815780615867386205e-03
2.999999999999999889e-01 0.000000000000000000e+00 2.999999999999999889e-01 -1.342421840058073315e+02 1.594077463158655693e-03 8.266504274522367135e-01 1.846063931783040180e-01 2.603187681402890029e-04 1.054523289407269596e-02 1.868148644765217914e-01 2.521742874854786482e-04 9.724959706994062286e-03 8.782531433665302645e-01 2.432196305524489898e-04 7.208666001591380532e-03
2.999999999999999889e-01 0.000000000000000000e+00 2.800000000000000266e-01 -1.338021660489438887e+02 1.594132557717999879e-03 7.391184013619578330e-01 1.642105976740519113e-01 2.324529319518055118e-04 9.827837766805043798e-03 1.675271590550740375e-01 2.182719260765156549e-04 8.727609134210308553e-03 8.891992399904924405e-01 2.422883306121318369e-04 6.670248395581055041e-03
2.999999999999999889e-01 0.000000000000000000e+00 2.000000000000000111e-01 -1.324544765295947855e+02 1.298390565820513451e-03 4.922677739548966813e-01 1.054332653681437082e-01 1.962231266284480242e-04 8.582607204704433002e-03 1.165035963058471680e-01 1.595140028634989119e-04 6.125692698698040686e-03 9.145884430085269301e-01 2.364207978689594758e-04 5.274317681726235947e-03
2.999999999999999889e-01 0.000000000000000000e+00 1.000000000000000056e-01 -1.314731666360615918e+02 1.265597018266013301e-03 4.448604302996512772e-01 4.994706312815348076e-02 1.695589267842676753e-04 7.993892286320499266e-03 8.159275849660237168e-02 1.113490617565012468e-04 3.831223162363370932e-03 9.298994307205724619e-01 2.319047008968498440e-04 4.393814386041624241e-03
