hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var wilson wilson_err wilson_var
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.280000000061379524e+02 2.302463529137714893e-08 2.024241830791777040e-10 2.567768096923827583e-04 1.586399775976770146e-04 7.794103153874705654e-03 6.945633888244628906e-02 8.777559041298159924e-05 2.969986077251481234e-03 1.000000000102681641e+00 4.269439735545949390e-10 7.030578268813507547e-14
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 -1.283213966873365450e+02 1.677280700185691071e-03 6.711982175490845831e-03 5.079631010691324638e-02 1.722503088544918804e-04 8.030232746589958254e-03 8.169607321421304413e-02 1.088233575376349268e-04 3.936249488445595773e-03 9.948226761332784607e-01 6.231539345914192442e-05 3.293097143819154540e-04
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000111e-01 -1.293335711404409096e+02 2.189664620721601133e-05 1.405418559237371005e-04 1.085391044616699219e-01 2.019681128454286004e-04 8.730989340998954532e-03 1.187853813171386719e-01 1.684631818398977024e-04 6.401759723682213035e-03 9.770705846886885704e-01 8.326968893388784847e-05 1.433113959443819280e-03
0.000000000000000000e+00 0.000000000000000000e+00 2.800000000000000266e-01 -1.307458688272034806e+02 1.480356162843541169e-04 5.177584942193654526e-03 1.711987654368082590e-01 2.585428004313517392e-04 1.038091845672144825e-02 1.741872628529866351e-01 2.437250082693221320e-04 9.348733203593282554e-03 9.450657852005294179e-01 1.562118246650388788e-04 3.459325364468054335e-03
0.000000000000000000e+00 0.000000000000000000e+00 2.999999999999999889e-01 -1.312076943786377683e+02 4.881118662181365016e-04 1.624886276858532666e-02 1.914894183476765765e-01 2.931446007279462393e-04 1.107790778045449065e-02 1.935246388117472238e-01 2.834319101355391494e-04 1.029431929236876778e-02 9.322597701392836278e-01 1.917224426712905386e-04 4.280929865952865128e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.099999999999999978e-01 -1.314654938253189016e+02 4.078805720693604205e-04 1.637707314148576301e-02 2.052956422170003070e-01 3.366804778461441727e-04 1.173849111788488088e-02 2.068094412485758371e-01 3.289197029797743805e-04 1.111464684162734307e-02 9.230001599948669533e-01 2.323224804466360370e-04 4.894233941041898489e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.300000000000000155e-01 -1.320259838241615853e+02 9.291587776001756799e-04 3.051754638451052021e-02 2.367255687713623047e-01 5.328462049305265555e-04 1.355189400732115246e-02 2.376363277435302734e-01 5.276326104785480225e-04 1.311986465401560054e-02 9.003709540399975619e-01 4.052711825365733840e-04 6.502088077288373236e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.400000000000000244e-01 -1.323504188509887740e+02 1.878157006032840116e-03 5.028239363374814586e-02 2.613011995951334265e-01 9.060859576483108529e-04 1.559583916784706287e-02 2.619280815124511719e-01 9.012117609950883032e-04 1.526783619290957364e-02 8.813586490750426883e-01 7.151094238395924512e-04 8.025724548302715436e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.499999999999999778e-01 -1.327320007466906873e+02 3.469753564640394236e-03 1.146676941107187681e-01 3.011500835418701172e-01 1.453025766390195163e-03 1.908622923938688848e-02 3.015105724334716797e-01 1.448070829830374641e-03 1.886897676750246694e-02 8.497808109719495739e-01 1.163261463501362360e-03 1.034631882520078636e-02
0.000000000000000000e+00 0.000000000000000000e+00 3.699999999999999956e-01 -1.335211536183974772e+02 8.101475380373915000e-03 2.022318892466492546e-01 3.480007648468017578e-01 2.279854756308464202e-03 2.215738956853859423e-02 3.481713136037190570e-01 2.277164399323231090e-03 2.203865828595830828e-02 8.134915564352698247e-01 1.826853727070337991e-03 1.258822010478886227e-02
0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000222e-01 -1.351526931455979081e+02 1.914039057227719109e-02 5.841895713384603894e-01 4.468955198923746375e-01 2.974768816816624351e-03 2.582755304986348102e-02 4.469317595163980750e-01 2.973744462799010873e-03 2.579516108531581045e-02 7.382889392943720042e-01 2.215966291260654253e-03 1.389272584652206932e-02
0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e-01 -1.443571369005210840e+02 4.448725688623952510e-04 3.824635890410021249e-02 7.279237906138101843e-01 7.882846932351469027e-04 1.417575860643991228e-02 7.279237906138101843e-01 7.882846932351469027e-04 1.417575860643991228e-02 5.643081828527267696e-01 3.727370562283572491e-04 6.216516299520526492e-03
0.000000000000000000e+00 0.000000000000000000e+00 5.999999999999999778e-01 -1.543349056578358898e+02 2.708451954932891725e-04 1.481613146729771416e-02 8.165452480316162109e-01 6.270470057571376479e-04 1.029406480629783439e-02 8.165452480316162109e-01 6.270470057571376479e-04 1.029406480629783439e-02 5.307165241524913757e-01 2.449014303425239912e-04 4.990192888753051254e-03
0.000000000000000000e+00 0.000000000000000000e+00 6.999999999999999556e-01 -1.651539082589999907e+02 1.948134415275613450e-04 9.425298044311991932e-03 8.675632874170938758e-01 4.881158900596978311e-04 7.596047319110097590e-03 8.675632874170938758e-01 4.881158900596978311e-04 7.596047319110097590e-03 5.162031661402184390e-01 1.722026520122923717e-04 4.180406169919648890e-03
