# hx, hy, hz, energy, energy_var, mag, mag_var, abs_mag, abs_mag_var, wilson, wilson_var
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.279996489355277305e+02 1.404402133064515260e-03 -1.045465469360351562e-04 7.818587370238105905e-03 6.959271430969238281e-02 2.975452415228119207e-03 9.999893879001415797e-01 1.293290886036205517e-06
1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.283219833921694715e+02 5.627204925490498708e-03 -1.327097415924072266e-04 7.805841592506190807e-03 6.960102915763854980e-02 2.961555944579252753e-03 9.947777966282421724e-01 3.298899788552453255e-04
2.000000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.293069788952906265e+02 1.790039486386189038e-01 -1.423954963684082031e-04 7.818681400546978466e-03 6.987386941909790039e-02 2.936344049427219716e-03 9.757399229597691903e-01 1.560382742368876139e-03
2.999999999999999889e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.309662406457894974e+02 4.876451876664301688e-01 4.396736621856689453e-04 7.800943154676609481e-03 7.008185982704162598e-02 2.889669390788718317e-03 8.702472054236747301e-01 8.577597226907329037e-03
3.099999999999999978e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.312010313032852196e+02 4.866944366990814119e-01 1.287460327148437500e-05 7.818516178076606593e-03 7.010215520858764648e-02 2.904204178943103898e-03 8.409468080756177244e-01 9.338656788918195395e-03
3.200000000000000067e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.314967479939952000e+02 4.644150577889853970e-01 2.375245094299316406e-04 7.796947305788393123e-03 7.009279727935791016e-02 2.884003493235809401e-03 8.109019636987639945e-01 9.797409379957863762e-03
3.300000000000000155e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.318794902852956454e+02 3.959041338690165723e-01 -1.060068607330322266e-04 7.794884437578808445e-03 7.008007168769836426e-02 2.883679227280389057e-03 7.855574518627902458e-01 9.839186182494012722e-03
3.400000000000000244e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.323271046076657456e+02 2.711344804066614378e-01 -1.248419284820556641e-04 7.813293268148946424e-03 7.019463181495666504e-02 2.886022518018727112e-03 7.621342659126568719e-01 9.657568570393024535e-03
3.499999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.328242595552333114e+02 2.042083418046818644e-01 9.003281593322753906e-05 7.804247361000271610e-03 7.012298703193664551e-02 2.887022156627061520e-03 7.419909697001865201e-01 9.474575783694845835e-03
4.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.359418093586592136e+02 8.817246706881759488e-02 1.456141471862792969e-04 7.798357152321244712e-03 7.013148069381713867e-02 2.879953771493859449e-03 6.466568440772453297e-01 7.843247954634136737e-03
5.000000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.443603638963415676e+02 1.630457484282642894e-02 1.441836357116699219e-04 7.831561079310489504e-03 7.032066583633422852e-02 2.886585824565912617e-03 5.609406630399945692e-01 5.651155785352074759e-03
5.999999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.543361788980882352e+02 6.444023185616383487e-03 -6.574392318725585938e-05 7.814541793432994155e-03 7.025182247161865234e-02 2.879227555112606751e-03 5.292341043415881296e-01 4.717847308466384219e-03
6.999999999999999556e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.651544056128294358e+02 2.524121817016420494e-03 9.006261825561523438e-05 7.823840985619057165e-03 7.030194997787475586e-02 2.881484926202659835e-03 5.154532783837879606e-01 4.320039266601325562e-03
8.000000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.764836019175179445e+02 1.157793570513692772e-03 -1.222789287567138672e-04 7.817066689269402957e-03 7.033500075340270996e-02 2.870069310424661069e-03 5.091770902044748803e-01 4.148385674302805526e-03
