# hx, hy, hz, energy, energy_var, mag, mag_var, abs_mag, abs_mag_var, wilson, wilson_var
2.999999999999999889e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.309465294563509588e+02 4.806720491604480339e-01 -3.576278686523437500e-07 7.818087935319795179e-03 7.008397579193115234e-02 2.906324272643701079e-03 8.658239711950300732e-01 8.695308256872308697e-03
2.999999999999999889e-01 0.000000000000000000e+00 1.000000000000000056e-01 -1.312504889744687659e+02 5.879369889717417363e-01 4.922649264335632324e-02 7.987222844390906573e-03 8.133950829505920410e-02 3.794354812675315713e-03 8.631760345234162912e-01 8.874940362033414964e-03
2.999999999999999889e-01 0.000000000000000000e+00 2.000000000000000111e-01 -1.322341103358084524e+02 5.856455809518551492e-01 1.038709878921508789e-01 8.503500283595144538e-03 1.152346730232238770e-01 6.013652542517178290e-03 8.489035536283008332e-01 9.757076521068712427e-03
2.999999999999999889e-01 0.000000000000000000e+00 2.800000000000000266e-01 -1.335698608386426827e+02 8.248033455606776920e-01 1.590141654014587402e-01 9.581443813711842949e-03 1.627030372619628906e-01 8.394670277766635991e-03 8.259161530992664702e-01 1.094282105141023906e-02
2.999999999999999889e-01 0.000000000000000000e+00 2.999999999999999889e-01 -1.340189230030379690e+02 8.567304558774897494e-01 1.782138049602508545e-01 1.034179057192741169e-02 1.807579100131988525e-01 9.428528817998049760e-03 8.184113828135466395e-01 1.145505637789057118e-02
2.999999999999999889e-01 0.000000000000000000e+00 3.099999999999999978e-01 -1.342569220256588096e+02 9.106591705552067317e-01 1.863884031772613525e-01 1.033425026908840749e-02 1.884948909282684326e-01 9.544563201997924295e-03 8.137791686487456655e-01 1.170131002359253887e-02
2.999999999999999889e-01 0.000000000000000000e+00 3.200000000000000067e-01 -1.345288788153515043e+02 9.229726829529308896e-01 1.980813145637512207e-01 1.100915981126249221e-02 1.998105645179748535e-01 1.032110529757446216e-02 8.118166220304605663e-01 1.193504790938205648e-02
2.999999999999999889e-01 0.000000000000000000e+00 3.300000000000000155e-01 -1.347416978161361385e+02 1.025484258126118542e+00 2.060179710388183594e-01 1.105900253401159716e-02 2.074188590049743652e-01 1.047982385403756211e-02 8.000786746567575269e-01 1.232988465180335884e-02
2.999999999999999889e-01 0.000000000000000000e+00 3.400000000000000244e-01 -1.350716725019832438e+02 9.971413802908936086e-01 2.217148840427398682e-01 1.183086422491097522e-02 2.227655351161956787e-01 1.136387039539155097e-02 7.957041920322185380e-01 1.258777731119459925e-02
2.999999999999999889e-01 0.000000000000000000e+00 3.499999999999999778e-01 -1.353845694144920913e+02 1.058550940464759726e+00 2.353975474834442139e-01 1.248135584587739544e-02 2.362219989299774170e-01 1.209252842862351685e-02 7.891181745442804596e-01 1.288145103172839631e-02
2.999999999999999889e-01 0.000000000000000000e+00 4.000000000000000222e-01 -1.375962945384401053e+02 1.811441608077009935e+00 3.701872527599334717e-01 2.272475689309683133e-02 3.702916204929351807e-01 2.264747479175976963e-02 7.086324411019285785e-01 1.577185200527011708e-02
2.999999999999999889e-01 0.000000000000000000e+00 4.500000000000000111e-01 -1.423794353539504982e+02 1.322821240113740471e+00 6.396487355232238770e-01 1.782051904583781266e-02 6.396487951278686523e-01 1.782044279376293616e-02 5.629468736255651695e-01 1.003171578011445228e-02
2.999999999999999889e-01 0.000000000000000000e+00 5.000000000000000000e-01 -1.468600523210543258e+02 9.131660029242520960e-01 7.193253338336944580e-01 1.411977697328747894e-02 7.193253338336944580e-01 1.411977697328747894e-02 5.282810314704001753e-01 8.095590515370969589e-03
2.999999999999999889e-01 0.000000000000000000e+00 5.999999999999999778e-01 -1.567183490845245046e+02 5.313524438811179085e-01 8.084061145782470703e-01 1.027015801213337909e-02 8.084061145782470703e-01 1.027015801213337909e-02 4.986184995993141467e-01 6.541921507471036568e-03
2.999999999999999889e-01 0.000000000000000000e+00 6.999999999999999556e-01 -1.674129738707560477e+02 6.304463835832729846e-01 8.592201173305511475e-01 7.784953100972380469e-03 8.592201173305511475e-01 7.784953100972380469e-03 4.877561409645085888e-01 6.298209521193948168e-03
2.999999999999999889e-01 0.000000000000000000e+00 8.000000000000000444e-01 -1.786552250740264753e+02 2.694062408283205423e-01 8.918619155883789062e-01 6.029995361132023390e-03 8.918619155883789062e-01 6.029995361132023390e-03 4.832115291819333858e-01 5.899681690018924313e-03
