# hx, hy, hz, energy, energy_var, mag, mag_var, abs_mag, abs_mag_var, wilson, wilson_var
2.999999999999999889e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.311437759501772007e+02 4.949937359471401344e-01 3.558397293090820312e-05 7.791067449134676977e-03 6.995640198389688202e-02 2.897170536821233426e-03 9.288421810765159492e-01 4.681958032741262779e-03
2.999999999999999889e-01 0.000000000000000000e+00 1.000000000000000056e-01 -1.314345092147974015e+02 6.290852916562119646e-01 4.954171180725097656e-02 7.976254675611471612e-03 8.135517438252766464e-02 3.811971485592696197e-03 9.249429478060485765e-01 4.958336261193054852e-03
2.999999999999999889e-01 0.000000000000000000e+00 2.000000000000000111e-01 -1.323764301236131189e+02 9.392041089182656677e-01 1.052456100781758580e-01 8.548753680845856337e-03 1.162514487902323312e-01 6.110992775745276162e-03 9.108890211944141724e-01 5.670899786683004408e-03
2.999999999999999889e-01 0.000000000000000000e+00 2.999999999999999889e-01 -1.342062469483507243e+02 9.555051380338883682e-01 1.825532515843709125e-01 1.053057908461438666e-02 1.849198738733927316e-01 9.660908995289534118e-03 8.772086687517328674e-01 7.457437823392759277e-03
2.999999999999999889e-01 0.000000000000000000e+00 3.099999999999999978e-01 -1.344705896286491225e+02 8.416001842741419603e-01 1.900242567062377930e-01 1.066920247049078264e-02 1.920069058736165180e-01 9.911768704089100879e-03 8.688187037433585669e-01 8.107958013407693537e-03
2.999999999999999889e-01 0.000000000000000000e+00 3.200000000000000067e-01 -1.347017219646062927e+02 1.095621306859474675e+00 2.045168876647949219e-01 1.132736645475536721e-02 2.060900926589965820e-01 1.068139750265591562e-02 8.644678019950400305e-01 8.222964757051393070e-03
2.999999999999999889e-01 0.000000000000000000e+00 3.300000000000000155e-01 -1.349707680412917057e+02 1.095463045455097983e+00 2.188219030698140277e-01 1.204015325323324129e-02 2.200445532798767090e-01 1.150357308818783508e-02 8.552834846582367812e-01 8.730008574072254182e-03
2.999999999999999889e-01 0.000000000000000000e+00 3.400000000000000244e-01 -1.352583635268187550e+02 1.170950636160799307e+00 2.357982595761616840e-01 1.298364496082587277e-02 2.367258667945861816e-01 1.254532817032464644e-02 8.451682739003303357e-01 9.421784406439769749e-03
2.999999999999999889e-01 0.000000000000000000e+00 3.499999999999999778e-01 -1.355756084776370471e+02 1.321855371908575050e+00 2.581135034561157227e-01 1.463367111578861568e-02 2.587439616521199359e-01 1.430781409074515821e-02 8.300992057431088034e-01 1.037489280558785351e-02
2.999999999999999889e-01 0.000000000000000000e+00 4.000000000000000222e-01 -1.385744590471869913e+02 1.424045537023826080e+00 5.446695685386657715e-01 2.017500164342914820e-02 5.446735024452209473e-01 2.017071626958136937e-02 6.183527776443557000e-01 1.189251604152652755e-02
2.999999999999999889e-01 0.000000000000000000e+00 5.000000000000000000e-01 -1.468726497201196253e+02 7.686470281546636807e-01 7.200618187586466101e-01 1.407407494097236145e-02 7.200618187586466101e-01 1.407407494097236145e-02 5.278751243563333251e-01 8.115317528415698714e-03
2.999999999999999889e-01 0.000000000000000000e+00 5.999999999999999778e-01 -1.567149915187941360e+02 5.827871596329871062e-01 8.084102869033813477e-01 1.025954713973931121e-02 8.084102869033813477e-01 1.025954713973931121e-02 4.985358344839332378e-01 6.658162952829508457e-03
