# hx, hy, hz, energy, energy_var, mag, mag_var, abs_mag, abs_mag_var, wilson, wilson_var
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.279996031321547179e+02 1.587338795504209584e-03 6.577372550964355469e-05 7.816225155067080266e-03 6.950941681861877441e-02 2.984670454785565141e-03 9.999879571073611029e-01 1.479116228250980893e-06
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 -1.283221151626373739e+02 3.839281255473415370e-03 5.116394162178039551e-02 8.076833558660290180e-03 8.199021220207214355e-02 3.972187583996422688e-03 9.947697398430825899e-01 3.282803343702039097e-04
0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000111e-01 -1.293335187143554208e+02 2.340091547464525517e-04 1.088077425956726074e-01 8.769268626647175324e-03 1.191399693489074707e-01 6.414061178954710840e-03 9.769852912116173682e-01 1.438455399557058388e-03
0.000000000000000000e+00 0.000000000000000000e+00 2.800000000000000266e-01 -1.307448828452826319e+02 4.027850702448229278e-03 1.705207228660583496e-01 1.023574796135662268e-02 1.734609007835388184e-01 9.224380787482999722e-03 9.456069684378775042e-01 3.380963124279276824e-03
0.000000000000000000e+00 0.000000000000000000e+00 2.999999999999999889e-01 -1.312066344653009651e+02 8.124265498336079305e-03 1.903876662254333496e-01 1.091151356603958789e-02 1.923908591270446777e-01 1.014473434116425210e-02 9.332064441525049769e-01 4.157666431214654228e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.099999999999999978e-01 -1.314627127109365290e+02 1.372629446460464121e-02 2.021190524101257324e-01 1.148865879312310767e-02 2.037275433540344238e-01 1.083585821922028458e-02 9.253619136463466788e-01 4.710144681962827665e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.200000000000000067e-01 -1.317321069156392070e+02 9.900332061887605686e-03 2.149482965469360352e-01 1.202949999274949278e-02 2.162097692489624023e-01 1.148560586248947857e-02 9.165517499434617799e-01 5.269737580373457658e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.300000000000000155e-01 -1.320194658557302887e+02 6.110065142109839809e-02 2.312405109405517578e-01 1.301232954796205377e-02 2.322074770927429199e-01 1.256419103023276307e-02 9.047231777638458095e-01 6.121822473538601414e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.400000000000000244e-01 -1.323405281461087952e+02 5.738207088561723956e-02 2.483793199062347412e-01 1.407651156696143602e-02 2.491075694561004639e-01 1.371421696371921684e-02 8.923072084455875297e-01 6.944903628473666005e-03
0.000000000000000000e+00 0.000000000000000000e+00 3.499999999999999778e-01 -1.326631234296165189e+02 5.323679477856699260e-02 2.630813121795654297e-01 1.460270259252638425e-02 2.636338472366333008e-01 1.431167400185984206e-02 8.813899290236753004e-01 7.532886987897583105e-03
0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000222e-01 -1.351234577675170385e+02 5.347324202419020400e-01 4.250203967094421387e-01 2.499156809718883210e-02 4.250735640525817871e-01 2.494637085987605474e-02 7.562404181075408349e-01 1.357634214629383114e-02
0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e-01 -1.426118534767592223e+02 3.991364546054707141e+00 6.368028521537780762e-01 2.404694995399481172e-02 6.368028521537780762e-01 2.404694995399481172e-02 6.153858567639197696e-01 1.030153199246996304e-02
0.000000000000000000e+00 0.000000000000000000e+00 5.999999999999999778e-01 -1.543134515169375618e+02 1.447957272111105587e-01 8.166989088058471680e-01 1.024519375981469693e-02 8.166989088058471680e-01 1.024519375981469693e-02 5.303496190975403035e-01 4.778309805961748410e-03
0.000000000000000000e+00 0.000000000000000000e+00 6.999999999999999556e-01 -1.651537734966682933e+02 8.027205550755712668e-03 8.680674135684967041e-01 7.602910192367140496e-03 8.680674135684967041e-01 7.602910192367140496e-03 5.161754420063195958e-01 4.368623601967703413e-03
0.000000000000000000e+00 0.000000000000000000e+00 8.000000000000000444e-01 -1.764832265503158908e+02 6.723441736995522042e-03 8.998516201972961426e-01 5.889680050213286222e-03 8.998516201972961426e-01 5.889680050213286222e-03 5.094178998841619732e-01 3.851823232851167046e-03
